donor	stratum	population	fold	universe	variant_class	arm	n	site_present	represented	called	correct	nonref_n	nonref_correct
HG02155	EAS	CDX	0	all_truth	ALL	full	97372	79556	79539	79554	79073	16704	13315
HG02155	EAS	CDX	0	all_truth	ALL	hprc	97372	84869	84832	84865	84128	16704	16054
HG02155	EAS	CDX	0	all_truth	SNV	full	79844	65229	65229	65229	65019	12513	10129
HG02155	EAS	CDX	0	all_truth	SNV	hprc	79844	70020	70018	70020	69672	12513	12179
HG02155	EAS	CDX	0	all_truth	SV_length_site	full	298	242	234	242	214	136	77
HG02155	EAS	CDX	0	all_truth	SV_length_site	hprc	298	282	265	279	235	136	88
HG02155	EAS	CDX	0	all_truth	small_complex	full	17230	14085	14076	14083	13840	4055	3109
HG02155	EAS	CDX	0	all_truth	small_complex	hprc	17230	14567	14549	14566	14221	4055	3787
HG02155	EAS	CDX	0	all_truth	truth_SV_length	full	57	43	40	43	32	57	32
HG02155	EAS	CDX	0	all_truth	truth_SV_length	hprc	57	56	45	53	37	57	37
HG02155	EAS	CDX	0	shared_sites	ALL	full	70187	70187	70170	70185	69705	13692	13289
HG02155	EAS	CDX	0	shared_sites	ALL	hprc	70187	70187	70158	70186	69632	13692	13279
HG02155	EAS	CDX	0	shared_sites	SNV	full	57787	57787	57787	57787	57578	10278	10105
HG02155	EAS	CDX	0	shared_sites	SNV	hprc	57787	57787	57786	57787	57531	10278	10095
HG02155	EAS	CDX	0	shared_sites	SV_length_site	full	234	234	226	234	206	105	77
HG02155	EAS	CDX	0	shared_sites	SV_length_site	hprc	234	234	222	233	201	105	74
HG02155	EAS	CDX	0	shared_sites	small_complex	full	12166	12166	12157	12164	11921	3309	3107
HG02155	EAS	CDX	0	shared_sites	small_complex	hprc	12166	12166	12150	12166	11900	3309	3110
HG02155	EAS	CDX	0	shared_sites	truth_SV_length	full	43	43	40	43	32	43	32
HG02155	EAS	CDX	0	shared_sites	truth_SV_length	hprc	43	43	37	42	31	43	31
NA18620	EAS	CHB	0	all_truth	ALL	full	97372	79556	79538	79555	79125	22923	18907
NA18620	EAS	CHB	0	all_truth	ALL	hprc	97372	84869	84822	84866	84133	22923	22095
NA18620	EAS	CHB	0	all_truth	SNV	full	79844	65229	65229	65229	65043	16995	14145
NA18620	EAS	CHB	0	all_truth	SNV	hprc	79844	70020	70019	70020	69709	16995	16590
NA18620	EAS	CHB	0	all_truth	SV_length_site	full	298	242	237	241	209	169	104
NA18620	EAS	CHB	0	all_truth	SV_length_site	hprc	298	282	262	280	235	169	118
