stratum	universe	variant_class	arm	donors	n	correct	called	site_present	represented	nonref_n	nonref_correct	accuracy_pct	nonref_accuracy_pct
EAS	all_truth	ALL	full	20	1947440	1580577	1590958	1590976	1590673	411130	339630	81.16178162099988	82.60890715831975
EAS	all_truth	ALL	hprc	20	1947440	1680106	1695522	1695560	1694889	411130	395304	86.2725424146572	96.15060929632963
EAS	all_truth	SNV	full	20	1596880	1299819	1304500	1304500	1304494	302732	252574	81.39741245428586	83.43155001783757
EAS	all_truth	SNV	hprc	20	1596880	1391805	1399009	1399012	1398996	302732	294859	87.157770151796	97.39934992006131
EAS	all_truth	SV_length_site	full	20	5960	4333	4853	4856	4721	3172	2020	72.70134228187919	63.68221941992434
EAS	all_truth	SV_length_site	hprc	20	5960	4839	5637	5648	5341	3172	2309	81.19127516778524	72.79319041614123
EAS	all_truth	small_complex	full	20	344600	276425	281605	281620	281458	105226	85036	80.21619268717353	80.81272689259309
EAS	all_truth	small_complex	hprc	20	344600	283462	290876	290900	290552	105226	98136	82.25827045850261	93.2621215288997
EAS	all_truth	truth_SV_length	full	20	1465	988	1215	1217	1153	1465	988	67.44027303754267	67.44027303754267
EAS	all_truth	truth_SV_length	hprc	20	1465	1053	1430	1436	1265	1465	1053	71.87713310580205	71.87713310580205
EAS	graph_shared_SNV	SNV	full	20	1154432	1149823	1154432			256194	252184	99.60075604279854	98.43477989336206
EAS	graph_shared_SNV	SNV	hprc	20	1154432	1148478	1154429			256194	251109	99.48424853087926	98.01517599943793
EAS	graph_shared_SNV	SNV	linear	20	1154432	1004519	1007636			256194	213618	87.0141333573567	83.38134382538233
EAS	shared_sites	ALL	full	20	1402120	1391808	1402102	1402120	1401826	348379	339199	99.26454226457079	97.36493875922487
EAS	shared_sites	ALL	hprc	20	1402120	1389510	1402088	1402120	1401640	348379	337228	99.10064759079108	96.7991756104702
EAS	shared_sites	SNV	full	20	1154432	1149823	1154432	1154432	1154428	256194	252184	99.60075604279854	98.43477989336206
EAS	shared_sites	SNV	hprc	20	1154432	1148478	1154429	1154432	1154419	256194	251109	99.48424853087926	98.01517599943793
EAS	shared_sites	SV_length_site	full	20	4688	4166	4685	4688	4553	2526	2019	88.86518771331058	79.92874109263659
EAS	shared_sites	SV_length_site	hprc	20	4688	4094	4680	4688	4499	2526	1945	87.32935153583618	76.99920823436263
EAS	shared_sites	small_complex	full	20	243000	237819	242985	243000	242845	89659	84996	97.8679012345679	94.79918357331668
EAS	shared_sites	small_complex	hprc	20	243000	236938	242979	243000	242722	89659	84174	97.50534979423868	93.88237656007763
EAS	shared_sites	truth_SV_length	full	20	1215	987	1213	1215	1151	1215	987	81.23456790123457	81.23456790123457
EAS	shared_sites	truth_SV_length	hprc	20	1215	942	1211	1215	1128	1215	942	77.53086419753086	77.53086419753086
EAS	three_way_shared_PASS_SNV	SNV	full	20	1007636	1005890	1007636			216287	214795	99.82672314208702	99.31017583118727
EAS	three_way_shared_PASS_SNV	SNV	hprc	20	1007636	1005382	1007636			216287	214422	99.7763081112624	99.13771978898409
EAS	three_way_shared_PASS_SNV	SNV	linear	20	1007636	1004519	1007636			216287	213618	99.69066210417253	98.76599148353807
SAS	all_truth	ALL	full	20	1947440	1580892	1590954	1590976	1590648	432937	362588	81.17795670213204	83.75075357384561
SAS	all_truth	ALL	hprc	20	1947440	1681126	1695505	1695560	1694859	432937	417586	86.32491886784702	96.45421851216227
SAS	all_truth	SNV	full	20	1596880	1299760	1304499	1304500	1304488	319005	269586	81.39371774961174	84.5083932853717
SAS	all_truth	SNV	hprc	20	1596880	1392152	1399008	1399012	1398987	319005	311079	87.17950002504884	97.51539944514977
SAS	all_truth	SV_length_site	full	20	5960	4377	4847	4856	4720	3232	2115	73.43959731543625	65.43935643564356
SAS	all_truth	SV_length_site	hprc	20	5960	4912	5631	5648	5364	3232	2443	82.41610738255034	75.5878712871287
SAS	all_truth	small_complex	full	20	344600	276755	281608	281620	281440	110700	90887	80.31195589088799	82.10207768744354
SAS	all_truth	small_complex	hprc	20	344600	284062	290866	290900	290508	110700	104064	82.43238537434706	94.00542005420054
SAS	all_truth	truth_SV_length	full	20	1577	1092	1329	1337	1265	1577	1092	69.24540266328472	69.24540266328472
SAS	all_truth	truth_SV_length	hprc	20	1577	1186	1541	1554	1396	1577	1186	75.20608750792644	75.20608750792644
SAS	graph_shared_SNV	SNV	full	20	1154432	1149724	1154431			273131	268921	99.5921803969398	98.45861509678505
SAS	graph_shared_SNV	SNV	hprc	20	1154432	1149117	1154429			273131	268389	99.53960042687659	98.26383676697263
SAS	graph_shared_SNV	SNV	linear	20	1154432	1004014	1007636			273131	225729	86.97038890120857	82.64495791396803
SAS	shared_sites	ALL	full	20	1402120	1392093	1402098	1402120	1401811	370941	361851	99.28486862750692	97.54947552306162
SAS	shared_sites	ALL	hprc	20	1402120	1390977	1402075	1402120	1401614	370941	360797	99.20527486948335	97.26533330098317
SAS	shared_sites	SNV	full	20	1154432	1149724	1154431	1154432	1154423	273131	268921	99.5921803969398	98.45861509678505
SAS	shared_sites	SNV	hprc	20	1154432	1149117	1154429	1154432	1154413	273131	268389	99.53960042687659	98.26383676697263
SAS	shared_sites	SV_length_site	full	20	4688	4209	4679	4688	4552	2581	2115	89.78242320819113	81.94498256489733
SAS	shared_sites	SV_length_site	hprc	20	4688	4179	4674	4688	4521	2581	2079	89.14249146757679	80.55017435102674
SAS	shared_sites	small_complex	full	20	243000	238160	242988	243000	242836	95229	90815	98.0082304526749	95.36485734387634
SAS	shared_sites	small_complex	hprc	20	243000	237681	242972	243000	242680	95229	90329	97.81111111111112	94.85450860557184
SAS	shared_sites	truth_SV_length	full	20	1337	1092	1329	1337	1265	1337	1092	81.67539267015707	81.67539267015707
SAS	shared_sites	truth_SV_length	hprc	20	1337	1070	1327	1337	1245	1337	1070	80.0299177262528	80.0299177262528
SAS	three_way_shared_PASS_SNV	SNV	full	20	1007636	1005878	1007635			228846	227304	99.82553223584708	99.32618442096431
SAS	three_way_shared_PASS_SNV	SNV	hprc	20	1007636	1005659	1007636			228846	227133	99.80379819696795	99.25146168165492
SAS	three_way_shared_PASS_SNV	SNV	linear	20	1007636	1004014	1007636			228846	225729	99.6405447999079	98.63794866416717
