JobID|JobName|State|ExitCode|Start|End|Elapsed|MaxRSS
20634399|asian_accuracy|COMPLETED|0:0|2026-09-17T11:49:14|2026-09-17T11:51:21|00:02:07|
20634399.batch|batch|COMPLETED|0:0|2026-09-17T11:49:14|2026-09-17T11:51:21|00:02:07|8430408K
20634420|asian_linear|CANCELLED by 8144|0:0|2026-09-17T11:50:02|2026-09-17T12:00:06|00:10:04|
20634420.batch|batch|CANCELLED|0:15|2026-09-17T11:50:02|2026-09-17T12:00:07|00:10:05|36372K
20634441|asian_linear_score|CANCELLED by 8144|0:0|None|2026-09-17T12:00:06|00:00:00|
20634535|asian_accuracy_audit|COMPLETED|0:0|2026-09-17T11:56:37|2026-09-17T11:56:39|00:00:02|
20634535.batch|batch|COMPLETED|0:0|2026-09-17T11:56:37|2026-09-17T11:56:39|00:00:02|148188K
20634598|asian_linear|COMPLETED|0:0|2026-09-17T12:00:13|2026-09-17T12:00:38|00:00:25|
20634598.batch|batch|COMPLETED|0:0|2026-09-17T12:00:13|2026-09-17T12:00:38|00:00:25|32500K
20634602|asian_linear_score|COMPLETED|0:0|2026-09-17T12:00:39|2026-09-17T12:02:24|00:01:45|
20634602.batch|batch|COMPLETED|0:0|2026-09-17T12:00:39|2026-09-17T12:02:24|00:01:45|8007904K
