stratum	universe	variant_class	endpoint	baseline	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
EAS	all_truth	ALL	all	hprc	20	12.233907078010109	12.125246477426774	12.338763967054192	20	0	0
EAS	all_truth	ALL	all	old_full	20	17.553454791931976	17.52659902230621	17.583445446329534	20	0	0
EAS	all_truth	ALL	all	old_hprc	20	12.442693998274656	12.338965513700034	12.546317216448255	20	0	0
EAS	all_truth	ALL	nonref	hprc	20	0.6379977136185544	0.3422855919998738	0.9532643889383904	17	0	3
EAS	all_truth	ALL	nonref	old_full	20	14.339989784253149	13.579624085935302	15.10718828468001	20	0	0
EAS	all_truth	ALL	nonref	old_hprc	20	0.7982876462432786	0.49751793755737267	1.1081984239070866	18	0	2
EAS	all_truth	SNV	all	hprc	20	11.709959420870696	11.610448186463607	11.805467536696558	20	0	0
EAS	all_truth	SNV	all	old_full	20	17.661189319172387	17.64014828916387	17.684860477931963	20	0	0
EAS	all_truth	SNV	all	old_hprc	20	11.900831621662245	11.806333287410446	11.998274760783525	20	0	0
EAS	all_truth	SNV	nonref	hprc	20	0.514316292958783	0.2634776878862663	0.7826371199840645	14	0	6
EAS	all_truth	SNV	nonref	old_full	20	14.6116036626455	13.847993893063943	15.408269886762277	20	0	0
EAS	all_truth	SNV	nonref	old_hprc	20	0.6438037604217572	0.39107096619148657	0.8968533364654382	17	0	3
EAS	all_truth	SV_length_site	all	hprc	20	4.7315436241610715	4.093959731543628	5.335570469798656	20	0	0
EAS	all_truth	SV_length_site	all	old_full	20	14.278523489932882	13.791946308724834	14.76510067114094	20	0	0
EAS	all_truth	SV_length_site	all	old_hprc	20	5.788590604026844	5.151006711409389	6.392617449664428	20	0	0
EAS	all_truth	SV_length_site	nonref	hprc	20	2.994955863808324	1.9053180058865373	4.043551033516138	16	2	2
EAS	all_truth	SV_length_site	nonref	old_full	20	13.11475409836066	12.102303257031263	14.14242891718732	20	0	0
EAS	all_truth	SV_length_site	nonref	old_hprc	20	4.003783102143754	2.9021976397025666	5.0724806830944935	17	2	1
EAS	all_truth	small_complex	all	hprc	20	14.79164248403947	14.617810504933258	14.968659315148003	20	0	0
EAS	all_truth	small_complex	all	old_full	20	17.110853163087636	17.047881601857227	17.175282936738256	20	0	0
EAS	all_truth	small_complex	all	old_hprc	20	15.06877539175856	14.896691816598961	15.239132327336039	20	0	0
EAS	all_truth	small_complex	nonref	hprc	20	0.922775739836168	0.4417048426203271	1.4081237531666022	17	0	3
EAS	all_truth	small_complex	nonref	old_full	20	13.595499211221561	12.80332051788739	14.448215759141428	20	0	0
EAS	all_truth	small_complex	nonref	old_hprc	20	1.1461045749149523	0.6668128020548753	1.6186363522787617	19	0	1
EAS	all_truth	truth_SV_length	all	hprc	20	3.890784982935158	2.4000000000000017	5.2945376728384295	18	0	2
EAS	all_truth	truth_SV_length	all	old_full	20	8.805460750853245	7.2774257814838235	10.455215742057849	20	0	0
EAS	all_truth	truth_SV_length	all	old_hprc	20	4.3686006825938595	2.723404305856412	5.890605574064538	18	0	2
EAS	all_truth	truth_SV_length	nonref	hprc	20	3.890784982935158	2.404776778611851	5.287229499491079	18	0	2
EAS	all_truth	truth_SV_length	nonref	old_full	20	8.805460750853245	7.290935546143434	10.418229789286276	20	0	0
EAS	all_truth	truth_SV_length	nonref	old_hprc	20	4.3686006825938595	2.73881095524382	5.861359625377386	18	0	2
EAS	frozen_HPRC_sites	ALL	all	hprc	20	0.13505862369954658	0.05166807077296498	0.2239487383463881	14	0	6
EAS	frozen_HPRC_sites	ALL	all	old_full	20	17.133395456368394	17.107171058536867	17.1641855617753	20	0	0
EAS	frozen_HPRC_sites	ALL	all	old_hprc	20	0.13028144093986116	0.045809907486163426	0.21787985822821457	14	0	6
EAS	frozen_HPRC_sites	ALL	nonref	hprc	20	0.512859411435107	0.23844759346246497	0.7968620109503352	14	0	6
EAS	frozen_HPRC_sites	ALL	nonref	old_full	20	14.237231733665457	13.482454153736436	15.00333079049647	20	0	0
EAS	frozen_HPRC_sites	ALL	nonref	old_hprc	20	0.5091891389295999	0.2424295269361787	0.7915156526678645	13	1	6
EAS	frozen_HPRC_sites	SNV	all	hprc	20	0.09070687027702418	0.030003346101257492	0.15639999741999921	13	0	7
EAS	frozen_HPRC_sites	SNV	all	old_full	20	17.383196141276848	17.36117382792591	17.40878189157332	20	0	0
EAS	frozen_HPRC_sites	SNV	all	old_hprc	20	0.08656108739596435	0.02514786559327215	0.15247846125041292	13	0	7
EAS	frozen_HPRC_sites	SNV	nonref	hprc	20	0.3597158178547999	0.1492160928122882	0.5882131612581073	13	0	7
EAS	frozen_HPRC_sites	SNV	nonref	old_full	20	14.544886350413744	13.773009207645279	15.317079652380583	20	0	0
EAS	frozen_HPRC_sites	SNV	nonref	old_hprc	20	0.3573886360387357	0.1476351220039568	0.577592406343444	13	0	7
EAS	frozen_HPRC_sites	SV_length_site	all	hprc	20	1.6111898016997195	0.9206798866855492	2.2497785651018565	15	1	4
EAS	frozen_HPRC_sites	SV_length_site	all	old_full	20	13.52691218130312	13.038086802480075	14.027638170172125	20	0	0
EAS	frozen_HPRC_sites	SV_length_site	all	old_hprc	20	1.6111898016997195	0.9385514432442066	2.248981760226665	15	1	4
EAS	frozen_HPRC_sites	SV_length_site	nonref	hprc	20	3.0293264582661905	1.8940332300960958	4.142631399395904	16	2	2
EAS	frozen_HPRC_sites	SV_length_site	nonref	old_full	20	12.342893973573954	11.285658432843096	13.464052287581696	20	0	0
EAS	frozen_HPRC_sites	SV_length_site	nonref	old_hprc	20	2.9970995810505996	1.8381080513297745	4.0870294715267566	16	1	3
EAS	frozen_HPRC_sites	small_complex	all	hprc	20	0.3196974905465777	0.12138090295649023	0.5239383275820075	15	0	5
EAS	frozen_HPRC_sites	small_complex	all	old_full	20	16.002062564455134	15.936513349456188	16.074632153693425	20	0	0
EAS	frozen_HPRC_sites	small_complex	all	old_hprc	20	0.31179099346854144	0.11902464556038383	0.5103694353188593	14	0	6
EAS	frozen_HPRC_sites	small_complex	nonref	hprc	20	0.8779212351969989	0.3922801106191548	1.355085091570295	15	1	4
EAS	frozen_HPRC_sites	small_complex	nonref	old_full	20	13.410246867634278	12.646709100479834	14.226139405519916	20	0	0
EAS	frozen_HPRC_sites	small_complex	nonref	old_hprc	20	0.8712413997118085	0.40428741384321454	1.3408500069036475	15	2	3
EAS	frozen_HPRC_sites	truth_SV_length	all	hprc	20	3.899721448467963	2.410427965736909	5.384615384615376	18	0	2
EAS	frozen_HPRC_sites	truth_SV_length	all	old_full	20	8.495821727019504	6.941558757329033	10.118179986208188	20	0	0
