donor	stratum	population	fold	universe	variant_class	arm	n	site_present	called	correct	nonref_n	nonref_correct
HG02155	EAS	CDX	0	all_truth	ALL	full	97372	96816	96809	96359	16704	16235
HG02155	EAS	CDX	0	all_truth	ALL	hprc	97372	85080	85076	84335	16704	16075
HG02155	EAS	CDX	0	all_truth	ALL	old_full	97372	79556	79554	79073	16704	13315
HG02155	EAS	CDX	0	all_truth	ALL	old_hprc	97372	84869	84865	84128	16704	16054
HG02155	EAS	CDX	0	all_truth	SNV	full	79844	79413	79413	79246	12513	12305
HG02155	EAS	CDX	0	all_truth	SNV	hprc	79844	70175	70175	69827	12513	12192
HG02155	EAS	CDX	0	all_truth	SNV	old_full	79844	65229	65229	65019	12513	10129
HG02155	EAS	CDX	0	all_truth	SNV	old_hprc	79844	70020	70020	69672	12513	12179
HG02155	EAS	CDX	0	all_truth	SV_length_site	full	298	296	293	258	136	99
HG02155	EAS	CDX	0	all_truth	SV_length_site	hprc	298	287	284	238	136	89
HG02155	EAS	CDX	0	all_truth	SV_length_site	old_full	298	242	242	214	136	77
HG02155	EAS	CDX	0	all_truth	SV_length_site	old_hprc	298	282	279	235	136	88
HG02155	EAS	CDX	0	all_truth	small_complex	full	17230	17107	17103	16855	4055	3831
HG02155	EAS	CDX	0	all_truth	small_complex	hprc	17230	14618	14617	14270	4055	3794
HG02155	EAS	CDX	0	all_truth	small_complex	old_full	17230	14085	14083	13840	4055	3109
HG02155	EAS	CDX	0	all_truth	small_complex	old_hprc	17230	14567	14566	14221	4055	3787
HG02155	EAS	CDX	0	all_truth	truth_SV_length	full	57	57	54	39	57	39
HG02155	EAS	CDX	0	all_truth	truth_SV_length	hprc	57	57	54	37	57	37
HG02155	EAS	CDX	0	all_truth	truth_SV_length	old_full	57	43	43	32	57	32
HG02155	EAS	CDX	0	all_truth	truth_SV_length	old_hprc	57	56	53	37	57	37
HG02155	EAS	CDX	0	frozen_HPRC_sites	ALL	full	84869	84869	84862	84417	16572	16177
HG02155	EAS	CDX	0	frozen_HPRC_sites	ALL	hprc	84869	84869	84865	84129	16572	16054
HG02155	EAS	CDX	0	frozen_HPRC_sites	ALL	old_full	84869	70187	70185	69705	16572	13289
HG02155	EAS	CDX	0	frozen_HPRC_sites	ALL	old_hprc	84869	84869	84865	84128	16572	16054
HG02155	EAS	CDX	0	frozen_HPRC_sites	SNV	full	70020	70020	70020	69853	12402	12258
HG02155	EAS	CDX	0	frozen_HPRC_sites	SNV	hprc	70020	70020	70020	69672	12402	12179
HG02155	EAS	CDX	0	frozen_HPRC_sites	SNV	old_full	70020	57787	57787	57578	12402	10105
HG02155	EAS	CDX	0	frozen_HPRC_sites	SNV	old_hprc	70020	70020	70020	69672	12402	12179
HG02155	EAS	CDX	0	frozen_HPRC_sites	SV_length_site	full	282	282	279	246	133	98
HG02155	EAS	CDX	0	frozen_HPRC_sites	SV_length_site	hprc	282	282	279	235	133	88
HG02155	EAS	CDX	0	frozen_HPRC_sites	SV_length_site	old_full	282	234	234	206	133	77
HG02155	EAS	CDX	0	frozen_HPRC_sites	SV_length_site	old_hprc	282	282	279	235	133	88
HG02155	EAS	CDX	0	frozen_HPRC_sites	small_complex	full	14567	14567	14563	14318	4037	3821
HG02155	EAS	CDX	0	frozen_HPRC_sites	small_complex	hprc	14567	14567	14566	14222	4037	3787
HG02155	EAS	CDX	0	frozen_HPRC_sites	small_complex	old_full	14567	12166	12164	11921	4037	3107
HG02155	EAS	CDX	0	frozen_HPRC_sites	small_complex	old_hprc	14567	14567	14566	14221	4037	3787
HG02155	EAS	CDX	0	frozen_HPRC_sites	truth_SV_length	full	56	56	53	39	56	39
HG02155	EAS	CDX	0	frozen_HPRC_sites	truth_SV_length	hprc	56	56	53	37	56	37
HG02155	EAS	CDX	0	frozen_HPRC_sites	truth_SV_length	old_full	56	43	43	32	56	32
HG02155	EAS	CDX	0	frozen_HPRC_sites	truth_SV_length	old_hprc	56	56	53	37	56	37
HG02155	EAS	CDX	0	frozen_threeway_SNV	ALL	full	50468	50468	50468	50397	9318	9261
HG02155	EAS	CDX	0	frozen_threeway_SNV	ALL	hprc	50468	50468	50468	50358	9318	9228
HG02155	EAS	CDX	0	frozen_threeway_SNV	ALL	linear	50468	50468	50468	50435	9318	9287
HG02155	EAS	CDX	0	frozen_threeway_SNV	ALL	old_full	50468	50468	50468	50372	9318	9242
HG02155	EAS	CDX	0	frozen_threeway_SNV	ALL	old_hprc	50468	50468	50468	50358	9318	9228
HG02155	EAS	CDX	0	frozen_threeway_SNV	SNV	full	50468	50468	50468	50397	9318	9261
HG02155	EAS	CDX	0	frozen_threeway_SNV	SNV	hprc	50468	50468	50468	50358	9318	9228
HG02155	EAS	CDX	0	frozen_threeway_SNV	SNV	linear	50468	50468	50468	50435	9318	9287
HG02155	EAS	CDX	0	frozen_threeway_SNV	SNV	old_full	50468	50468	50468	50372	9318	9242
HG02155	EAS	CDX	0	frozen_threeway_SNV	SNV	old_hprc	50468	50468	50468	50358	9318	9228
HG02155	EAS	CDX	0	shared_new_sites	ALL	full	85080	85080	85073	84623	16598	16199
HG02155	EAS	CDX	0	shared_new_sites	ALL	hprc	85080	85080	85076	84335	16598	16075
HG02155	EAS	CDX	0	shared_new_sites	ALL	old_full	85080	70187	70185	69705	16598	13289
HG02155	EAS	CDX	0	shared_new_sites	ALL	old_hprc	85080	84869	84865	84128	16598	16054
HG02155	EAS	CDX	0	shared_new_sites	SNV	full	70175	70175	70175	70008	12415	12271
HG02155	EAS	CDX	0	shared_new_sites	SNV	hprc	70175	70175	70175	69827	12415	12192
HG02155	EAS	CDX	0	shared_new_sites	SNV	old_full	70175	57787	57787	57578	12415	10105
HG02155	EAS	CDX	0	shared_new_sites	SNV	old_hprc	70175	70020	70020	69672	12415	12179
HG02155	EAS	CDX	0	shared_new_sites	SV_length_site	full	287	287	284	249	136	99
HG02155	EAS	CDX	0	shared_new_sites	SV_length_site	hprc	287	287	284	238	136	89
HG02155	EAS	CDX	0	shared_new_sites	SV_length_site	old_full	287	234	234	206	136	77
HG02155	EAS	CDX	0	shared_new_sites	SV_length_site	old_hprc	287	282	279	235	136	88
HG02155	EAS	CDX	0	shared_new_sites	small_complex	full	14618	14618	14614	14366	4047	3829
HG02155	EAS	CDX	0	shared_new_sites	small_complex	hprc	14618	14618	14617	14270	4047	3794
HG02155	EAS	CDX	0	shared_new_sites	small_complex	old_full	14618	12166	12164	11921	4047	3107
HG02155	EAS	CDX	0	shared_new_sites	small_complex	old_hprc	14618	14567	14566	14221	4047	3787
HG02155	EAS	CDX	0	shared_new_sites	truth_SV_length	full	57	57	54	39	57	39
HG02155	EAS	CDX	0	shared_new_sites	truth_SV_length	hprc	57	57	54	37	57	37
HG02155	EAS	CDX	0	shared_new_sites	truth_SV_length	old_full	57	43	43	32	57	32
HG02155	EAS	CDX	0	shared_new_sites	truth_SV_length	old_hprc	57	56	53	37	57	37
NA18620	EAS	CHB	0	all_truth	ALL	full	97372	96816	96816	96201	22923	22354
NA18620	EAS	CHB	0	all_truth	ALL	hprc	97372	85080	85078	84336	22923	22149
NA18620	EAS	CHB	0	all_truth	ALL	old_full	97372	79556	79555	79125	22923	18907
NA18620	EAS	CHB	0	all_truth	ALL	old_hprc	97372	84869	84866	84133	22923	22095
NA18620	EAS	CHB	0	all_truth	SNV	full	79844	79413	79413	79136	16995	16720
NA18620	EAS	CHB	0	all_truth	SNV	hprc	79844	70175	70175	69862	16995	16626
NA18620	EAS	CHB	0	all_truth	SNV	old_full	79844	65229	65229	65043	16995	14145
NA18620	EAS	CHB	0	all_truth	SNV	old_hprc	79844	70020	70020	69709	16995	16590
NA18620	EAS	CHB	0	all_truth	SV_length_site	full	298	296	296	250	169	124
NA18620	EAS	CHB	0	all_truth	SV_length_site	hprc	298	287	286	238	169	120
NA18620	EAS	CHB	0	all_truth	SV_length_site	old_full	298	242	241	209	169	104
NA18620	EAS	CHB	0	all_truth	SV_length_site	old_hprc	298	282	280	235	169	118
NA18620	EAS	CHB	0	all_truth	small_complex	full	17230	17107	17107	16815	5759	5510
NA18620	EAS	CHB	0	all_truth	small_complex	hprc	17230	14618	14617	14236	5759	5403
NA18620	EAS	CHB	0	all_truth	small_complex	old_full	17230	14085	14085	13873	5759	4658
NA18620	EAS	CHB	0	all_truth	small_complex	old_hprc	17230	14567	14566	14189	5759	5387
NA18620	EAS	CHB	0	all_truth	truth_SV_length	full	87	87	87	64	87	64
NA18620	EAS	CHB	0	all_truth	truth_SV_length	hprc	87	87	87	63	87	63
NA18620	EAS	CHB	0	all_truth	truth_SV_length	old_full	87	73	73	57	87	57
NA18620	EAS	CHB	0	all_truth	truth_SV_length	old_hprc	87	85	85	62	87	62
NA18620	EAS	CHB	0	frozen_HPRC_sites	ALL	full	84869	84869	84869	84264	22737	22252
NA18620	EAS	CHB	0	frozen_HPRC_sites	ALL	hprc	84869	84869	84867	84130	22737	22094
NA18620	EAS	CHB	0	frozen_HPRC_sites	ALL	old_full	84869	70187	70186	69758	22737	18874
NA18620	EAS	CHB	0	frozen_HPRC_sites	ALL	old_hprc	84869	84869	84866	84133	22737	22095
NA18620	EAS	CHB	0	frozen_HPRC_sites	SNV	full	70020	70020	70020	69748	16843	16642
NA18620	EAS	CHB	0	frozen_HPRC_sites	SNV	hprc	70020	70020	70020	69707	16843	16588
NA18620	EAS	CHB	0	frozen_HPRC_sites	SNV	old_full	70020	57787	57787	57603	16843	14118
NA18620	EAS	CHB	0	frozen_HPRC_sites	SNV	old_hprc	70020	70020	70020	69709	16843	16590
NA18620	EAS	CHB	0	frozen_HPRC_sites	SV_length_site	full	282	282	282	238	165	122
NA18620	EAS	CHB	0	frozen_HPRC_sites	SV_length_site	hprc	282	282	281	235	165	118
NA18620	EAS	CHB	0	frozen_HPRC_sites	SV_length_site	old_full	282	234	233	201	165	104
NA18620	EAS	CHB	0	frozen_HPRC_sites	SV_length_site	old_hprc	282	282	280	235	165	118
NA18620	EAS	CHB	0	frozen_HPRC_sites	small_complex	full	14567	14567	14567	14278	5729	5488
NA18620	EAS	CHB	0	frozen_HPRC_sites	small_complex	hprc	14567	14567	14566	14188	5729	5388
NA18620	EAS	CHB	0	frozen_HPRC_sites	small_complex	old_full	14567	12166	12166	11954	5729	4652
NA18620	EAS	CHB	0	frozen_HPRC_sites	small_complex	old_hprc	14567	14567	14566	14189	5729	5387
NA18620	EAS	CHB	0	frozen_HPRC_sites	truth_SV_length	full	85	85	85	63	85	63
NA18620	EAS	CHB	0	frozen_HPRC_sites	truth_SV_length	hprc	85	85	85	62	85	62
NA18620	EAS	CHB	0	frozen_HPRC_sites	truth_SV_length	old_full	85	73	73	57	85	57
NA18620	EAS	CHB	0	frozen_HPRC_sites	truth_SV_length	old_hprc	85	85	85	62	85	62
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	full	50468	50468	50468	50364	12064	11978
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	hprc	50468	50468	50468	50367	12064	11973
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	linear	50468	50468	50468	50293	12064	11910
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	old_full	50468	50468	50468	50363	12064	11975
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	old_hprc	50468	50468	50468	50368	12064	11974
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	full	50468	50468	50468	50364	12064	11978
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	hprc	50468	50468	50468	50367	12064	11973
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	linear	50468	50468	50468	50293	12064	11910
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	old_full	50468	50468	50468	50363	12064	11975
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	old_hprc	50468	50468	50468	50368	12064	11974
NA18620	EAS	CHB	0	shared_new_sites	ALL	full	85080	85080	85080	84470	22797	22307
NA18620	EAS	CHB	0	shared_new_sites	ALL	hprc	85080	85080	85078	84336	22797	22149
NA18620	EAS	CHB	0	shared_new_sites	ALL	old_full	85080	70187	70186	69758	22797	18874
NA18620	EAS	CHB	0	shared_new_sites	ALL	old_hprc	85080	84869	84866	84133	22797	22095
NA18620	EAS	CHB	0	shared_new_sites	SNV	full	70175	70175	70175	69903	16881	16680
NA18620	EAS	CHB	0	shared_new_sites	SNV	hprc	70175	70175	70175	69862	16881	16626
NA18620	EAS	CHB	0	shared_new_sites	SNV	old_full	70175	57787	57787	57603	16881	14118
NA18620	EAS	CHB	0	shared_new_sites	SNV	old_hprc	70175	70020	70020	69709	16881	16590
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	full	287	287	287	241	169	124
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	hprc	287	287	286	238	169	120
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	old_full	287	234	233	201	169	104
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	old_hprc	287	282	280	235	169	118
NA18620	EAS	CHB	0	shared_new_sites	small_complex	full	14618	14618	14618	14326	5747	5503
NA18620	EAS	CHB	0	shared_new_sites	small_complex	hprc	14618	14618	14617	14236	5747	5403
NA18620	EAS	CHB	0	shared_new_sites	small_complex	old_full	14618	12166	12166	11954	5747	4652
NA18620	EAS	CHB	0	shared_new_sites	small_complex	old_hprc	14618	14567	14566	14189	5747	5387
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	full	87	87	87	64	87	64
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	hprc	87	87	87	63	87	63
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	old_full	87	73	73	57	87	57
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	old_hprc	87	85	85	62	87	62
HG00706	EAS	CHS	0	all_truth	ALL	full	97372	96816	96816	96281	15959	15465
HG00706	EAS	CHS	0	all_truth	ALL	hprc	97372	85080	85079	84421	15959	15275
HG00706	EAS	CHS	0	all_truth	ALL	old_full	97372	79556	79554	79138	15959	12798
HG00706	EAS	CHS	0	all_truth	ALL	old_hprc	97372	84869	84868	84216	15959	15249
HG00706	EAS	CHS	0	all_truth	SNV	full	79844	79413	79413	79224	11834	11650
HG00706	EAS	CHS	0	all_truth	SNV	hprc	79844	70175	70175	69909	11834	11516
HG00706	EAS	CHS	0	all_truth	SNV	old_full	79844	65229	65229	65072	11834	9666
HG00706	EAS	CHS	0	all_truth	SNV	old_hprc	79844	70020	70020	69753	11834	11502
HG00706	EAS	CHS	0	all_truth	SV_length_site	full	298	296	296	251	139	94
HG00706	EAS	CHS	0	all_truth	SV_length_site	hprc	298	287	287	243	139	94
HG00706	EAS	CHS	0	all_truth	SV_length_site	old_full	298	242	242	213	139	78
HG00706	EAS	CHS	0	all_truth	SV_length_site	old_hprc	298	282	282	240	139	93
HG00706	EAS	CHS	0	all_truth	small_complex	full	17230	17107	17107	16806	3986	3721
HG00706	EAS	CHS	0	all_truth	small_complex	hprc	17230	14618	14617	14269	3986	3665
HG00706	EAS	CHS	0	all_truth	small_complex	old_full	17230	14085	14083	13853	3986	3054
HG00706	EAS	CHS	0	all_truth	small_complex	old_hprc	17230	14567	14566	14223	3986	3654
HG00706	EAS	CHS	0	all_truth	truth_SV_length	full	54	53	53	39	54	39
HG00706	EAS	CHS	0	all_truth	truth_SV_length	hprc	54	53	53	38	54	38
HG00706	EAS	CHS	0	all_truth	truth_SV_length	old_full	54	42	42	33	54	33
HG00706	EAS	CHS	0	all_truth	truth_SV_length	old_hprc	54	52	52	38	54	38
