stratum	universe	variant_class	arm	n	site_present	called	correct	nonref_n	nonref_correct	accuracy_pct	nonref_accuracy_pct
EAS	all_truth	ALL	full	1947440	1935836	1935812	1922420	411130	398586	98.71523641293184	96.94889694257292
EAS	all_truth	ALL	hprc	1947440	1699776	1699739	1684172	411130	395963	86.48132933492174	96.31089922895434
EAS	all_truth	ALL	old_full	1947440	1590976	1590958	1580577	411130	339630	81.16178162099988	82.60890715831975
EAS	all_truth	ALL	old_hprc	1947440	1695560	1695522	1680106	411130	395304	86.2725424146572	96.15060929632963
EAS	all_truth	SNV	full	1596880	1587928	1587927	1581847	302732	296808	99.05860177345825	98.04315368048307
EAS	all_truth	SNV	hprc	1596880	1402120	1402117	1394853	302732	295251	87.34864235258755	97.52883738752428
EAS	all_truth	SNV	old_full	1596880	1304500	1304500	1299819	302732	252574	81.39741245428586	83.43155001783757
EAS	all_truth	SNV	old_hprc	1596880	1399012	1399009	1391805	302732	294859	87.157770151796	97.39934992006131
EAS	all_truth	SV_length_site	full	5960	5936	5928	5184	3172	2436	86.97986577181209	76.796973518285
EAS	all_truth	SV_length_site	hprc	5960	5744	5734	4902	3172	2341	82.24832214765101	73.80201765447667
EAS	all_truth	SV_length_site	old_full	5960	4856	4853	4333	3172	2020	72.70134228187919	63.68221941992434
EAS	all_truth	SV_length_site	old_hprc	5960	5648	5637	4839	3172	2309	81.19127516778524	72.79319041614123
EAS	all_truth	small_complex	full	344600	341972	341957	335389	105226	99342	97.32704585026117	94.40822610381464
EAS	all_truth	small_complex	hprc	344600	291912	291888	284417	105226	98371	82.5354033662217	93.48545036397849
EAS	all_truth	small_complex	old_full	344600	281620	281605	276425	105226	85036	80.21619268717353	80.81272689259309
EAS	all_truth	small_complex	old_hprc	344600	290900	290876	283462	105226	98136	82.25827045850261	93.2621215288997
EAS	all_truth	truth_SV_length	full	1465	1464	1459	1117	1465	1117	76.24573378839591	76.24573378839591
EAS	all_truth	truth_SV_length	hprc	1465	1462	1455	1060	1465	1060	72.35494880546075	72.35494880546075
EAS	all_truth	truth_SV_length	old_full	1465	1217	1215	988	1465	988	67.44027303754267	67.44027303754267
EAS	all_truth	truth_SV_length	old_hprc	1465	1436	1430	1053	1465	1053	71.87713310580205	71.87713310580205
EAS	frozen_HPRC_sites	ALL	full	1695560	1695560	1695536	1682315	408689	397385	99.2188421524452	97.23408263985573
EAS	frozen_HPRC_sites	ALL	hprc	1695560	1695560	1695524	1680025	408689	395289	99.08378352874567	96.72122322842063
EAS	frozen_HPRC_sites	ALL	old_full	1695560	1402120	1402102	1391808	408689	339199	82.08544669607681	82.99685090619028
EAS	frozen_HPRC_sites	ALL	old_hprc	1695560	1695560	1695522	1680106	408689	395304	99.08856071150534	96.72489350092613
EAS	frozen_HPRC_sites	SNV	full	1399012	1399012	1399011	1393016	300793	295934	99.57141182491644	98.38460336510491
EAS	frozen_HPRC_sites	SNV	hprc	1399012	1399012	1399009	1391747	300793	294852	99.48070495463942	98.0248875472501
EAS	frozen_HPRC_sites	SNV	old_full	1399012	1154432	1154432	1149823	300793	252184	82.1882156836396	83.83971701469116
EAS	frozen_HPRC_sites	SNV	old_hprc	1399012	1399012	1399009	1391805	300793	294859	99.48485073752047	98.02721472906617
EAS	frozen_HPRC_sites	SV_length_site	full	5648	5648	5640	4930	3103	2402	87.28753541076487	77.40895907186594
EAS	frozen_HPRC_sites	SV_length_site	hprc	5648	5648	5639	4839	3103	2308	85.67634560906515	74.37963261359974
EAS	frozen_HPRC_sites	SV_length_site	old_full	5648	4688	4685	4166	3103	2019	73.76062322946176	65.06606509829197
EAS	frozen_HPRC_sites	SV_length_site	old_hprc	5648	5648	5637	4839	3103	2309	85.67634560906515	74.41185949081535
EAS	frozen_HPRC_sites	small_complex	full	290900	290900	290885	284369	104793	99049	97.75489859058095	94.51871785329173
EAS	frozen_HPRC_sites	small_complex	hprc	290900	290900	290876	283439	104793	98129	97.43520110003438	93.64079661809473
EAS	frozen_HPRC_sites	small_complex	old_full	290900	243000	242985	237819	104793	84996	81.75283602612582	81.10847098565743
EAS	frozen_HPRC_sites	small_complex	old_hprc	290900	290900	290876	283462	104793	98136	97.44310759711242	93.64747645357991
EAS	frozen_HPRC_sites	truth_SV_length	full	1436	1436	1431	1109	1436	1109	77.2284122562674	77.2284122562674
EAS	frozen_HPRC_sites	truth_SV_length	hprc	1436	1436	1430	1053	1436	1053	73.32869080779945	73.32869080779945
EAS	frozen_HPRC_sites	truth_SV_length	old_full	1436	1215	1213	987	1436	987	68.73259052924791	68.73259052924791
EAS	frozen_HPRC_sites	truth_SV_length	old_hprc	1436	1436	1430	1053	1436	1053	73.32869080779945	73.32869080779945
EAS	frozen_threeway_SNV	ALL	full	1007636	1007636	1007635	1005839	216287	214769	99.82166179056723	99.2981547665833
EAS	frozen_threeway_SNV	ALL	hprc	1007636	1007636	1007636	1005368	216287	214415	99.77491872064913	99.13448334851378
EAS	frozen_threeway_SNV	ALL	linear	1007636	1007636	1007636	1004519	216287	213618	99.69066210417253	98.76599148353807
EAS	frozen_threeway_SNV	ALL	old_full	1007636	1007636	1007636	1005890	216287	214795	99.82672314208702	99.31017583118727
EAS	frozen_threeway_SNV	ALL	old_hprc	1007636	1007636	1007636	1005382	216287	214422	99.7763081112624	99.13771978898409
EAS	frozen_threeway_SNV	SNV	full	1007636	1007636	1007635	1005839	216287	214769	99.82166179056723	99.2981547665833
EAS	frozen_threeway_SNV	SNV	hprc	1007636	1007636	1007636	1005368	216287	214415	99.77491872064913	99.13448334851378
EAS	frozen_threeway_SNV	SNV	linear	1007636	1007636	1007636	1004519	216287	213618	99.69066210417253	98.76599148353807
EAS	frozen_threeway_SNV	SNV	old_full	1007636	1007636	1007636	1005890	216287	214795	99.82672314208702	99.31017583118727
EAS	frozen_threeway_SNV	SNV	old_hprc	1007636	1007636	1007636	1005382	216287	214422	99.7763081112624	99.13771978898409
EAS	shared_new_sites	ALL	full	1699776	1699776	1699752	1686459	409432	398057	99.21654382695131	97.22176087848531
EAS	shared_new_sites	ALL	hprc	1699776	1699776	1699739	1684172	409432	395963	99.08199668662223	96.71032063932472
EAS	shared_new_sites	ALL	old_full	1699776	1402120	1402102	1391808	409432	339199	81.88184796114311	82.84623576076125
EAS	shared_new_sites	ALL	old_hprc	1699776	1695560	1695522	1680106	409432	395304	98.8427886968636	96.5493659508783
EAS	shared_new_sites	SNV	full	1402120	1402120	1402119	1396119	301194	296330	99.57200524919408	98.38509399257622
EAS	shared_new_sites	SNV	hprc	1402120	1402120	1402117	1394853	301194	295251	99.48171340541465	98.02685312456424
EAS	shared_new_sites	SNV	old_full	1402120	1154432	1154432	1149823	301194	252184	82.0060337203663	83.72809551319084
EAS	shared_new_sites	SNV	old_hprc	1402120	1399012	1399009	1391805	301194	294859	99.26432830285567	97.89670444962383
EAS	shared_new_sites	SV_length_site	full	5744	5744	5736	4993	3169	2435	86.92548746518106	76.83811928053014
EAS	shared_new_sites	SV_length_site	hprc	5744	5744	5734	4902	3169	2341	85.34122562674095	73.87188387503944
EAS	shared_new_sites	SV_length_site	old_full	5744	4688	4685	4166	3169	2019	72.52785515320335	63.710949826443674
EAS	shared_new_sites	SV_length_site	old_hprc	5744	5648	5637	4839	3169	2309	84.24442896935933	72.86210160934048
