run_accession	sample_accession	sample_alias	instrument_platform	library_strategy	library_source	library_layout	fastq_ftp
SRR29147638	SAMN41227964	pbAPR046	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/038/SRR29147638/SRR29147638_subreads.fastq.gz
SRR29147639	SAMN41227963	pbAPR045	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/039/SRR29147639/SRR29147639_subreads.fastq.gz
SRR29147640	SAMN41227962	pbAPR044	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/040/SRR29147640/SRR29147640_subreads.fastq.gz
SRR29147645	SAMN41227957	pbAPR039	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/045/SRR29147645/SRR29147645_subreads.fastq.gz
SRR29147649	SAMN41227953	pbAPR035	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/049/SRR29147649/SRR29147649_subreads.fastq.gz
SRR29147662	SAMN41227940	pbAPR021	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/062/SRR29147662/SRR29147662_subreads.fastq.gz
SRR29147663	SAMN41227939	pbAPR020	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/063/SRR29147663/SRR29147663_subreads.fastq.gz
SRR29147667	SAMN41227935	pbAPR015	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/067/SRR29147667/SRR29147667_subreads.fastq.gz
SRR29147672	SAMN41227930	pbAPR010	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/072/SRR29147672/SRR29147672_subreads.fastq.gz
SRR29147674	SAMN41227928	pbAPR008	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/074/SRR29147674/SRR29147674_subreads.fastq.gz
SRR29399615	SAMN41227902	APR037	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/015/SRR29399615/SRR29399615_1.fastq.gz
SRR29399617	SAMN41227871	APR004	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/017/SRR29399617/SRR29399617_1.fastq.gz
SRR29399618	SAMN41227893	APR027	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/018/SRR29399618/SRR29399618_1.fastq.gz
SRR29399633	SAMN41227908	APR043	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/033/SRR29399633/SRR29399633_1.fastq.gz
SRR29399635	SAMN41227907	APR042	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/035/SRR29399635/SRR29399635_1.fastq.gz
SRR29399637	SAMN41227905	APR040	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/037/SRR29399637/SRR29399637_1.fastq.gz
SRR29399639	SAMN41227888	APR022	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/039/SRR29399639/SRR29399639_1.fastq.gz
SRR29399645	SAMN41227883	APR016	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/045/SRR29399645/SRR29399645_1.fastq.gz
SRR29399647	SAMN41227881	APR014	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/047/SRR29399647/SRR29399647_1.fastq.gz
SRR29399656	SAMN41227877	APR010	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/056/SRR29399656/SRR29399656_1.fastq.gz
SRR29399660	SAMN41227920	APR-S	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/060/SRR29399660/SRR29399660_1.fastq.gz
SRR29411014	SAMN41832367	pbAPR-F	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/014/SRR29411014/SRR29411014_subreads.fastq.gz
SRR29411015	SAMN41832369	pbAPR-S	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/015/SRR29411015/SRR29411015_subreads.fastq.gz
SRR29411018	SAMN41832363	APR052	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/018/SRR29411018/SRR29411018_1.fastq.gz
SRR29411041	SAMN41832323	APR003	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/041/SRR29411041/SRR29411041_1.fastq.gz
SRR29411045	SAMN41832341	APR022	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/045/SRR29411045/SRR29411045_1.fastq.gz
SRR29411051	SAMN41832331	APR011	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/051/SRR29411051/SRR29411051_1.fastq.gz
SRR30296536	SAMN41227964	pbAPR046	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30296536/SRR30296536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30296536/SRR30296536_2.fastq.gz
SRR30344991	SAMN43302895	APR035	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/091/SRR30344991/SRR30344991_1.fastq.gz
SRR30344993	SAMN43302889	APR029	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/093/SRR30344993/SRR30344993_1.fastq.gz
SRR29147650	SAMN41227952	pbAPR034	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/050/SRR29147650/SRR29147650_subreads.fastq.gz
SRR29147652	SAMN41227950	pbAPR032	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/052/SRR29147652/SRR29147652_subreads.fastq.gz
SRR29147659	SAMN41227943	pbAPR024	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/059/SRR29147659/SRR29147659_subreads.fastq.gz
SRR29147677	SAMN41227925	pbAPR005	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/077/SRR29147677/SRR29147677_subreads.fastq.gz
SRR29399627	SAMN41227914	APR049	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/027/SRR29399627/SRR29399627_1.fastq.gz
SRR29399630	SAMN41227911	APR046	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/030/SRR29399630/SRR29399630_1.fastq.gz
SRR29399636	SAMN41227906	APR041	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/036/SRR29399636/SRR29399636_1.fastq.gz
SRR29399649	SAMN41227879	APR012	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/049/SRR29399649/SRR29399649_1.fastq.gz
SRR29411009	SAMN41832328	APR008	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/009/SRR29411009/SRR29411009_1.fastq.gz
SRR29411012	SAMN41832366	APR-S	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/012/SRR29411012/SRR29411012_1.fastq.gz
SRR29411013	SAMN41832365	APR-M	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/013/SRR29411013/SRR29411013_1.fastq.gz
SRR29411020	SAMN41832360	APR049	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/020/SRR29411020/SRR29411020_1.fastq.gz
SRR29411022	SAMN41832356	APR045	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/022/SRR29411022/SRR29411022_1.fastq.gz
SRR29411023	SAMN41832357	APR046	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/023/SRR29411023/SRR29411023_1.fastq.gz
SRR29411038	SAMN41832345	APR026	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/038/SRR29411038/SRR29411038_1.fastq.gz
SRR29411055	SAMN41832321	APR001	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/055/SRR29411055/SRR29411055_1.fastq.gz
SRR30296436	SAMN41227945	pbAPR026	ILLUMINA	Hi-C	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30296436/SRR30296436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30296436/SRR30296436_2.fastq.gz
SRR30296437	SAMN41227944	pbAPR025	ILLUMINA	Hi-C	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/037/SRR30296437/SRR30296437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/037/SRR30296437/SRR30296437_2.fastq.gz
SRR30296545	SAMN41227950	pbAPR032	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/045/SRR30296545/SRR30296545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/045/SRR30296545/SRR30296545_2.fastq.gz
SRR29147636	SAMN41227966	pbAPR048	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/036/SRR29147636/SRR29147636_subreads.fastq.gz
SRR29147637	SAMN41227965	pbAPR047	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/037/SRR29147637/SRR29147637_subreads.fastq.gz
SRR29147644	SAMN41227958	pbAPR040	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/044/SRR29147644/SRR29147644_subreads.fastq.gz
SRR29147646	SAMN41227956	pbAPR038	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/046/SRR29147646/SRR29147646_subreads.fastq.gz
SRR29147653	SAMN41227949	pbAPR031	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/053/SRR29147653/SRR29147653_subreads.fastq.gz
SRR29147656	SAMN41227946	pbAPR027	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/056/SRR29147656/SRR29147656_subreads.fastq.gz
SRR29147660	SAMN41227942	pbAPR023	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/060/SRR29147660/SRR29147660_subreads.fastq.gz
SRR29147661	SAMN41227941	pbAPR022	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/061/SRR29147661/SRR29147661_subreads.fastq.gz
