run	alias	library_strategy	title	HiC_title
SRR30296536	pbAPR046	WGS	Illumina NovaSeq 6000 paired end sequencing; apr046_hic	1
SRR30296436	pbAPR026	Hi-C	Illumina NovaSeq 6000 paired end sequencing; apr026_hic	1
SRR30296437	pbAPR025	Hi-C	Illumina NovaSeq 6000 paired end sequencing; apr025_hic	1
SRR30296545	pbAPR032	WGS	Illumina NovaSeq 6000 paired end sequencing; apr032_hic	1
SRR30296438	pbAPR024	Hi-C	Illumina NovaSeq 6000 paired end sequencing; apr024_hic	1
SRR30296439	pbAPR022	Hi-C	Illumina NovaSeq 6000 paired end sequencing; apr022_hic	1
SRR30296535	pbAPR047	WGS	Illumina NovaSeq 6000 paired end sequencing; apr047_hic	1
SRR30296538	pbAPR044	WGS	Illumina NovaSeq 6000 paired end sequencing; apr044_hic	1
SRR30296539	pbAPR043	WGS	Illumina NovaSeq 6000 paired end sequencing; apr043_hic	1
SRR30296540	pbAPR042	WGS	Illumina NovaSeq 6000 paired end sequencing; apr042_hic	1
SRR30296541	pbAPR052	WGS	Illumina NovaSeq 6000 paired end sequencing; apr052_hic	1
SRR30296542	pbAPR051	WGS	Illumina NovaSeq 6000 paired end sequencing; apr051_hic	1
SRR30296544	pbAPR036	WGS	Illumina NovaSeq 6000 paired end sequencing; apr036_hic	1
SRR30296543	pbAPR050	WGS	Illumina NovaSeq 6000 paired end sequencing; apr050_hic	1
SRR30296435	pbAPR031	Hi-C	Illumina NovaSeq 6000 paired end sequencing; apr031_hic	1
SRR30296533	pbAPR049	WGS	Illumina NovaSeq 6000 paired end sequencing; apr049_hic	1
SRR30296534	pbAPR048	WGS	Illumina NovaSeq 6000 paired end sequencing; apr048_hic	1
SRR30296537	pbAPR045	WGS	Illumina NovaSeq 6000 paired end sequencing; apr045_hic	1
