fold	sample	hap_id	donor
0	HG00706	HG00706#1	HG00706
0	HG00706	HG00706#2	HG00706
0	HG02155	HG02155#1	HG02155
0	HG02155	HG02155#2	HG02155
0	HG03239	HG03239#1	HG03239
0	HG03239	HG03239#2	HG03239
0	HG03742	HG03742#1	HG03742
0	HG03742	HG03742#2	HG03742
0	HG03804	HG03804#1	HG03804
0	HG03804	HG03804#2	HG03804
0	NA18620	NA18620#1	NA18620
0	NA18620	NA18620#2	NA18620
0	NA19087	NA19087#1	NA19087
0	NA19087	NA19087#2	NA19087
0	NA21093	NA21093#1	NA21093
0	NA21093	NA21093#2	NA21093
1	HG00658	HG00658#1	HG00658
1	HG00658	HG00658#2	HG00658
1	HG02132	HG02132#1	HG02132
1	HG02132	HG02132#2	HG02132
1	HG02178	HG02178#1	HG02178
1	HG02178	HG02178#2	HG02178
1	HG03831	HG03831#1	HG03831
1	HG03831	HG03831#2	HG03831
1	HG03874	HG03874#1	HG03874
1	HG03874	HG03874#2	HG03874
1	HG04199	HG04199#1	HG04199
1	HG04199	HG04199#2	HG04199
1	NA18608	NA18608#1	NA18608
1	NA18608	NA18608#2	NA18608
1	NA20905	NA20905#1	NA20905
1	NA20905	NA20905#2	NA20905
2	HG02027	HG02027#1	HG02027
2	HG02027	HG02027#2	HG02027
2	HG02391	HG02391#1	HG02391
2	HG02391	HG02391#2	HG02391
2	HG02602	HG02602#1	HG02602
2	HG02602	HG02602#2	HG02602
2	HG04115	HG04115#1	HG04115
2	HG04115	HG04115#2	HG04115
2	HG04187	HG04187#1	HG04187
2	HG04187	HG04187#2	HG04187
2	NA18570	NA18570#1	NA18570
2	NA18570	NA18570#2	NA18570
2	NA18940	NA18940#1	NA18940
2	NA18940	NA18940#2	NA18940
2	NA18940.JaSaPaGe	NA18940.JaSaPaGe#1	NA18940
2	NA18940.JaSaPaGe	NA18940.JaSaPaGe#2	NA18940
2	NA21144	NA21144#1	NA21144
2	NA21144	NA21144#2	NA21144
3	HG00558	HG00558#1	HG00558
3	HG00558	HG00558#2	HG00558
3	HG02165	HG02165#1	HG02165
3	HG02165	HG02165#2	HG02165
3	HG02523	HG02523#1	HG02523
3	HG02523	HG02523#2	HG02523
3	HG02738	HG02738#1	HG02738
3	HG02738	HG02738#2	HG02738
3	HG03688	HG03688#1	HG03688
3	HG03688	HG03688#2	HG03688
3	HG03927	HG03927#1	HG03927
3	HG03927	HG03927#2	HG03927
3	NA18952	NA18952#1	NA18952
3	NA18952	NA18952#2	NA18952
3	NA18952.JaSaPaGe	NA18952.JaSaPaGe#1	NA18952
3	NA18952.JaSaPaGe	NA18952.JaSaPaGe#2	NA18952
3	NA21106	NA21106#1	NA21106
3	NA21106	NA21106#2	NA21106
4	HG00609	HG00609#1	HG00609
4	HG00609	HG00609#2	HG00609
4	HG02074	HG02074#1	HG02074
4	HG02074	HG02074#2	HG02074
4	HG03017	HG03017#1	HG03017
4	HG03017	HG03017#2	HG03017
4	HG03784	HG03784#1	HG03784
4	HG03784	HG03784#2	HG03784
4	HG04157	HG04157#1	HG04157
4	HG04157	HG04157#2	HG04157
4	HG04204	HG04204#1	HG04204
4	HG04204	HG04204#2	HG04204
4	NA18747	NA18747#1	NA18747
4	NA18747	NA18747#2	NA18747
4	NA19088	NA19088#1	NA19088
4	NA19088	NA19088#2	NA19088
