JobID	JobName	State	ExitCode	Start	End	Elapsed	AllocCPUS
20632337_0	asian50_install	COMPLETED	0:0	2026-09-17T09:57:28	2026-09-17T09:59:28	00:02:00	4
20632337_1	asian50_install	COMPLETED	0:0	2026-09-17T09:59:29	2026-09-17T10:01:19	00:01:50	4
20632380_0	asian50_t1k	COMPLETED	0:0	2026-09-17T09:59:28	2026-09-17T10:02:00	00:02:32	4
20632380_1	asian50_t1k	COMPLETED	0:0	2026-09-17T09:59:28	2026-09-17T10:02:30	00:03:02	4
20632380_2	asian50_t1k	COMPLETED	0:0	2026-09-17T09:59:28	2026-09-17T10:02:08	00:02:40	4
20632380_3	asian50_t1k	COMPLETED	0:0	2026-09-17T10:02:01	2026-09-17T10:04:40	00:02:39	4
20632380_4	asian50_t1k	COMPLETED	0:0	2026-09-17T10:02:10	2026-09-17T10:04:20	00:02:10	4
20632380_5	asian50_t1k	COMPLETED	0:0	2026-09-17T10:02:32	2026-09-17T10:05:44	00:03:12	4
20632380_6	asian50_t1k	COMPLETED	0:0	2026-09-17T10:04:21	2026-09-17T10:07:14	00:02:53	4
20632380_7	asian50_t1k	COMPLETED	0:0	2026-09-17T10:04:43	2026-09-17T10:07:04	00:02:21	4
20632380_8	asian50_t1k	COMPLETED	0:0	2026-09-17T10:05:45	2026-09-17T10:08:25	00:02:40	4
20632380_9	asian50_t1k	COMPLETED	0:0	2026-09-17T10:07:05	2026-09-17T10:09:31	00:02:26	4
20632380_10	asian50_t1k	COMPLETED	0:0	2026-09-17T10:07:16	2026-09-17T10:09:54	00:02:38	4
20632380_11	asian50_t1k	COMPLETED	0:0	2026-09-17T10:08:26	2026-09-17T10:10:54	00:02:28	4
20632380_12	asian50_t1k	COMPLETED	0:0	2026-09-17T10:09:32	2026-09-17T10:12:05	00:02:33	4
20632380_13	asian50_t1k	COMPLETED	0:0	2026-09-17T10:09:55	2026-09-17T10:13:44	00:03:49	4
20632380_14	asian50_t1k	COMPLETED	0:0	2026-09-17T10:10:54	2026-09-17T10:13:27	00:02:33	4
20632380_15	asian50_t1k	COMPLETED	0:0	2026-09-17T10:12:07	2026-09-17T10:14:38	00:02:31	4
20632380_16	asian50_t1k	COMPLETED	0:0	2026-09-17T10:13:29	2026-09-17T10:15:54	00:02:25	4
20632380_17	asian50_t1k	COMPLETED	0:0	2026-09-17T10:13:47	2026-09-17T10:16:31	00:02:44	4
20632380_18	asian50_t1k	COMPLETED	0:0	2026-09-17T10:14:41	2026-09-17T10:17:02	00:02:21	4
20632380_19	asian50_t1k	COMPLETED	0:0	2026-09-17T10:15:57	2026-09-17T10:18:26	00:02:29	4
20632380_20	asian50_t1k	COMPLETED	0:0	2026-09-17T10:16:33	2026-09-17T10:19:12	00:02:39	4
20632380_21	asian50_t1k	COMPLETED	0:0	2026-09-17T10:17:03	2026-09-17T10:19:25	00:02:22	4
20632380_22	asian50_t1k	COMPLETED	0:0	2026-09-17T10:18:28	2026-09-17T10:20:53	00:02:25	4
20632380_23	asian50_t1k	COMPLETED	0:0	2026-09-17T10:19:14	2026-09-17T10:21:40	00:02:26	4
20632380_24	asian50_t1k	COMPLETED	0:0	2026-09-17T10:19:25	2026-09-17T10:21:58	00:02:33	4
20632380_25	asian50_t1k	COMPLETED	0:0	2026-09-17T10:20:54	2026-09-17T10:23:23	00:02:29	4
20632380_26	asian50_t1k	COMPLETED	0:0	2026-09-17T10:21:43	2026-09-17T10:24:24	00:02:41	4
20632380_27	asian50_t1k	COMPLETED	0:0	2026-09-17T10:22:00	2026-09-17T10:24:28	00:02:28	4
20632380_28	asian50_t1k	COMPLETED	0:0	2026-09-17T10:23:24	2026-09-17T10:25:22	00:01:58	4
20632380_29	asian50_t1k	COMPLETED	0:0	2026-09-17T10:24:26	2026-09-17T10:28:33	00:04:07	4
20632380_30	asian50_t1k	COMPLETED	0:0	2026-09-17T10:24:30	2026-09-17T10:26:59	00:02:29	4
20632380_31	asian50_t1k	COMPLETED	0:0	2026-09-17T10:25:24	2026-09-17T10:27:53	00:02:29	4
20632380_32	asian50_t1k	COMPLETED	0:0	2026-09-17T10:27:02	2026-09-17T10:29:42	00:02:40	4
20632380_33	asian50_t1k	COMPLETED	0:0	2026-09-17T10:27:54	2026-09-17T10:30:41	00:02:47	4
20632380_34	asian50_t1k	COMPLETED	0:0	2026-09-17T10:28:34	2026-09-17T10:31:09	00:02:35	4
20632380_35	asian50_t1k	COMPLETED	0:0	2026-09-17T10:29:44	2026-09-17T10:32:39	00:02:55	4
20632380_36	asian50_t1k	COMPLETED	0:0	2026-09-17T10:30:43	2026-09-17T10:33:30	00:02:47	4
20632380_37	asian50_t1k	COMPLETED	0:0	2026-09-17T10:31:10	2026-09-17T10:33:54	00:02:44	4
20632380_38	asian50_t1k	COMPLETED	0:0	2026-09-17T10:32:41	2026-09-17T10:35:07	00:02:26	4
20632380_39	asian50_t1k	COMPLETED	0:0	2026-09-17T10:33:32	2026-09-17T10:35:39	00:02:07	4
20632398	asian50_fullgraph	FAILED	6:0	2026-09-17T10:00:09	2026-09-17T10:00:15	00:00:06	8
20632448	asian50_fullgraph	COMPLETED	0:0	2026-09-17T10:02:19	2026-09-17T10:07:44	00:05:25	8
20632470_0	asian50_spechla	COMPLETED	0:0	2026-09-17T10:03:08	2026-09-17T10:11:23	00:08:15	4
20632470_1	asian50_spechla	COMPLETED	0:0	2026-09-17T10:11:24	2026-09-17T10:19:59	00:08:35	4
20632470_2	asian50_spechla	COMPLETED	0:0	2026-09-17T10:20:02	2026-09-17T10:28:33	00:08:31	4
20632470_3	asian50_spechla	COMPLETED	0:0	2026-09-17T10:28:34	2026-09-17T10:36:43	00:08:09	4
20632470_4	asian50_spechla	COMPLETED	0:0	2026-09-17T10:32:50	2026-09-17T10:40:24	00:07:34	4
20632470_5	asian50_spechla	COMPLETED	0:0	2026-09-17T10:33:55	2026-09-17T10:43:45	00:09:50	4
20632470_6	asian50_spechla	COMPLETED	0:0	2026-09-17T10:35:08	2026-09-17T10:43:45	00:08:37	4
20632470_7	asian50_spechla	COMPLETED	0:0	2026-09-17T10:36:44	2026-09-17T10:44:14	00:07:30	4
20632470_8	asian50_spechla	COMPLETED	0:0	2026-09-17T10:36:56	2026-09-17T10:45:03	00:08:07	4
20632470_9	asian50_spechla	COMPLETED	0:0	2026-09-17T10:40:25	2026-09-17T10:48:11	00:07:46	4
20632470_10	asian50_spechla	COMPLETED	0:0	2026-09-17T10:43:46	2026-09-17T10:51:51	00:08:05	4
20632470_11	asian50_spechla	COMPLETED	0:0	2026-09-17T10:43:46	2026-09-17T10:51:58	00:08:12	4
20632470_12	asian50_spechla	COMPLETED	0:0	2026-09-17T10:44:15	2026-09-17T10:52:29	00:08:14	4
20632470_13	asian50_spechla	COMPLETED	0:0	2026-09-17T10:45:04	2026-09-17T10:56:20	00:11:16	4
20632470_14	asian50_spechla	COMPLETED	0:0	2026-09-17T10:48:12	2026-09-17T10:56:28	00:08:16	4
20632470_15	asian50_spechla	COMPLETED	0:0	2026-09-17T10:51:54	2026-09-17T11:00:30	00:08:36	4
