donor	stratum	T1K_gene_rows	SpecHLA_allele_fields	full_records	full_missing_GT	hprc_records	hprc_missing_GT
HG02155	EAS	41	16	81278	2	87703	5
NA18620	EAS	41	16	81278	1	87703	3
HG00706	EAS	41	16	81278	2	87703	1
NA19087	EAS	41	16	81278	1	87703	6
HG03804	SAS	41	16	81278	1	87703	6
NA21093	SAS	41	16	81278	0	87703	3
HG03742	SAS	41	16	81278	0	87703	1
HG03239	SAS	41	16	81278	3	87703	1
HG02178	EAS	41	16	81224	0	87651	0
NA18608	EAS	41	16	81224	0	87651	1
HG00658	EAS	41	16	81224	5	87651	3
HG02132	EAS	41	16	81224	8	87651	8
HG03831	SAS	41	16	81224	0	87651	4
NA20905	SAS	41	16	81224	1	87651	1
HG03874	SAS	41	16	81224	0	87651	4
HG04199	SAS	41	16	81224	5	87651	3
HG02391	EAS	41	16	81297	4	87594	2
NA18570	EAS	41	16	81297	0	87594	0
NA18940	EAS	41	16	81297	2	87594	2
HG02027	EAS	41	16	81297	1	87594	5
HG04187	SAS	41	16	81297	0	87594	2
NA21144	SAS	41	16	81297	2	87594	6
HG02602	SAS	41	16	81297	2	87594	5
HG04115	SAS	41	16	81297	4	87594	8
HG02165	EAS	41	16	81313	1	87875	3
HG00558	EAS	41	16	81313	1	87875	1
NA18952	EAS	41	16	81313	0	87875	4
HG02523	EAS	41	16	81313	0	87875	0
HG03927	SAS	41	16	81313	0	87875	1
NA21106	SAS	41	16	81313	3	87875	0
HG02738	SAS	41	16	81313	1	87875	9
HG03688	SAS	41	16	81313	2	87875	4
NA18747	EAS	41	16	81226	1	87256	2
HG00609	EAS	41	16	81226	1	87256	3
NA19088	EAS	41	16	81226	0	87256	1
HG02074	EAS	41	16	81226	1	87256	1
HG04157	SAS	41	16	81226	3	87256	4
HG03784	SAS	41	16	81226	2	87256	3
HG03017	SAS	41	16	81226	2	87256	2
HG04204	SAS	41	16	81226	1	87256	2
