donor	population	superpopulation	family	fold	experimental_HLA_labels	paired_RCCX_annotations	previous_structural_read_evaluation	selection_sha256
HG02165	CDX	EAS	HG02165	0	0	1	1	066fb707206d431f6841cc6bbcb72f641e9a6fbcb849a2b9766cf00813aae0c7
NA18608	CHB	EAS	NA18608	0	1	1	1	291c5b97ab261b11ac88e92237e5b779a86faa7df7ab71e78035c262e1b69e41
HG00609	CHS	EAS	HG00607	0	0	1	0	ab3fadfafa2f95a827a8edb704c0b7c31a70c10e6703c5b9e0a52b53449d05f2
HG00621	CHS	EAS	HG00619	0	0	1	0	386e4f7449cd2b343fa98da62b63d97abf86846c89c3ac1e12948dd0f70af891
NA18943	JPT	EAS	NA18943	0	1	1	1	df1d3e19fd17a8919c11684207a9b27377d1651f99fb37beaba7900fb59cbdd1
NA18974	JPT	EAS	NA18974	0	1	1	1	0ec69c5853c4f829a800a07f9c061763d106479864ea7a84af57514db3ad9065
NA18990	JPT	EAS	NA18990	0	1	1	1	bedc55c7b84ed32d3d43cffa647da07f5fe128bc2e99338e257a5c11d5aec3ca
NA19079	JPT	EAS	NA19079	0	1	1	1	71f9b8a398c0238ecdb1220e45d386037df68db59ab79c6c7216f466060f4340
HG02027	KHV	EAS	HG02027	0	0	1	0	296cec2fab745ce0e3843bf9dc103d55bef988cbcf5ead3c40e27d1c46a24539
HG02074	KHV	EAS	HG02074	0	0	1	0	81c2c8fcce78279448c1e9f72a387961568539da62aa2b949c9c51b6056b2b5d
HG02178	CDX	EAS	HG02178	1	0	1	1	1089663c0384f15e4b5d0c1a4557615365810d7486860598738497ad304f1d6a
NA18620	CHB	EAS	NA18620	1	1	1	1	30b4915e67a41b4b4ed784b8f17f9548f84f5a8f1921f09402fb8dc050a9b161
HG00423	CHS	EAS	HG00421	1	0	1	0	40773e2aa3bd4d0460ea43bcab353f8a21178990dd54bdcef012fcd39b37f73b
HG00658	CHS	EAS	HG00656	1	0	1	0	b8094d8c2b1415f04b3146a6ba029932c687e9f26a57a69e5b6ba0a54d30d353
