fold	sample	hap_id	donor	family
0	HG00609	HG00609#1	HG00609	HG00607
0	HG00609	HG00609#2	HG00609	HG00607
0	HG00621	HG00621#1	HG00621	HG00619
0	HG00621	HG00621#2	HG00621	HG00619
0	HG02027	HG02027#1	HG02027	HG02027
0	HG02027	HG02027#2	HG02027	HG02027
0	HG02074	HG02074#1	HG02074	HG02074
0	HG02074	HG02074#2	HG02074	HG02074
0	HG02165	HG02165#1	HG02165	HG02165
0	HG02165	HG02165#2	HG02165	HG02165
0	NA18608	NA18608#1	NA18608	NA18608
0	NA18608	NA18608#2	NA18608	NA18608
0	NA18943	NA18943#1	NA18943	NA18943
0	NA18943	NA18943#2	NA18943	NA18943
0	NA18943.JaSaPaGe	NA18943.JaSaPaGe#1	NA18943	NA18943
0	NA18943.JaSaPaGe	NA18943.JaSaPaGe#2	NA18943	NA18943
0	NA18974	NA18974#1	NA18974	NA18974
0	NA18974	NA18974#2	NA18974	NA18974
0	NA18990	NA18990#1	NA18990	NA18990
0	NA18990	NA18990#2	NA18990	NA18990
0	NA19079	NA19079#1	NA19079	NA19079
0	NA19079	NA19079#2	NA19079	NA19079
1	HG00423	HG00423#1	HG00423	HG00421
1	HG00423	HG00423#2	HG00423	HG00421
1	HG00658	HG00658#1	HG00658	HG00656
1	HG00658	HG00658#2	HG00658	HG00656
1	HG02083	HG02083#1	HG02083	HG02083
1	HG02083	HG02083#2	HG02083	HG02083
1	HG02178	HG02178#1	HG02178	HG02178
1	HG02178	HG02178#2	HG02178	HG02178
1	HG02514	HG02514#1	HG02514	HG02512
1	HG02514	HG02514#2	HG02514	HG02512
1	NA18620	NA18620#1	NA18620	NA18620
1	NA18620	NA18620#2	NA18620	NA18620
1	NA18940	NA18940#1	NA18940	NA18940
1	NA18940	NA18940#2	NA18940	NA18940
1	NA18940.JaSaPaGe	NA18940.JaSaPaGe#1	NA18940	NA18940
1	NA18940.JaSaPaGe	NA18940.JaSaPaGe#2	NA18940	NA18940
1	NA18948	NA18948#1	NA18948	NA18948
1	NA18948	NA18948#2	NA18948	NA18948
1	NA18960	NA18960#1	NA18960	NA18960
1	NA18960	NA18960#2	NA18960	NA18960
1	NA18971	NA18971#1	NA18971	NA18971
1	NA18971	NA18971#2	NA18971	NA18971
2	HG00438	HG00438#1	HG00438	HG00436
