donor	public_cram_url
HG02165	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242172/HG02165.final.cram
NA18608	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239379/NA18608.final.cram
HG00609	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram
HG00621	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988803/HG00621.final.cram
NA18943	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239394/NA18943.final.cram
NA18974	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239416/NA18974.final.cram
NA18990	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239569/NA18990.final.cram
NA19079	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239607/NA19079.final.cram
HG02027	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram
HG02074	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram
HG02178	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242174/HG02178.final.cram
NA18620	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239517/NA18620.final.cram
HG00423	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988765/HG00423.final.cram
HG00658	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram
NA18940	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239392/NA18940.final.cram
NA18948	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239398/NA18948.final.cram
NA18960	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239405/NA18960.final.cram
NA18971	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239413/NA18971.final.cram
HG02083	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988987/HG02083.final.cram
HG02514	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989021/HG02514.final.cram
HG02392	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242281/HG02392.final.cram
NA18570	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram
