donor	full_cram	full_readable	mhc_cram	mhc_readable	existing_t1k	assembly1	assembly2
HG02165	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02165/HG02165.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02165.mhc.cram	1	1	1	1
NA18608	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18608/NA18608.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18608.mhc.cram	1	1	1	1
HG00609	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00609/HG00609.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00609.mhc.cram	0	0	1	1
HG00621	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00621/HG00621.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00621.mhc.cram	0	0	1	1
NA18943	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18943/NA18943.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18943.mhc.cram	1	1	1	1
NA18974	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18974/NA18974.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18974.mhc.cram	1	1	1	1
NA18990	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18990/NA18990.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18990.mhc.cram	1	1	1	1
NA19079	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19079/NA19079.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA19079.mhc.cram	1	1	1	1
HG02027	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02027/HG02027.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02027.mhc.cram	0	0	1	1
HG02074	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02074/HG02074.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02074.mhc.cram	0	0	1	1
HG02178	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02178/HG02178.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02178.mhc.cram	1	1	1	1
NA18620	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18620/NA18620.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18620.mhc.cram	1	1	1	1
HG00423	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00423/HG00423.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00423.mhc.cram	0	0	1	1
HG00658	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00658/HG00658.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00658.mhc.cram	0	0	1	1
NA18940	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18940/NA18940.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18940.mhc.cram	1	1	1	1
NA18948	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18948/NA18948.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18948.mhc.cram	1	1	1	1
NA18960	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18960/NA18960.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18960.mhc.cram	1	1	1	1
NA18971	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18971/NA18971.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18971.mhc.cram	1	1	1	1
HG02083	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02083/HG02083.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02083.mhc.cram	0	0	1	1
HG02514	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02514/HG02514.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02514.mhc.cram	0	0	1	1
HG02392	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02392/HG02392.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02392.mhc.cram	1	1	1	1
NA18570	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18570/NA18570.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18570.mhc.cram	1	1	1	1
HG00438	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00438/HG00438.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00438.mhc.cram	1	0	1	1
HG00706	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00706/HG00706.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00706.mhc.cram	0	0	1	1
NA18967	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18967/NA18967.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18967.mhc.cram	1	1	1	1
NA18976	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18976/NA18976.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18976.mhc.cram	1	1	1	1
NA19066	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19066/NA19066.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA19066.mhc.cram	1	1	1	1
NA19088	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19088/NA19088.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA19088.mhc.cram	1	1	1	1
HG02071	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02071/HG02071.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02071.mhc.cram	1	0	1	1
HG02129	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02129/HG02129.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02129.mhc.cram	0	0	1	1
HG02155	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02155/HG02155.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02155.mhc.cram	1	1	1	1
NA18565	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18565/NA18565.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18565.mhc.cram	1	1	1	1
HG00408	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00408/HG00408.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00408.mhc.cram	0	0	1	1
HG00544	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00544/HG00544.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00544.mhc.cram	0	0	1	1
NA18945	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18945/NA18945.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18945.mhc.cram	1	1	1	1
NA18952	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18952/NA18952.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18952.mhc.cram	1	1	1	1
NA18959	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18959/NA18959.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18959.mhc.cram	1	1	1	1
NA19007	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19007/NA19007.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA19007.mhc.cram	1	1	1	1
HG02056	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02056/HG02056.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02056.mhc.cram	0	0	1	1
HG02080	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02080/HG02080.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02080.mhc.cram	0	0	1	1
HG02391	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02391/HG02391.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02391.mhc.cram	1	1	1	1
NA18747	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18747/NA18747.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18747.mhc.cram	1	1	1	1
HG00597	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00597/HG00597.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00597.mhc.cram	0	0	1	1
HG00673	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00673/HG00673.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG00673.mhc.cram	1	0	1	1
NA18944	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18944/NA18944.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18944.mhc.cram	1	1	1	1
NA18970	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18970/NA18970.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA18970.mhc.cram	1	1	1	1
NA19087	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19087/NA19087.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/NA19087.mhc.cram	1	1	1	1
HG02040	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02040/HG02040.cram	1	/home/asianhla/data/upload/1000G_MHC/cram/HG02040.mhc.cram	1	1	1	1
HG02132	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02132/HG02132.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02132.mhc.cram	0	0	1	1
HG02523	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02523/HG02523.cram	0	/home/leechuck/hla/codex-targeted/fresh_reads/HG02523.mhc.cram	0	0	1	1
