level	cohort	superpopulation	genotypes	ineligible	no_t1k_output	call_rate_pct	genotype_accuracy_pct	allele_accuracy_pct
g_group	leak_gourraud	AFR	55	0	35	100.0	92.73	96.36
g_group	leak_gourraud	ALL	420	0	45	100.0	98.81	99.4
g_group	leak_gourraud	AMR	255	0	10	100.0	99.61	99.8
g_group	leak_gourraud	EAS	110	0	0	100.0	100.0	100.0
g_group	test_A_loo	AFR	65	0	10	100.0	98.46	99.23
g_group	test_A_loo	ALL	308	2	10	100.0	98.38	99.03
g_group	test_A_loo	AMR	15	0	0	100.0	100.0	100.0
g_group	test_A_loo	EAS	113	2	0	100.0	96.46	97.79
g_group	test_A_loo	EUR	115	0	0	100.0	100.0	100.0
g_group	test_B_gourraud	AFR	735	1	204	100.0	97.41	98.71
g_group	test_B_gourraud	ALL	4042	7	681	100.0	98.71	99.31
g_group	test_B_gourraud	AMR	695	0	170	100.0	99.14	99.57
g_group	test_B_gourraud	EAS	1109	1	40	100.0	98.38	99.01
g_group	test_B_gourraud	EUR	1503	5	267	100.0	99.4	99.7
two_field	leak_gourraud	AFR	55	0	35	100.0	87.27	93.64
two_field	leak_gourraud	ALL	420	0	45	100.0	96.9	98.45
two_field	leak_gourraud	AMR	255	0	10	100.0	97.65	98.82
two_field	leak_gourraud	EAS	110	0	0	100.0	100.0	100.0
two_field	test_A_loo	AFR	65	0	10	100.0	89.23	94.62
two_field	test_A_loo	ALL	308	2	10	100.0	92.86	96.1
two_field	test_A_loo	AMR	15	0	0	100.0	100.0	100.0
two_field	test_A_loo	EAS	113	2	0	100.0	91.15	95.13
two_field	test_A_loo	EUR	115	0	0	100.0	95.65	97.39
two_field	test_B_gourraud	AFR	735	1	204	100.0	91.7	95.31
two_field	test_B_gourraud	ALL	4042	7	681	100.0	95.27	97.45
two_field	test_B_gourraud	AMR	695	0	170	100.0	95.97	97.99
two_field	test_B_gourraud	EAS	1109	1	40	100.0	95.22	97.39
two_field	test_B_gourraud	EUR	1503	5	267	100.0	96.74	98.3
