cohort	donor	family	population	superpopulation	dev	gourraud	cram
test_A_loo	HG00097	HG00097	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00097/HG00097.cram
test_A_loo	HG00099	HG00099	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00099/HG00099.cram
test_A_loo	HG00126	HG00126	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00126/HG00126.cram
test_A_loo	HG00128	HG00128	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00128/HG00128.cram
test_A_loo	HG00133	HG00133	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00133/HG00133.cram
test_A_loo	HG00140	HG00140	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00140/HG00140.cram
test_A_loo	HG00146	GBR002	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00146/HG00146.cram
test_A_loo	HG00232	HG00232	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00232/HG00232.cram
test_A_loo	HG00235	HG00235	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00235/HG00235.cram
test_A_loo	HG00253	HG00253	GBR	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00253/HG00253.cram
test_A_loo	HG00272	HG00272	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00272/HG00272.cram
test_A_loo	HG00280	HG00280	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00280/HG00280.cram
test_A_loo	HG00290	HG00290	FIN	EUR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00290/HG00290.cram
test_A_loo	HG00320	HG00320	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00320/HG00320.cram
test_A_loo	HG00321	HG00321	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00321/HG00321.cram
test_A_loo	HG00323	HG00323	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00323/HG00323.cram
test_A_loo	HG00329	HG00329	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00329/HG00329.cram
test_A_loo	HG00344	HG00344	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00344/HG00344.cram
test_A_loo	HG00350	HG00350	FIN	EUR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00350/HG00350.cram
test_A_loo	HG00408	SH002	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988762/HG00408.final.cram
test_A_loo	HG00423	SH007	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988765/HG00423.final.cram
test_A_loo	HG00438	SH012	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988768/HG00438.final.cram
test_A_loo	HG00544	SH042	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988786/HG00544.final.cram
test_A_loo	HG00558	SH045	CHS	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988789/HG00558.final.cram
test_A_loo	HG00597	SH058	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988799/HG00597.final.cram
test_A_loo	HG00609	SH062	CHS	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram
test_A_loo	HG00621	SH066	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988803/HG00621.final.cram
test_A_loo	HG00639	PR03	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988808/HG00639.final.cram
