arm	gene	gene_pairs	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
A-fixed	A	1	0	2	7020	7020	0	0	1	1	1	1	1	1
A-fixed	ALL	8	2579	6	115870	116873	1052	1769	8	8	8	8	8	7
A-fixed	B	1	1	1	8165	8165	0	1	1	1	1	1	1	1
A-fixed	C	1	21	1	8586	8607	0	0	1	1	1	1	1	1
A-fixed	DPA1	1	218	0	19445	19628	72	93	1	1	1	1	1	0
A-fixed	DPB1	1	188	0	22996	22996	178	188	1	1	1	1	1	1
A-fixed	DQA1	1	0	2	12970	12970	0	0	1	1	1	1	1	1
A-fixed	DQB1	1	819	0	14213	14997	802	819	1	1	1	1	1	1
A-fixed	DRB1	1	1332	0	22475	22490	0	668	1	1	1	1	1	1
A-replay	A	1	0	2	7020	7020	0	0	1	1	1	1	1	1
A-replay	ALL	8	2631	6	115870	116873	1052	1821	8	7	8	8	8	7
A-replay	B	1	1	1	8165	8165	0	1	1	1	1	1	1	1
A-replay	C	1	21	1	8586	8607	0	0	1	1	1	1	1	1
A-replay	DPA1	1	228	0	19445	19628	72	103	1	1	1	1	1	1
A-replay	DPB1	1	230	0	22996	22996	178	230	1	0	1	1	1	0
A-replay	DQA1	1	0	2	12970	12970	0	0	1	1	1	1	1	1
A-replay	DQB1	1	819	0	14213	14997	802	819	1	1	1	1	1	1
A-replay	DRB1	1	1332	0	22475	22490	0	668	1	1	1	1	1	1
AE-ipd365	A	1	0	2	7020	7020	0	0	1	1	1	1	1	1
AE-ipd365	ALL	8	2625	6	115870	116873	1052	1815	8	7	8	8	8	6
AE-ipd365	B	1	1	1	8165	8165	0	1	1	1	1	1	1	1
AE-ipd365	C	1	21	1	8586	8607	0	0	1	1	1	1	1	1
AE-ipd365	DPA1	1	206	0	19445	19628	72	81	1	1	1	1	1	0
AE-ipd365	DPB1	1	246	0	22996	22996	178	246	1	0	1	1	1	0
AE-ipd365	DQA1	1	0	2	12970	12970	0	0	1	1	1	1	1	1
AE-ipd365	DQB1	1	819	0	14213	14997	802	819	1	1	1	1	1	1
AE-ipd365	DRB1	1	1332	0	22475	22490	0	668	1	1	1	1	1	1
AE-panel	A	1	0	2	7020	7020	0	0	1	1	1	1	1	1
AE-panel	ALL	8	2625	6	115870	116873	1052	1815	8	7	8	8	8	6
AE-panel	B	1	1	1	8165	8165	0	1	1	1	1	1	1	1
AE-panel	C	1	21	1	8586	8607	0	0	1	1	1	1	1	1
AE-panel	DPA1	1	206	0	19445	19628	72	81	1	1	1	1	1	0
AE-panel	DPB1	1	246	0	22996	22996	178	246	1	0	1	1	1	0
AE-panel	DQA1	1	0	2	12970	12970	0	0	1	1	1	1	1	1
AE-panel	DQB1	1	819	0	14213	14997	802	819	1	1	1	1	1	1
AE-panel	DRB1	1	1332	0	22475	22490	0	668	1	1	1	1	1	1
