donor	ancestry	population	family	gourraud_overlap	matched64	eligibility	cram
HG01879	AFR	ACB	BB01	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242292/HG01879.final.cram
HG01880	AFR	ACB	BB01	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242293/HG01880.final.cram
HG01882	AFR	ACB	BB02	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242189/HG01882.final.cram
HG01883	AFR	ACB	BB02	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242190/HG01883.final.cram
HG01886	AFR	ACB	BB04	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242194/HG01886.final.cram
HG01894	AFR	ACB	BB06	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242235/HG01894.final.cram
HG01896	AFR	ACB	BB07	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242295/HG01896.final.cram
HG01912	AFR	ACB	BB06	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242234/HG01912.final.cram
HG01914	AFR	ACB	BB09	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242218/HG01914.final.cram
HG01915	AFR	ACB	BB09	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242219/HG01915.final.cram
HG01958	AFR	ACB	BB10	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242221/HG01958.final.cram
HG01985	AFR	ACB	BB08	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242296/HG01985.final.cram
HG01986	AFR	ACB	BB10	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242220/HG01986.final.cram
HG01990	AFR	ACB	BB12	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242222/HG01990.final.cram
HG02009	AFR	ACB	BB13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242197/HG02009.final.cram
HG02010	AFR	ACB	BB13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242198/HG02010.final.cram
HG02012	AFR	ACB	BB12	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242223/HG02012.final.cram
HG02013	AFR	ACB	BB07	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242294/HG02013.final.cram
HG02014	AFR	ACB	BB04	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242193/HG02014.final.cram
HG02051	AFR	ACB	BB14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242299/HG02051.final.cram
HG02052	AFR	ACB	BB14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242300/HG02052.final.cram
HG02095	AFR	ACB	BB16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242301/HG02095.final.cram
HG02107	AFR	ACB	BB18	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242303/HG02107.final.cram
HG02108	AFR	ACB	BB18	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242304/HG02108.final.cram
HG02111	AFR	ACB	BB19	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242305/HG02111.final.cram
HG02281	AFR	ACB	BB24	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242230/HG02281.final.cram
HG02282	AFR	ACB	BB24	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242231/HG02282.final.cram
HG02283	AFR	ACB	BB25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242310/HG02283.final.cram
HG02284	AFR	ACB	BB26	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242312/HG02284.final.cram
HG02309	AFR	ACB	BB25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242311/HG02309.final.cram
HG02317	AFR	ACB	BB27	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242232/HG02317.final.cram
HG02318	AFR	ACB	BB27	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242233/HG02318.final.cram
HG02322	AFR	ACB	BB28	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242313/HG02322.final.cram
HG02323	AFR	ACB	BB29	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242314/HG02323.final.cram
HG02325	AFR	ACB	BB30	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242315/HG02325.final.cram
HG02330	AFR	ACB	BB33	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242318/HG02330.final.cram
HG02332	AFR	ACB	BB16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242302/HG02332.final.cram
HG02334	AFR	ACB	BB32	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242317/HG02334.final.cram
