donor	method	state
HG00096	SpecHLA-IPD365-noFreq	complete
HG00096	T1K-four-field	complete
HG00096	full:DogoHLA	complete
HG00096	full:DogoHLA-no-graph	complete
HG00096	hprc:DogoHLA	complete
HG00096	hprc:DogoHLA-no-graph	complete
HG00096	asian_matched:DogoHLA	complete
HG00096	asian_matched:DogoHLA-no-graph	complete
HG00100	SpecHLA-IPD365-noFreq	complete
HG00100	T1K-four-field	complete
HG00100	full:DogoHLA	complete
HG00100	full:DogoHLA-no-graph	complete
HG00100	hprc:DogoHLA	complete
HG00100	hprc:DogoHLA-no-graph	complete
HG00100	asian_matched:DogoHLA	complete
HG00100	asian_matched:DogoHLA-no-graph	complete
HG00101	SpecHLA-IPD365-noFreq	complete
HG00101	T1K-four-field	complete
HG00101	full:DogoHLA	complete
HG00101	full:DogoHLA-no-graph	complete
HG00101	hprc:DogoHLA	complete
HG00101	hprc:DogoHLA-no-graph	complete
HG00101	asian_matched:DogoHLA	complete
HG00101	asian_matched:DogoHLA-no-graph	complete
HG00102	SpecHLA-IPD365-noFreq	complete
HG00102	T1K-four-field	complete
HG00102	full:DogoHLA	complete
HG00102	full:DogoHLA-no-graph	complete
HG00102	hprc:DogoHLA	complete
HG00102	hprc:DogoHLA-no-graph	complete
HG00102	asian_matched:DogoHLA	complete
HG00102	asian_matched:DogoHLA-no-graph	complete
HG00103	SpecHLA-IPD365-noFreq	complete
HG00103	T1K-four-field	complete
HG00103	full:DogoHLA	complete
HG00103	full:DogoHLA-no-graph	complete
HG00103	hprc:DogoHLA	complete
HG00103	hprc:DogoHLA-no-graph	complete
HG00103	asian_matched:DogoHLA	complete
HG00103	asian_matched:DogoHLA-no-graph	complete
HG00105	SpecHLA-IPD365-noFreq	complete
HG00105	T1K-four-field	complete
HG00105	full:DogoHLA	complete
HG00105	full:DogoHLA-no-graph	complete
HG00105	hprc:DogoHLA	complete
HG00105	hprc:DogoHLA-no-graph	complete
HG00105	asian_matched:DogoHLA	complete
HG00105	asian_matched:DogoHLA-no-graph	complete
HG00106	SpecHLA-IPD365-noFreq	complete
HG00106	T1K-four-field	complete
HG00106	full:DogoHLA	complete
HG00106	full:DogoHLA-no-graph	complete
HG00106	hprc:DogoHLA	complete
HG00106	hprc:DogoHLA-no-graph	complete
HG00106	asian_matched:DogoHLA	complete
HG00106	asian_matched:DogoHLA-no-graph	complete
HG00107	SpecHLA-IPD365-noFreq	complete
HG00107	T1K-four-field	complete
HG00107	full:DogoHLA	complete
HG00107	full:DogoHLA-no-graph	complete
HG00107	hprc:DogoHLA	complete
HG00107	hprc:DogoHLA-no-graph	complete
HG00107	asian_matched:DogoHLA	complete
HG00107	asian_matched:DogoHLA-no-graph	complete
HG00108	SpecHLA-IPD365-noFreq	complete
HG00108	T1K-four-field	complete
HG00108	full:DogoHLA	complete
HG00108	full:DogoHLA-no-graph	complete
HG00108	hprc:DogoHLA	complete
HG00108	hprc:DogoHLA-no-graph	complete
HG00108	asian_matched:DogoHLA	complete
HG00108	asian_matched:DogoHLA-no-graph	complete
HG00109	SpecHLA-IPD365-noFreq	complete
HG00109	T1K-four-field	complete
HG00109	full:DogoHLA	complete
HG00109	full:DogoHLA-no-graph	complete
HG00109	hprc:DogoHLA	complete
HG00109	hprc:DogoHLA-no-graph	complete
HG00109	asian_matched:DogoHLA	complete
HG00109	asian_matched:DogoHLA-no-graph	complete
HG00110	SpecHLA-IPD365-noFreq	complete
HG00110	T1K-four-field	complete
HG00110	full:DogoHLA	complete
HG00110	full:DogoHLA-no-graph	complete
HG00110	hprc:DogoHLA	complete
HG00110	hprc:DogoHLA-no-graph	complete
HG00110	asian_matched:DogoHLA	complete
HG00110	asian_matched:DogoHLA-no-graph	complete
HG00111	SpecHLA-IPD365-noFreq	complete
HG00111	T1K-four-field	complete
HG00111	full:DogoHLA	complete
HG00111	full:DogoHLA-no-graph	complete
