method	stratum	planned	complete	eligible	called	correct	allele_matches
SpecHLA-IPD365-noFreq	ALL	946	0	4723	0	0	0
SpecHLA-IPD365-noFreq	EAS	230	0	1149	0	0	0
SpecHLA-IPD365-noFreq	EUR	355	0	1770	0	0	0
SpecHLA-IPD365-noFreq	AFR	188	0	939	0	0	0
SpecHLA-IPD365-noFreq	AMR	173	0	865	0	0	0
T1K-four-field	ALL	946	192	4723	960	935	1894
T1K-four-field	EAS	230	28	1149	140	133	273
T1K-four-field	EUR	355	164	1770	820	802	1621
T1K-four-field	AFR	188	0	939	0	0	0
T1K-four-field	AMR	173	0	865	0	0	0
full:DogoHLA	ALL	946	0	4723	0	0	0
full:DogoHLA	EAS	230	0	1149	0	0	0
full:DogoHLA	EUR	355	0	1770	0	0	0
full:DogoHLA	AFR	188	0	939	0	0	0
full:DogoHLA	AMR	173	0	865	0	0	0
full:DogoHLA-no-graph	ALL	946	0	4723	0	0	0
full:DogoHLA-no-graph	EAS	230	0	1149	0	0	0
full:DogoHLA-no-graph	EUR	355	0	1770	0	0	0
full:DogoHLA-no-graph	AFR	188	0	939	0	0	0
full:DogoHLA-no-graph	AMR	173	0	865	0	0	0
hprc:DogoHLA	ALL	946	0	4723	0	0	0
hprc:DogoHLA	EAS	230	0	1149	0	0	0
hprc:DogoHLA	EUR	355	0	1770	0	0	0
hprc:DogoHLA	AFR	188	0	939	0	0	0
hprc:DogoHLA	AMR	173	0	865	0	0	0
hprc:DogoHLA-no-graph	ALL	946	0	4723	0	0	0
hprc:DogoHLA-no-graph	EAS	230	0	1149	0	0	0
hprc:DogoHLA-no-graph	EUR	355	0	1770	0	0	0
hprc:DogoHLA-no-graph	AFR	188	0	939	0	0	0
hprc:DogoHLA-no-graph	AMR	173	0	865	0	0	0
asian_matched:DogoHLA	ALL	946	0	4723	0	0	0
asian_matched:DogoHLA	EAS	230	0	1149	0	0	0
asian_matched:DogoHLA	EUR	355	0	1770	0	0	0
asian_matched:DogoHLA	AFR	188	0	939	0	0	0
asian_matched:DogoHLA	AMR	173	0	865	0	0	0
asian_matched:DogoHLA-no-graph	ALL	946	0	4723	0	0	0
asian_matched:DogoHLA-no-graph	EAS	230	0	1149	0	0	0
asian_matched:DogoHLA-no-graph	EUR	355	0	1770	0	0	0
asian_matched:DogoHLA-no-graph	AFR	188	0	939	0	0	0
asian_matched:DogoHLA-no-graph	AMR	173	0	865	0	0	0
