donor	method	state	error
HG00658	SpecHLA-IPD365-noFreq	complete	NONE
HG00658	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00658	T1K-four-field	complete	NONE
HG00658	full:DogoHLA	complete	NONE
HG00658	full:DogoHLA-no-graph	complete	NONE
HG00658	hprc:DogoHLA	complete	NONE
HG00658	hprc:DogoHLA-no-graph	complete	NONE
HG00658	asian_matched:DogoHLA	complete	NONE
HG00658	asian_matched:DogoHLA-no-graph	complete	NONE
HG02132	SpecHLA-IPD365-noFreq	complete	NONE
HG02132	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02132	T1K-four-field	complete	NONE
HG02132	full:DogoHLA	complete	NONE
HG02132	full:DogoHLA-no-graph	complete	NONE
HG02132	hprc:DogoHLA	complete	NONE
HG02132	hprc:DogoHLA-no-graph	complete	NONE
HG02132	asian_matched:DogoHLA	complete	NONE
HG02132	asian_matched:DogoHLA-no-graph	complete	NONE
HG02178	SpecHLA-IPD365-noFreq	complete	NONE
HG02178	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02178	T1K-four-field	complete	NONE
HG02178	full:DogoHLA	complete	NONE
HG02178	full:DogoHLA-no-graph	complete	NONE
HG02178	hprc:DogoHLA	complete	NONE
HG02178	hprc:DogoHLA-no-graph	complete	NONE
HG02178	asian_matched:DogoHLA	complete	NONE
HG02178	asian_matched:DogoHLA-no-graph	complete	NONE
HG03831	SpecHLA-IPD365-noFreq	complete	NONE
HG03831	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03831	T1K-four-field	complete	NONE
HG03831	full:DogoHLA	complete	NONE
HG03831	full:DogoHLA-no-graph	complete	NONE
HG03831	hprc:DogoHLA	complete	NONE
HG03831	hprc:DogoHLA-no-graph	complete	NONE
HG03831	asian_matched:DogoHLA	complete	NONE
HG03831	asian_matched:DogoHLA-no-graph	complete	NONE
HG03874	SpecHLA-IPD365-noFreq	complete	NONE
HG03874	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03874	T1K-four-field	complete	NONE
HG03874	full:DogoHLA	complete	NONE
HG03874	full:DogoHLA-no-graph	complete	NONE
HG03874	hprc:DogoHLA	complete	NONE
HG03874	hprc:DogoHLA-no-graph	complete	NONE
HG03874	asian_matched:DogoHLA	complete	NONE
HG03874	asian_matched:DogoHLA-no-graph	complete	NONE
HG04199	SpecHLA-IPD365-noFreq	complete	NONE
HG04199	SpecHLA-IPD365-long-noFreq	complete	NONE
HG04199	T1K-four-field	complete	NONE
HG04199	full:DogoHLA	complete	NONE
HG04199	full:DogoHLA-no-graph	complete	NONE
HG04199	hprc:DogoHLA	complete	NONE
HG04199	hprc:DogoHLA-no-graph	complete	NONE
HG04199	asian_matched:DogoHLA	complete	NONE
HG04199	asian_matched:DogoHLA-no-graph	complete	NONE
NA18608	SpecHLA-IPD365-noFreq	complete	NONE
NA18608	SpecHLA-IPD365-long-noFreq	complete	NONE
NA18608	T1K-four-field	complete	NONE
NA18608	full:DogoHLA	complete	NONE
NA18608	full:DogoHLA-no-graph	complete	NONE
NA18608	hprc:DogoHLA	complete	NONE
NA18608	hprc:DogoHLA-no-graph	complete	NONE
NA18608	asian_matched:DogoHLA	complete	NONE
NA18608	asian_matched:DogoHLA-no-graph	complete	NONE
NA20905	SpecHLA-IPD365-noFreq	complete	NONE
NA20905	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20905	T1K-four-field	complete	NONE
NA20905	full:DogoHLA	complete	NONE
NA20905	full:DogoHLA-no-graph	complete	NONE
NA20905	hprc:DogoHLA	complete	NONE
NA20905	hprc:DogoHLA-no-graph	complete	NONE
NA20905	asian_matched:DogoHLA	complete	NONE
NA20905	asian_matched:DogoHLA-no-graph	complete	NONE
HG02027	SpecHLA-IPD365-noFreq	complete	NONE
