method	stratum	level	planned_donors	completed_donors	eligible	called	correct	allele_matches
SpecHLA-IPD365-noFreq	ALL	two_field	64	0	509	0	0	0
SpecHLA-IPD365-noFreq	ALL	four_field	64	0	323	0	0	0
SpecHLA-IPD365-noFreq	EAS	two_field	16	0	128	0	0	0
SpecHLA-IPD365-noFreq	EAS	four_field	16	0	84	0	0	0
SpecHLA-IPD365-noFreq	SAS	two_field	16	0	128	0	0	0
SpecHLA-IPD365-noFreq	SAS	four_field	16	0	81	0	0	0
SpecHLA-IPD365-noFreq	EUR	two_field	16	0	128	0	0	0
SpecHLA-IPD365-noFreq	EUR	four_field	16	0	93	0	0	0
SpecHLA-IPD365-noFreq	AFR	two_field	16	0	125	0	0	0
SpecHLA-IPD365-noFreq	AFR	four_field	16	0	65	0	0	0
SpecHLA-IPD365-long-noFreq	ALL	two_field	64	0	509	0	0	0
SpecHLA-IPD365-long-noFreq	ALL	four_field	64	0	323	0	0	0
SpecHLA-IPD365-long-noFreq	EAS	two_field	16	0	128	0	0	0
SpecHLA-IPD365-long-noFreq	EAS	four_field	16	0	84	0	0	0
SpecHLA-IPD365-long-noFreq	SAS	two_field	16	0	128	0	0	0
SpecHLA-IPD365-long-noFreq	SAS	four_field	16	0	81	0	0	0
SpecHLA-IPD365-long-noFreq	EUR	two_field	16	0	128	0	0	0
SpecHLA-IPD365-long-noFreq	EUR	four_field	16	0	93	0	0	0
SpecHLA-IPD365-long-noFreq	AFR	two_field	16	0	125	0	0	0
SpecHLA-IPD365-long-noFreq	AFR	four_field	16	0	65	0	0	0
T1K-four-field	ALL	two_field	64	64	509	509	495	1004
T1K-four-field	ALL	four_field	64	64	323	317	163	440
T1K-four-field	EAS	two_field	16	16	128	128	124	252
T1K-four-field	EAS	four_field	16	16	84	82	34	104
T1K-four-field	SAS	two_field	16	16	128	128	125	253
T1K-four-field	SAS	four_field	16	16	81	80	47	121
T1K-four-field	EUR	two_field	16	16	128	128	124	252
T1K-four-field	EUR	four_field	16	16	93	91	51	135
T1K-four-field	AFR	two_field	16	16	125	125	122	247
T1K-four-field	AFR	four_field	16	16	65	64	31	80
full:DogoHLA	ALL	two_field	64	0	509	0	0	0
full:DogoHLA	ALL	four_field	64	0	323	0	0	0
full:DogoHLA	EAS	two_field	16	0	128	0	0	0
full:DogoHLA	EAS	four_field	16	0	84	0	0	0
full:DogoHLA	SAS	two_field	16	0	128	0	0	0
full:DogoHLA	SAS	four_field	16	0	81	0	0	0
full:DogoHLA	EUR	two_field	16	0	128	0	0	0
full:DogoHLA	EUR	four_field	16	0	93	0	0	0
full:DogoHLA	AFR	two_field	16	0	125	0	0	0
full:DogoHLA	AFR	four_field	16	0	65	0	0	0
full:DogoHLA-no-graph	ALL	two_field	64	0	509	0	0	0
full:DogoHLA-no-graph	ALL	four_field	64	0	323	0	0	0
full:DogoHLA-no-graph	EAS	two_field	16	0	128	0	0	0
full:DogoHLA-no-graph	EAS	four_field	16	0	84	0	0	0
full:DogoHLA-no-graph	SAS	two_field	16	0	128	0	0	0
full:DogoHLA-no-graph	SAS	four_field	16	0	81	0	0	0
full:DogoHLA-no-graph	EUR	two_field	16	0	128	0	0	0
full:DogoHLA-no-graph	EUR	four_field	16	0	93	0	0	0
full:DogoHLA-no-graph	AFR	two_field	16	0	125	0	0	0
full:DogoHLA-no-graph	AFR	four_field	16	0	65	0	0	0
hprc:DogoHLA	ALL	two_field	64	0	509	0	0	0
hprc:DogoHLA	ALL	four_field	64	0	323	0	0	0
hprc:DogoHLA	EAS	two_field	16	0	128	0	0	0
hprc:DogoHLA	EAS	four_field	16	0	84	0	0	0
hprc:DogoHLA	SAS	two_field	16	0	128	0	0	0
hprc:DogoHLA	SAS	four_field	16	0	81	0	0	0
hprc:DogoHLA	EUR	two_field	16	0	128	0	0	0
hprc:DogoHLA	EUR	four_field	16	0	93	0	0	0
hprc:DogoHLA	AFR	two_field	16	0	125	0	0	0
hprc:DogoHLA	AFR	four_field	16	0	65	0	0	0
hprc:DogoHLA-no-graph	ALL	two_field	64	0	509	0	0	0
hprc:DogoHLA-no-graph	ALL	four_field	64	0	323	0	0	0
hprc:DogoHLA-no-graph	EAS	two_field	16	0	128	0	0	0
hprc:DogoHLA-no-graph	EAS	four_field	16	0	84	0	0	0
hprc:DogoHLA-no-graph	SAS	two_field	16	0	128	0	0	0
hprc:DogoHLA-no-graph	SAS	four_field	16	0	81	0	0	0
hprc:DogoHLA-no-graph	EUR	two_field	16	0	128	0	0	0
hprc:DogoHLA-no-graph	EUR	four_field	16	0	93	0	0	0
hprc:DogoHLA-no-graph	AFR	two_field	16	0	125	0	0	0
hprc:DogoHLA-no-graph	AFR	four_field	16	0	65	0	0	0
asian_matched:DogoHLA	ALL	two_field	64	0	509	0	0	0
asian_matched:DogoHLA	ALL	four_field	64	0	323	0	0	0
asian_matched:DogoHLA	EAS	two_field	16	0	128	0	0	0
asian_matched:DogoHLA	EAS	four_field	16	0	84	0	0	0
asian_matched:DogoHLA	SAS	two_field	16	0	128	0	0	0
asian_matched:DogoHLA	SAS	four_field	16	0	81	0	0	0
asian_matched:DogoHLA	EUR	two_field	16	0	128	0	0	0
asian_matched:DogoHLA	EUR	four_field	16	0	93	0	0	0
asian_matched:DogoHLA	AFR	two_field	16	0	125	0	0	0
asian_matched:DogoHLA	AFR	four_field	16	0	65	0	0	0
asian_matched:DogoHLA-no-graph	ALL	two_field	64	0	509	0	0	0
asian_matched:DogoHLA-no-graph	ALL	four_field	64	0	323	0	0	0
asian_matched:DogoHLA-no-graph	EAS	two_field	16	0	128	0	0	0
asian_matched:DogoHLA-no-graph	EAS	four_field	16	0	84	0	0	0
asian_matched:DogoHLA-no-graph	SAS	two_field	16	0	128	0	0	0
asian_matched:DogoHLA-no-graph	SAS	four_field	16	0	81	0	0	0
asian_matched:DogoHLA-no-graph	EUR	two_field	16	0	128	0	0	0
asian_matched:DogoHLA-no-graph	EUR	four_field	16	0	93	0	0	0
asian_matched:DogoHLA-no-graph	AFR	two_field	16	0	125	0	0	0
asian_matched:DogoHLA-no-graph	AFR	four_field	16	0	65	0	0	0
