donor	stratum	population	family	fold	cohort	cram
HG00096	EUR	GBR	HG00096	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240114/HG00096.final.cram
HG00100	EUR	GBR	HG00100	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240117/HG00100.final.cram
HG00101	EUR	GBR	HG00101	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240118/HG00101.final.cram
HG00102	EUR	GBR	HG00102	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240119/HG00102.final.cram
HG00103	EUR	GBR	HG00103	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240120/HG00103.final.cram
HG00105	EUR	GBR	HG00105	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240121/HG00105.final.cram
HG00106	EUR	GBR	HG00106	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240122/HG00106.final.cram
HG00107	EUR	GBR	HG00107	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240123/HG00107.final.cram
HG00108	EUR	GBR	HG00108	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240124/HG00108.final.cram
HG00109	EUR	GBR	HG00109	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240125/HG00109.final.cram
HG00110	EUR	GBR	HG00110	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240126/HG00110.final.cram
HG00111	EUR	GBR	HG00111	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240127/HG00111.final.cram
HG00112	EUR	GBR	HG00112	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240128/HG00112.final.cram
