donor	fold	cram
HG00658	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram
HG02132	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram
HG02178	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242174/HG02178.final.cram
HG03831	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989224/HG03831.final.cram
HG03874	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242722/HG03874.final.cram
HG04199	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989258/HG04199.final.cram
NA18608	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239379/NA18608.final.cram
NA20905	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240106/NA20905.final.cram
HG02027	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram
HG02391	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242280/HG02391.final.cram
HG02602	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989034/HG02602.final.cram
HG04115	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989236/HG04115.final.cram
HG04187	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989254/HG04187.final.cram
NA18570	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram
NA18940	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239392/NA18940.final.cram
NA21144	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240087/NA21144.final.cram
HG00558	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988789/HG00558.final.cram
HG02165	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242172/HG02165.final.cram
HG02523	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram
HG02738	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989064/HG02738.final.cram
HG03688	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989200/HG03688.final.cram
HG03927	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989230/HG03927.final.cram
NA18952	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239401/NA18952.final.cram
NA21106	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240061/NA21106.final.cram
HG00609	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram
HG02074	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram
HG03017	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989108/HG03017.final.cram
HG03784	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242715/HG03784.final.cram
HG04157	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989249/HG04157.final.cram
HG04204	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989259/HG04204.final.cram
NA18747	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram
NA19088	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239616/NA19088.final.cram
HG01530	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01530/HG01530.cram
NA20806	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20806/NA20806.cram
HG00321	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00321/HG00321.cram
HG00232	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00232/HG00232.cram
HG01786	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01786/HG01786.cram
NA20503	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20503/NA20503.cram
HG00344	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00344/HG00344.cram
HG00128	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00128/HG00128.cram
HG01784	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01784/HG01784.cram
NA20809	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20809/NA20809.cram
HG00272	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00272/HG00272.cram
HG00133	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00133/HG00133.cram
NA20805	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20805/NA20805.cram
HG00320	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00320/HG00320.cram
HG00140	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00140/HG00140.cram
NA20762	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20762/NA20762.cram
HG03516	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989174/HG03516.final.cram
NA19185	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19185/NA19185.cram
HG02984	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989106/HG02984.final.cram
HG01960	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988961/HG01960.final.cram
NA20282	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20282/NA20282.cram
NA19468	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19468/NA19468.cram
HG03453	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989166/HG03453.final.cram
HG03369	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03369/HG03369.cram
NA19159	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19159/NA19159.cram
HG02809	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989077/HG02809.final.cram
HG02145	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988995/HG02145.final.cram
NA19909	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19909/NA19909.cram
NA19338	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19338/NA19338.cram
