donor	cram
HG01530	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01530/HG01530.cram
NA20806	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20806/NA20806.cram
HG00321	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00321/HG00321.cram
HG00232	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00232/HG00232.cram
HG01786	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01786/HG01786.cram
NA20503	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20503/NA20503.cram
HG00344	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00344/HG00344.cram
HG00128	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00128/HG00128.cram
HG01784	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01784/HG01784.cram
NA20809	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20809/NA20809.cram
HG00272	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00272/HG00272.cram
HG00133	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00133/HG00133.cram
NA20805	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20805/NA20805.cram
HG00320	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00320/HG00320.cram
HG00140	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG00140/HG00140.cram
NA20762	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20762/NA20762.cram
HG03516	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989174/HG03516.final.cram
NA19185	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19185/NA19185.cram
HG02984	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989106/HG02984.final.cram
HG01960	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988961/HG01960.final.cram
NA20282	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA20282/NA20282.cram
NA19468	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19468/NA19468.cram
HG03453	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989166/HG03453.final.cram
HG03369	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03369/HG03369.cram
NA19159	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19159/NA19159.cram
HG02809	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989077/HG02809.final.cram
HG02145	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988995/HG02145.final.cram
NA19909	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19909/NA19909.cram
NA19338	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA19338/NA19338.cram
HG03209	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03209/HG03209.cram
HG02976	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02976/HG02976.cram
NA18879	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18879/NA18879.cram
