donor	cram
HG00096	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240114/HG00096.final.cram
HG00100	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240117/HG00100.final.cram
HG00101	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240118/HG00101.final.cram
HG00102	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240119/HG00102.final.cram
HG00103	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240120/HG00103.final.cram
HG00105	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240121/HG00105.final.cram
HG00106	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240122/HG00106.final.cram
HG00107	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240123/HG00107.final.cram
HG00108	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240124/HG00108.final.cram
HG00109	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240125/HG00109.final.cram
HG00110	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240126/HG00110.final.cram
HG00111	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240127/HG00111.final.cram
HG00112	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240128/HG00112.final.cram
HG00113	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240129/HG00113.final.cram
HG00114	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240130/HG00114.final.cram
HG00115	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240131/HG00115.final.cram
HG00116	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240132/HG00116.final.cram
HG00117	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240133/HG00117.final.cram
HG00118	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240193/HG00118.final.cram
HG00119	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240194/HG00119.final.cram
HG00120	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240134/HG00120.final.cram
HG00121	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240195/HG00121.final.cram
HG00122	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240196/HG00122.final.cram
HG00123	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240197/HG00123.final.cram
HG00125	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240198/HG00125.final.cram
HG00127	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240135/HG00127.final.cram
HG00129	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240137/HG00129.final.cram
HG00130	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240138/HG00130.final.cram
HG00131	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240139/HG00131.final.cram
HG00132	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240140/HG00132.final.cram
HG00136	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240142/HG00136.final.cram
HG00137	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240143/HG00137.final.cram
HG00138	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240144/HG00138.final.cram
HG00139	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240145/HG00139.final.cram
HG00141	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240147/HG00141.final.cram
HG00142	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240148/HG00142.final.cram
HG00143	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240149/HG00143.final.cram
HG00145	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240150/HG00145.final.cram
HG00148	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240152/HG00148.final.cram
HG00149	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240153/HG00149.final.cram
HG00150	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240154/HG00150.final.cram
HG00151	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240155/HG00151.final.cram
HG00154	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241779/HG00154.final.cram
HG00155	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240156/HG00155.final.cram
HG00157	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240157/HG00157.final.cram
HG00158	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240158/HG00158.final.cram
HG00159	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240200/HG00159.final.cram
HG00160	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240159/HG00160.final.cram
HG00171	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240160/HG00171.final.cram
