donor	stratum	population	family	paired_RCCX_annotations	experimental_HLA_labels	fold	public_cram_url	selection_sha256
HG02155	EAS	CDX	HG02155	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242169/HG02155.final.cram	28d368c43f7b11bbfe1d30c364982dfba6705b9269dbf93f3e9b833412267f24
NA18620	EAS	CHB	NA18620	1	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239517/NA18620.final.cram	7a2eb4dcfa0c68c3899be817277041810daad8d1f8d6c504d277a1d724a9204f
HG00706	EAS	CHS	HG00704	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988821/HG00706.final.cram	09e951825282b8f2f2790fdb6cf3a60b2a6f374139075e18f7ddf20f9004c048
NA19087	EAS	JPT	NA19087	1	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239615/NA19087.final.cram	4816567271744864f6103339cfb1f168836d47e9f2648f580b53cf31ebf94358
HG03804	SAS	BEB	HG03802	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989219/HG03804.final.cram	0605c08cacf24b07b09f3a3b234375dab602e006347bcd27ca6e53ba322e54a7
NA21093	SAS	GIH	NA21093	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240108/NA21093.final.cram	3b87ca9bfa001ec8bd61b91c22ae34dbec60b2a43219b2e96808ead19a7ebde5
HG03742	SAS	ITU	HG03742	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242914/HG03742.final.cram	a81741a1f75a870de75dfd812a1519348b0a75a63e0b94728c10d9b1a1662294
HG03239	SAS	PJL	HG03237	1	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989139/HG03239.final.cram	60776cc30055f39e9d1de6f1717166a4e8a30a0e9ff49339290ab4285c420045
HG02178	EAS	CDX	HG02178	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242174/HG02178.final.cram	a7f6a01f22a7cee78c5e86ed4a1cf3049bd3895906be5ba227043eb833addd8d
NA18608	EAS	CHB	NA18608	1	1	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239379/NA18608.final.cram	7d03023d9296a8b197a23caedf577e60fc2c63f6f3692d9aae0a3fc0baefe19c
HG00658	EAS	CHS	HG00656	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram	27acf92ad88bec0db870718a937f06b27a088de9102009338d6b741e488ff750
HG02132	EAS	KHV	HG02132	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram	0a97fecd1a811a5c28589b8208d19a2b20d91f6401486d0faeaaaebc0449b848
HG03831	SAS	BEB	HG03829	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989224/HG03831.final.cram	110a6ed51a7de7b81eb3cf5f83946421e4c6576733c020a032f9540900bee6cb
NA20905	SAS	GIH	NA20905	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240106/NA20905.final.cram	44d5a291ecd2e33e7bcb66a339da1d19ebc17540089086d155414ecb5185577d
HG03874	SAS	ITU	HG03874	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242722/HG03874.final.cram	b0c036a4b7d5482f2113dbe40d62cc16804595f9d452116ee0ad21e6c17e0c78
HG04199	SAS	STU	HG04099	1	0	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989258/HG04199.final.cram	3cc7770c2484247061696a8f5f9e00781905a3d13ae39125ed263e73116edc94
HG02391	EAS	CDX	HG02391	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242280/HG02391.final.cram	b37fa2d9c1a8fc9cb4a62e17b0ee737bf104c681022556e1551814337dede711
NA18570	EAS	CHB	NA18570	1	1	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram	e34b78610afa5053265b9dde5562319a1c75a0a3bdfa4b8f5c483715950c3b60
NA18940	EAS	JPT	NA18940	1	1	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239392/NA18940.final.cram	07899603380c41c5789ba9b48bf02b24396ff0ebeff660bf13c95104e92d145d
HG02027	EAS	KHV	HG02027	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram	20ece8e8b430d250a47b4de347b7b0e977b6edea84dbd7211df059b97367fb05
HG04187	SAS	BEB	HG04185	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989254/HG04187.final.cram	2e98e933e2c757e904b8a9a56bf7b689f2e8ef10a9a018409ee97d1a2eceea24
NA21144	SAS	GIH	NA21144	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240087/NA21144.final.cram	4df27f35c7bef8be3248a54f6a318d6a024d49eb49b35494d4fdff1ea3223620
