donor	fold	cram
HG00706	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988821/HG00706.final.cram
HG02155	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242169/HG02155.final.cram
HG03239	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989139/HG03239.final.cram
HG03742	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242914/HG03742.final.cram
HG03804	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989219/HG03804.final.cram
NA18620	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239517/NA18620.final.cram
NA19087	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239615/NA19087.final.cram
NA21093	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240108/NA21093.final.cram
HG00658	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram
HG02132	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram
HG02178	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242174/HG02178.final.cram
HG03831	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989224/HG03831.final.cram
HG03874	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242722/HG03874.final.cram
HG04199	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989258/HG04199.final.cram
NA18608	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239379/NA18608.final.cram
NA20905	1	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240106/NA20905.final.cram
HG02027	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram
HG02391	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242280/HG02391.final.cram
HG02602	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989034/HG02602.final.cram
HG04115	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989236/HG04115.final.cram
HG04187	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989254/HG04187.final.cram
NA18570	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram
NA18940	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239392/NA18940.final.cram
NA21144	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240087/NA21144.final.cram
HG00558	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988789/HG00558.final.cram
HG02165	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242172/HG02165.final.cram
HG02523	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram
HG02738	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989064/HG02738.final.cram
HG03688	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989200/HG03688.final.cram
HG03927	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989230/HG03927.final.cram
NA18952	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239401/NA18952.final.cram
NA21106	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240061/NA21106.final.cram
HG00609	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram
HG02074	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram
HG03017	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989108/HG03017.final.cram
HG03784	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242715/HG03784.final.cram
HG04157	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989249/HG04157.final.cram
HG04204	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989259/HG04204.final.cram
NA18747	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram
NA19088	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239616/NA19088.final.cram
