donor	estimate	native_call	truth	calibration_factor	calibrated_call
HG00146	2.13333333333333	2	2	1.1596045197740117	2
HG00232	5.68421052631579	6	5	1.1596045197740117	5
HG00321	3.45762711864407	3	3	1.1596045197740117	3
HG00329	5.69230769230769	6	5	1.1596045197740117	5
HG01786	4.58181818181818	5	4	1.1596045197740117	4
HG02392	7.0	7	6	1.1596045197740117	6
HG03139	3.53846153846154	4	3	1.1596045197740117	3
HG03195	4.70588235294118	5	4	1.1596045197740117	4
HG03225	4.68571428571429	5	4	1.1596045197740117	4
HG03784	6.05405405405405	6	5	1.1596045197740117	5
NA18505	3.68421052631579	4	3	1.1596045197740117	3
NA18948	6.57142857142857	7	6	1.1596045197740117	6
NA18952	7.16666666666667	7	6	1.1596045197740117	6
NA18974	7.18181818181818	7	6	1.1596045197740117	6
NA19007	3.52941176470588	4	3	1.1596045197740117	3
NA19159	6.68421052631579	7	6	1.1596045197740117	6
NA21106	4.10169491525424	4	4	1.1596045197740117	4
NA21144	4.51612903225806	5	4	1.1596045197740117	4
