donor	total	A	B	OTHER	L	S	A_any	B_any	LONG_LEFT	LONG_RIGHT	SHORT	BOUNDARY	NONCANONICAL	A_only	B_only	OTHER_only	AB_ambiguous	LS_ambiguous	all_fragments	LONG_MEAN
HG00097	4	2	2	0	4	0	27	25	64	45	0	406	0	27	25	0	0	0	596240	54.5
HG00099	3	1	2	0	2	1	13	36	42	21	11	367	0	13	36	0	0	0	693523	31.5
HG00126	4	2	2	0	3	1	46	40	57	42	17	533	0	46	40	0	0	0	794609	49.5
HG00128	5	2	3	0	3	2	41	53	62	55	35	599	0	41	53	0	0	0	781782	58.5
HG00133	4	3	1	0	3	1	70	19	69	70	20	588	0	70	19	0	0	0	900304	69.5
HG00140	4	2	2	0	3	1	29	26	55	44	19	363	0	29	26	0	0	0	605263	49.5
HG00146	2	1	1	0	1	1	20	22	30	15	26	311	0	20	22	0	0	0	751985	22.5
HG00232	5	4	1	0	5	0	101	33	120	119	0	730	0	101	33	0	0	0	963162	119.5
HG00235	4	2	2	0	4	0	37	36	78	69	0	476	0	37	36	0	0	0	674638	73.5
HG00253	4	2	2	0	3	1	38	39	53	50	14	432	0	38	39	0	0	0	642819	51.5
HG00272	3	2	1	0	2	1	47	23	49	35	20	360	0	47	23	0	0	0	811971	42.0
HG00280	3	1	2	0	2	1	16	35	29	21	21	337	0	16	35	0	0	0	639899	25.0
HG00290	3	3	0	0	3	0	79	0	80	70	0	428	0	79	0	0	0	0	815200	75.0
HG00320	3	2	1	0	2	1	26	26	42	26	18	388	0	26	26	0	0	0	730316	34.0
HG00321	3	2	1	0	2	1	40	33	52	46	18	559	0	40	33	0	0	0	981476	49.0
HG00323	4	2	2	0	2	2	33	29	23	25	24	374	0	33	29	0	0	0	553534	24.0
HG00329	5	3	2	0	4	1	70	40	55	45	15	509	0	70	40	0	0	0	644782	50.0
HG00344	4	2	2	0	4	0	27	43	58	51	0	461	0	27	43	0	0	0	643733	54.5
HG00350	4	2	2	0	4	0	48	40	99	85	0	512	0	48	40	0	0	0	835236	92.0
HG01167	4	2	2	0	2	2	39	49	64	28	42	555	0	39	49	0	0	0	843759	46.0
HG01530	4	2	2	0	2	2	37	38	37	31	34	380	0	37	38	0	0	0	576895	34.0
HG01784	4	3	1	0	3	1	50	19	43	35	17	402	0	50	19	0	0	0	590317	39.0
HG01786	4	3	1	0	3	1	64	25	72	52	24	593	0	64	25	0	0	0	920217	62.0
HG02040	4	2	2	0	2	2	30	22	30	12	27	349	0	30	22	0	0	0	559521	21.0
HG02155	3	2	1	0	3	0	25	18	30	37	0	315	0	25	18	0	0	0	573383	33.5
HG02165	4	2	2	0	3	1	41	34	47	36	17	359	0	41	34	0	0	0	580052	41.5
HG02178	5	3	2	0	3	2	39	34	36	57	29	412	0	39	34	0	0	0	591655	46.5
HG02391	4	2	2	0	3	1	22	33	52	36	13	316	0	22	33	0	0	0	561202	44.0
HG02392	6	3	3	0	3	3	47	42	46	44	56	554	0	47	42	0	0	0	608267	45.0
HG02583	3	2	1	0	2	1	45	24	33	34	30	427	0	45	24	0	0	0	761576	33.5
HG02922	4	2	2	0	2	2	26	29	26	25	35	389	0	26	29	0	0	0	575984	25.5
HG02976	3	2	1	0	2	1	45	14	37	20	30	377	0	45	14	0	0	0	626138	28.5
HG03130	4	2	2	0	2	2	46	48	37	38	44	540	0	46	48	0	0	0	801242	37.5
HG03139	3	2	1	0	2	1	21	27	32	45	15	365	0	21	27	0	0	0	637548	38.5
HG03195	4	2	2	0	2	2	30	33	36	28	30	385	0	30	33	0	0	0	576531	32.0
HG03209	4	2	2	0	2	2	26	22	25	30	35	412	0	26	22	0	0	0	599308	27.5
HG03225	4	2	2	0	2	2	36	28	24	25	32	383	0	36	28	0	0	0	588601	24.5
HG03270	4	2	2	0	2	2	47	43	45	29	48	595	0	47	43	0	0	0	997431	37.0
HG03369	4	2	2	0	2	2	35	30	42	36	35	491	0	35	30	0	0	0	749444	39.0
HG03470	4	2	2	0	2	2	35	38	28	31	34	384	0	35	38	0	0	0	661854	29.5
HG03521	4	2	2	0	2	2	31	31	19	30	26	446	0	31	31	0	0	0	609906	24.5
HG03583	4	2	2	0	2	2	26	28	27	17	25	351	0	26	28	0	0	0	581123	22.0
HG03742	4	2	2	0	3	1	34	36	51	46	11	410	0	34	36	0	0	0	624129	48.5
HG03784	5	3	2	0	4	1	40	33	57	51	9	475	0	40	33	0	0	0	611524	54.0
HG03874	5	3	2	0	3	2	36	33	52	44	33	469	0	36	33	0	0	0	609734	48.0
