donor	control	estimate	call	truth
HG00097	WHR1_unique_region	3.934009167628178	4	4
HG00097	TNXB_distal_region	3.8592416617318426	4	4
HG00099	WHR1_unique_region	2.749500496831295	3	3
HG00099	TNXB_distal_region	2.994063325368293	3	3
HG00126	WHR1_unique_region	4.028320057889617	4	4
HG00126	TNXB_distal_region	4.071006683445259	4	4
HG00128	WHR1_unique_region	5.079401940028365	5	5
HG00128	TNXB_distal_region	5.111028961649395	5	5
HG00133	WHR1_unique_region	3.7285967276007197	4	4
HG00133	TNXB_distal_region	3.9902170363571114	4	4
HG00140	WHR1_unique_region	3.918458369922576	4	4
HG00140	TNXB_distal_region	4.101052690996914	4	4
HG00146	WHR1_unique_region	2.1218207770044746	2	2
HG00146	TNXB_distal_region	2.0287652362201585	2	2
HG00232	WHR1_unique_region	5.099040348331475	5	5
HG00232	TNXB_distal_region	5.093053816696032	5	5
HG00235	WHR1_unique_region	4.134054462556876	4	4
HG00235	TNXB_distal_region	4.143637871771254	4	4
HG00253	WHR1_unique_region	4.007432475436748	4	4
HG00253	TNXB_distal_region	4.076460260838029	4	4
HG00272	WHR1_unique_region	3.0197625465477205	3	3
HG00272	TNXB_distal_region	2.8797388043623133	3	3
HG00280	WHR1_unique_region	2.9798524794792165	3	3
HG00280	TNXB_distal_region	3.0019105504589585	3	3
HG00290	WHR1_unique_region	3.093736695805569	3	3
HG00290	TNXB_distal_region	3.058462383952655	3	3
HG00320	WHR1_unique_region	3.0144115548711308	3	3
HG00320	TNXB_distal_region	2.9400667508431884	3	3
HG00321	WHR1_unique_region	3.066173291434216	3	3
HG00321	TNXB_distal_region	2.9880969147976515	3	3
HG00323	WHR1_unique_region	3.8823934044313364	4	4
HG00323	TNXB_distal_region	4.011543399774378	4	4
HG00329	WHR1_unique_region	4.842949227942887	5	5
HG00329	TNXB_distal_region	4.871511671793216	5	5
HG00344	WHR1_unique_region	3.8625351397605976	4	4
HG00344	TNXB_distal_region	3.8559306077802873	4	4
HG00350	WHR1_unique_region	4.011863490357698	4	4
HG00350	TNXB_distal_region	3.923684003002784	4	4
HG01167	WHR1_unique_region	3.882262112749021	4	4
HG01167	TNXB_distal_region	3.839805832143921	4	4
HG01530	WHR1_unique_region	4.255815753554663	4	4
