cohort	method	feature	n	called	correct
development	targeted_markers	total	106	101	101
development	targeted_markers	A	106	94	91
development	targeted_markers	B	106	94	91
development	targeted_markers	OTHER	106	94	94
development	targeted_markers	L	106	95	95
development	targeted_markers	S	106	95	95
development	C4Investigator	total	18	9	2
development	C4Investigator	A	18	9	4
development	C4Investigator	B	18	9	7
development	C4Investigator	L	18	9	5
development	C4Investigator	S	18	9	6
development	old_sketch_CN	full_signature_pair	106	101	81
development	old_sketch_CN	truth_in_dosage_compatible_set	106	106	95
development	targeted_without_module_context	full_signature_pair	106	101	86
development	targeted_without_module_context	truth_in_dosage_compatible_set	106	106	92
development	targeted_dosage_paths	full_signature_pair	106	101	86
development	targeted_dosage_paths	truth_in_dosage_compatible_set	106	106	92
development	reference_depth_WHR1_unique_region	total	106	106	106
development	reference_depth_TNXB_distal_region	total	106	106	106
