marker	groups	off_locus_haplotypes	maximum_extra_copies	present_haplotypes
17066778439626272	BOUNDARY	0	0	543
46578107090931157	BOUNDARY	0	0	543
78295586967315008	BOUNDARY	0	0	543
88800491607781958	LONG_LEFT	0	0	525
169639391979358240	BOUNDARY	0	0	543
170720172383381342	BOUNDARY	0	0	1
188734570892863326	BOUNDARY	0	0	542
204910829257400518	LONG_RIGHT	0	0	523
204910829257400526	LONG_RIGHT	0	0	2
209562896598471970	BOUNDARY	0	0	543
219089281235850320	BOUNDARY	0	0	543
286881613692958056	BOUNDARY	0	0	540
301037302980299276	LONG_RIGHT	0	0	525
310404901525730638	BOUNDARY	0	0	543
313028600697888669	BOUNDARY	0	0	543
314922926946788580	A	0	0	4
320625886437606488	BOUNDARY	0	0	543
330915990806736529	BOUNDARY	0	0	530
334487218299238284	BOUNDARY	0	0	420
335050168252659596	BOUNDARY	0	0	513
342965613895591305	BOUNDARY	0	0	540
355201966431127834	LONG_LEFT	0	0	525
366936612436607254	BOUNDARY	0	0	543
383099950067683858	LONG_RIGHT	0	0	525
386980520984716516	A	0	0	514
389799709014394408	BOUNDARY	0	0	543
404608908619617192	BOUNDARY	0	0	540
404994919494198500	NONCANONICAL	0	0	3
406972062763665682	BOUNDARY	0	0	543
422727795723609316	B	0	0	1
422727830083347684	B	0	0	454
424718651175856264	B	0	0	454
424718651177953416	B	0	0	1
424718659484772425	NONCANONICAL	0	0	3
424718659484772426	A	0	0	518
427080812721229386	A	0	0	4
431597303318574941	BOUNDARY	0	0	459
431597853074388829	BOUNDARY	0	0	345
443795096674927895	BOUNDARY	0	0	1
443795096679122199	BOUNDARY	0	0	542
525457413661791906	BOUNDARY	0	0	543
545652063525714606	BOUNDARY	0	0	486
548599107075097794	BOUNDARY	0	0	543
548721485325964954	BOUNDARY	0	0	511
548895363938461865	BOUNDARY	0	0	1
548902892229731490	BOUNDARY	0	0	542
585486124604336777	BOUNDARY	0	0	543
605951203985401178	BOUNDARY	0	0	543
615118845245347670	BOUNDARY	0	0	543
622801805157379553	BOUNDARY	0	0	543
623721512739632552	BOUNDARY	0	0	540
653667270481926049	BOUNDARY	0	0	542
653667270486120353	BOUNDARY	0	0	1
659375893378545321	BOUNDARY	0	0	494
671364519202086269	BOUNDARY	0	0	543
682200066606951892	BOUNDARY	0	0	543
713017304301777326	BOUNDARY	0	0	543
725496611112822931	A	0	0	4
726622511019665555	A	0	0	514
726903985996376211	NONCANONICAL	0	0	3
727181062187460755	B	0	0	1
727181062724331667	B	0	0	454
729088158991378909	BOUNDARY	0	0	543
733493646936494157	BOUNDARY	0	0	543
738785407841170248	BOUNDARY	0	0	510
738785408378041160	BOUNDARY	0	0	484
743826808124045962	BOUNDARY	0	0	542
746793676097649313	LONG_LEFT	0	0	525
754715661086090653	BOUNDARY	0	0	543
754719031703829120	LONG_RIGHT	0	0	2
754754216075917952	LONG_RIGHT	0	0	523
754894953564098168	SHORT	0	0	323
755050339965788602	BOUNDARY	0	0	543
755301974686698048	BOUNDARY	0	0	412
755302524442511936	BOUNDARY	0	0	506
756917848615467553	BOUNDARY	0	0	543
763723505553697626	BOUNDARY	0	0	412
763723505562086234	BOUNDARY	0	0	506
769353001248269618	BOUNDARY	0	0	543
784376084650162467	BOUNDARY	0	0	543
819643317029602074	LONG_RIGHT	0	0	523
819643317029602106	LONG_RIGHT	0	0	2
828378618951253457	BOUNDARY	0	0	543
831168487134120830	BOUNDARY	0	0	543
840248335266617253	BOUNDARY	0	0	486
898874148239775093	BOUNDARY	0	0	543
917562141888912978	BOUNDARY	0	0	543
933914108409948286	LONG_RIGHT	0	0	2
939613261979535954	BOUNDARY	0	0	542
996743954426064158	BOUNDARY	0	0	542
1008488868254126257	BOUNDARY	0	0	486
1044532891685874717	BOUNDARY	0	0	543
1066542258550448226	B	0	0	454
1067105208503869538	B	0	0	1
1071545444470657450	LONG_LEFT	0	0	525
1107567495659279505	SHORT	0	0	323
1107567679277008878	LONG_RIGHT	0	0	525
1162922192269814120	BOUNDARY	0	0	543
1168983934951762741	BOUNDARY	0	0	486
1174679783918310025	BOUNDARY	0	0	543
1175121627508792465	LONG_LEFT	0	0	525
1194522115040466976	BOUNDARY	0	0	543
1203022882955152868	BOUNDARY	0	0	543
1204149211921197105	LONG_RIGHT	0	0	523
1248696492123767940	LONG_RIGHT	0	0	525
1259691707787154322	A	0	0	4
1317677380761979174	BOUNDARY	0	0	495
1318427496941982829	BOUNDARY	0	0	543
1324013903937230505	BOUNDARY	0	0	542
1334295657385052708	A	0	0	4
1334577132361763364	A	0	0	514
1334647501105941028	NONCANONICAL	0	0	3
1334716770153712164	B	0	0	1
1334716770287929892	B	0	0	454
1335680483132604581	BOUNDARY	0	0	542
1342028302446712489	BOUNDARY	0	0	1
1357773852717301238	BOUNDARY	0	0	543
1413413071902352053	B	0	0	454
1413413074049835701	B	0	0	1
1413421580232500917	NONCANONICAL	0	0	3
1413421580232501941	A	0	0	514
1413421580232502197	A	0	0	4
1418968809979026153	BOUNDARY	0	0	540
1418968810515897065	BOUNDARY	0	0	3
1419169623937209265	BOUNDARY	0	0	543
1420807865724511338	LONG_LEFT	0	0	525
1446701911484045092	LONG_LEFT	0	0	525
1459966712194827424	LONG_RIGHT	0	0	525
1463681847524632546	BOUNDARY	0	0	543
1483831999568585457	BOUNDARY	0	0	543
1484130564228682465	BOUNDARY	0	0	494
1486495418953110153	A	0	0	4
1486565787697287817	A	0	0	514
1486583379883332233	NONCANONICAL	0	0	3
1486600697145275017	B	0	0	1
1486600697178829449	B	0	0	454
1486882272887559596	BOUNDARY	0	0	484
1486882272887690668	BOUNDARY	0	0	510
1514596982477858249	LONG_LEFT	0	0	525
1517913182655553832	LONG_RIGHT	0	0	525
1522955123433043412	BOUNDARY	0	0	3
1522955123433043414	BOUNDARY	0	0	540
1531570750226311538	LONG_LEFT	0	0	525
1532399800270735434	LONG_RIGHT	0	0	525
1546148256972493449	BOUNDARY	0	0	543
1547922083938866066	A	0	0	514
1561763460906563906	BOUNDARY	0	0	506
1561763460906564034	BOUNDARY	0	0	411
1563155193145369125	BOUNDARY	0	0	543
1578536557090077001	BOUNDARY	0	0	543
1580002317328076362	A	0	0	514
1580335309440881170	SHORT	0	0	323
1582637750292141208	BOUNDARY	0	0	543
1587086370955323241	BOUNDARY	0	0	543
1596234402933720906	BOUNDARY	0	0	543
1610692873505514057	BOUNDARY	0	0	484
1619979677976794002	NONCANONICAL	0	0	3
1628782970665543657	BOUNDARY	0	0	513
1628818155037632489	BOUNDARY	0	0	420
1630278727424221868	BOUNDARY	0	0	543
1631040092120898937	BOUNDARY	0	0	543
1638547757826695904	BOUNDARY	0	0	543
1673989385662193281	B	0	0	454
1673998181755215489	B	0	0	1
1677935085975677010	LONG_LEFT	0	0	525
1677937284978250313	SHORT	0	0	323
1681635516310517665	BOUNDARY	0	0	542
1689579726705612661	BOUNDARY	0	0	460
1689579726705612789	BOUNDARY	0	0	454
1690519270957370009	BOUNDARY	0	0	459
1690911182894437266	B	0	0	1
1690911320333390738	B	0	0	454
1698874604703425058	B	0	0	454
1698874604711813666	B	0	0	1
1698874637939089702	NONCANONICAL	0	0	3
1702771719035022134	BOUNDARY	0	0	543
1704030081269271085	BOUNDARY	0	0	486
1708839505951940225	NONCANONICAL	0	0	3
1708839505956134529	A	0	0	514
1708839505957183105	A	0	0	4
1709029445783069770	SHORT	0	0	323
1715666937447837265	BOUNDARY	0	0	460
1715666937456225873	BOUNDARY	0	0	454
1721399519181089401	BOUNDARY	0	0	543
1726548067976333977	BOUNDARY	0	0	373
1728626087193265810	LONG_RIGHT	0	0	523
1728626087193267858	LONG_RIGHT	0	0	2
1749001434057320356	BOUNDARY	0	0	542
1836183016748708956	BOUNDARY	0	0	513
1862965371810456854	BOUNDARY	0	0	543
1994149824657757617	BOUNDARY	0	0	543
2005404857282785810	A	0	0	4
2005405132160692754	A	0	0	514
2005405200880169490	NONCANONICAL	0	0	3
2005405268525723954	B	0	0	1
2005405268525855026	B	0	0	454
2007178080834890546	BOUNDARY	0	0	543
2056559708228029154	BOUNDARY	0	0	543
2100054325475320137	LONG_LEFT	0	0	525
2100063121485613349	SHORT	0	0	323
2106688994872842613	BOUNDARY	0	0	541
2110161247386632093	BOUNDARY	0	0	543
2122236969665869288	B	0	0	454
2122237519421683176	B	0	0	1
2124175765002743481	BOUNDARY	0	0	513
2124175765539614393	BOUNDARY	0	0	420
2124415102183978472	NONCANONICAL	0	0	3
2124415102184240616	A	0	0	514
2124415102184306152	A	0	0	4
2124989363070357844	BOUNDARY	0	0	486
2142950436642156321	A	0	0	4
2142950453822025505	A	0	0	514
2142950458116992801	NONCANONICAL	0	0	3
2166239796243784297	BOUNDARY	0	0	1
2166239796358656905	BOUNDARY	0	0	542
2173149891707185636	BOUNDARY	0	0	543
2182924201454227513	BOUNDARY	0	0	486
2184942125235922764	BOUNDARY	0	0	543
2196416843828403753	SHORT	0	0	323
2208402428041404612	SHORT	0	0	323
2220097452196203092	SHORT	0	0	323
2226934858917159208	SHORT	0	0	323
2254139819522391792	BOUNDARY	0	0	486
2278158502404072060	BOUNDARY	0	0	3
2278158502404203132	BOUNDARY	0	0	540
2302818330345675337	LONG_RIGHT	0	0	523
2302818330345683529	LONG_RIGHT	0	0	2
2318090513737735720	BOUNDARY	0	0	541
2331328010653082997	BOUNDARY	0	0	543
2384573740950391097	A	0	0	4
2402539166915176928	BOUNDARY	0	0	543
2402588139459873081	A	0	0	514
2407091739087243577	NONCANONICAL	0	0	3
2410701684120017093	BOUNDARY	0	0	542
2411524958144596281	B	0	0	1
2411524966734530873	B	0	0	454
2470740807441176197	BOUNDARY	0	0	484
2471303757394597509	BOUNDARY	0	0	510
2480258027785529688	BOUNDARY	0	0	543
2485120916889026441	BOUNDARY	0	0	543
2498561468262829177	BOUNDARY	0	0	543
2501437669707916553	BOUNDARY	0	0	543
2513213243338946213	BOUNDARY	0	0	543
2554816872195872965	BOUNDARY	0	0	1
2616224939661419601	BOUNDARY	0	0	543
2636671477847497925	BOUNDARY	0	0	543
2680452919008189968	BOUNDARY	0	0	543
2680723387347239073	LONG_RIGHT	0	0	2
2686219380273897288	BOUNDARY	0	0	486
2688898252682474168	BOUNDARY	0	0	543
2691917438295884932	LONG_LEFT	0	0	525
2700926836573914244	SHORT	0	0	323
2716752184366203041	LONG_RIGHT	0	0	523
2725326780707613204	LONG_LEFT	0	0	525
2843756898813507477	BOUNDARY	0	0	543
2857943616224045105	SHORT	0	0	323
2860867372262744725	SHORT	0	0	323
2873992706278161424	BOUNDARY	0	0	543
2965519849549023873	BOUNDARY	0	0	543
2983840010016779860	BOUNDARY	0	0	486
2984734998701054892	BOUNDARY	0	0	543
2987174704390597253	LONG_LEFT	0	0	525
2987174841828258084	SHORT	0	0	323
3017602932495600520	BOUNDARY	0	0	543
3018722241381902533	BOUNDARY	0	0	543
3018876126815316480	LONG_RIGHT	0	0	2
3019016864303671808	LONG_RIGHT	0	0	523
3020601454742097528	LONG_LEFT	0	0	525
3060514630645152401	BOUNDARY	0	0	486
3065041799727738145	BOUNDARY	0	0	543
3072684268713808236	BOUNDARY	0	0	1
3072684268713809989	BOUNDARY	0	0	542
3361884677278936392	BOUNDARY	0	0	543
3522528657323174472	BOUNDARY	0	0	494
3530578757904162120	BOUNDARY	0	0	543
3645462932844953256	LONG_LEFT	0	0	525
3654852557367510180	BOUNDARY	0	0	420
3725400078458152984	B	0	0	454
3725540815946508312	B	0	0	1
3735656387735360804	SHORT	0	0	323
3827856594876225000	BOUNDARY	0	0	543
3877261860236089248	B	0	0	454
3877264059259344800	B	0	0	1
3878903836497060624	BOUNDARY	0	0	3
3879466786450481936	BOUNDARY	0	0	540
3885974390308525984	NONCANONICAL	0	0	3
3885974390309574560	A	0	0	514
3885974390309836704	A	0	0	4
3890921035618857380	LONG_RIGHT	0	0	523
3890921035618857892	LONG_RIGHT	0	0	2
3938936788521408340	BOUNDARY	0	0	543
3960115728141237380	A	0	0	4
3960115796860714116	A	0	0	514
3960115814040583300	NONCANONICAL	0	0	3
3989567604648533796	BOUNDARY	0	0	298
3989567604648533924	BOUNDARY	0	0	506
4004989347607054500	BOUNDARY	0	0	543
4131371429539706772	BOUNDARY	0	0	543
4296053417241248928	SHORT	0	0	323
