run_accession	sample_alias	submitted_ftp	submitted_format	instrument_platform
SRR26313854	HG02735			OXFORD_NANOPORE
SRR29483203	HG02735			PACBIO_SMRT
SRR29483204	HG02735			PACBIO_SMRT
SRR23922665	HG02735			PACBIO_SMRT
SRR26545332	HG02735			PACBIO_SMRT
SRR833614	HG02735			COMPLETE_GENOMICS
SRR23922666	HG02735			PACBIO_SMRT
ERR3989063	HG02735	ftp.sra.ebi.ac.uk/vol1/run/ERR398/ERR3989063/HG02735.final.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR398/ERR3989063/HG02735.final.cram.crai	CRAM;CRAI	ILLUMINA
SRR29483201	HG02735			PACBIO_SMRT
SRR29483202	HG02735			PACBIO_SMRT
