arm	level	gene	genotypes	correct	called	accuracy_pct
full-ens	cds_exact	A	17	16	17	94.12
full-ens	cds_exact	ALL	184	170	184	92.39
full-ens	cds_exact	B	17	17	17	100.00
full-ens	cds_exact	C	17	16	17	94.12
full-ens	cds_exact	DPA1	17	16	17	94.12
full-ens	cds_exact	DPB1	17	15	17	88.24
full-ens	cds_exact	DQA1	17	16	17	94.12
full-ens	cds_exact	DQB1	17	16	17	94.12
full-ens	cds_exact	DRB1	17	14	17	82.35
full-ens	cds_exact	DRB3	17	15	17	88.24
full-ens	cds_exact	DRB4	15	13	15	86.67
full-ens	cds_exact	DRB5	16	16	16	100.00
full-ens	g_group	A	17	17	17	100.00
full-ens	g_group	ALL	183	178	183	97.27
full-ens	g_group	B	17	17	17	100.00
full-ens	g_group	C	16	16	16	100.00
full-ens	g_group	DPA1	17	16	17	94.12
full-ens	g_group	DPB1	17	16	17	94.12
full-ens	g_group	DQA1	17	17	17	100.00
full-ens	g_group	DQB1	17	17	17	100.00
full-ens	g_group	DRB1	17	15	17	88.24
full-ens	g_group	DRB3	17	16	17	94.12
full-ens	g_group	DRB4	15	15	15	100.00
full-ens	g_group	DRB5	16	16	16	100.00
full-ens	gene_exact	A	17	14	16	82.35
full-ens	gene_exact	ALL	187	118	169	63.10
full-ens	gene_exact	B	17	9	15	52.94
full-ens	gene_exact	C	17	15	17	88.24
full-ens	gene_exact	DPA1	17	9	16	52.94
full-ens	gene_exact	DPB1	17	7	16	41.18
full-ens	gene_exact	DQA1	17	11	14	64.71
full-ens	gene_exact	DQB1	17	13	16	76.47
full-ens	gene_exact	DRB1	17	0	12	0.00
full-ens	gene_exact	DRB3	17	13	15	76.47
full-ens	gene_exact	DRB4	17	14	15	82.35
full-ens	gene_exact	DRB5	17	13	17	76.47
full-ens	two_field	A	17	16	17	94.12
full-ens	two_field	ALL	183	173	183	94.54
full-ens	two_field	B	17	17	17	100.00
full-ens	two_field	C	16	16	16	100.00
full-ens	two_field	DPA1	17	17	17	100.00
full-ens	two_field	DPB1	17	15	17	88.24
full-ens	two_field	DQA1	17	16	17	94.12
full-ens	two_field	DQB1	17	16	17	94.12
full-ens	two_field	DRB1	17	15	17	88.24
full-ens	two_field	DRB3	17	15	17	88.24
full-ens	two_field	DRB4	15	14	15	93.33
full-ens	two_field	DRB5	16	16	16	100.00
full-t1k	cds_exact	A	1	1	1	100.00
full-t1k	cds_exact	ALL	11	11	11	100.00
full-t1k	cds_exact	B	1	1	1	100.00
full-t1k	cds_exact	C	1	1	1	100.00
full-t1k	cds_exact	DPA1	1	1	1	100.00
full-t1k	cds_exact	DPB1	1	1	1	100.00
full-t1k	cds_exact	DQA1	1	1	1	100.00
full-t1k	cds_exact	DQB1	1	1	1	100.00
full-t1k	cds_exact	DRB1	1	1	1	100.00
full-t1k	cds_exact	DRB3	1	1	1	100.00
full-t1k	cds_exact	DRB4	1	1	1	100.00
full-t1k	cds_exact	DRB5	1	1	1	100.00
full-t1k	g_group	A	1	1	1	100.00
full-t1k	g_group	ALL	11	11	11	100.00
full-t1k	g_group	B	1	1	1	100.00
full-t1k	g_group	C	1	1	1	100.00
full-t1k	g_group	DPA1	1	1	1	100.00
full-t1k	g_group	DPB1	1	1	1	100.00
full-t1k	g_group	DQA1	1	1	1	100.00
full-t1k	g_group	DQB1	1	1	1	100.00
full-t1k	g_group	DRB1	1	1	1	100.00
full-t1k	g_group	DRB3	1	1	1	100.00
full-t1k	g_group	DRB4	1	1	1	100.00
full-t1k	g_group	DRB5	1	1	1	100.00
full-t1k	gene_exact	A	1	0	1	0.00
full-t1k	gene_exact	ALL	11	8	11	72.73
full-t1k	gene_exact	B	1	1	1	100.00
full-t1k	gene_exact	C	1	1	1	100.00
full-t1k	gene_exact	DPA1	1	0	1	0.00
full-t1k	gene_exact	DPB1	1	1	1	100.00
full-t1k	gene_exact	DQA1	1	1	1	100.00
full-t1k	gene_exact	DQB1	1	1	1	100.00
full-t1k	gene_exact	DRB1	1	0	1	0.00
full-t1k	gene_exact	DRB3	1	1	1	100.00
full-t1k	gene_exact	DRB4	1	1	1	100.00
full-t1k	gene_exact	DRB5	1	1	1	100.00
full-t1k	two_field	A	1	1	1	100.00
full-t1k	two_field	ALL	11	11	11	100.00
full-t1k	two_field	B	1	1	1	100.00
full-t1k	two_field	C	1	1	1	100.00
full-t1k	two_field	DPA1	1	1	1	100.00
full-t1k	two_field	DPB1	1	1	1	100.00
full-t1k	two_field	DQA1	1	1	1	100.00
full-t1k	two_field	DQB1	1	1	1	100.00
full-t1k	two_field	DRB1	1	1	1	100.00
full-t1k	two_field	DRB3	1	1	1	100.00
full-t1k	two_field	DRB4	1	1	1	100.00
full-t1k	two_field	DRB5	1	1	1	100.00
