arm	level	gene	genotypes	correct	called	accuracy_pct
asian_matched	cds_exact	A	40	37	40	92.50
asian_matched	cds_exact	ALL	433	404	433	93.30
asian_matched	cds_exact	B	40	35	40	87.50
asian_matched	cds_exact	C	40	39	40	97.50
asian_matched	cds_exact	DPA1	40	37	40	92.50
asian_matched	cds_exact	DPB1	40	36	40	90.00
asian_matched	cds_exact	DQA1	40	38	40	95.00
asian_matched	cds_exact	DQB1	40	39	40	97.50
asian_matched	cds_exact	DRB1	40	30	40	75.00
asian_matched	cds_exact	DRB3	40	40	40	100.00
asian_matched	cds_exact	DRB4	34	34	34	100.00
asian_matched	cds_exact	DRB5	39	39	39	100.00
asian_matched	g_group	A	40	39	40	97.50
asian_matched	g_group	ALL	432	412	432	95.37
asian_matched	g_group	B	40	35	40	87.50
asian_matched	g_group	C	39	39	39	100.00
asian_matched	g_group	DPA1	40	39	40	97.50
asian_matched	g_group	DPB1	40	36	40	90.00
asian_matched	g_group	DQA1	40	40	40	100.00
asian_matched	g_group	DQB1	40	39	40	97.50
asian_matched	g_group	DRB1	40	32	40	80.00
asian_matched	g_group	DRB3	40	40	40	100.00
asian_matched	g_group	DRB4	34	34	34	100.00
asian_matched	g_group	DRB5	39	39	39	100.00
asian_matched	gene_exact	A	40	33	40	82.50
asian_matched	gene_exact	ALL	440	296	440	67.27
asian_matched	gene_exact	B	40	29	40	72.50
asian_matched	gene_exact	C	40	32	40	80.00
asian_matched	gene_exact	DPA1	40	23	40	57.50
asian_matched	gene_exact	DPB1	40	20	40	50.00
asian_matched	gene_exact	DQA1	40	32	40	80.00
asian_matched	gene_exact	DQB1	40	31	40	77.50
asian_matched	gene_exact	DRB1	40	2	40	5.00
asian_matched	gene_exact	DRB3	40	27	40	67.50
asian_matched	gene_exact	DRB4	40	34	40	85.00
asian_matched	gene_exact	DRB5	40	33	40	82.50
asian_matched	two_field	A	40	37	40	92.50
asian_matched	two_field	ALL	432	409	432	94.68
asian_matched	two_field	B	40	36	40	90.00
asian_matched	two_field	C	39	39	39	100.00
asian_matched	two_field	DPA1	40	39	40	97.50
asian_matched	two_field	DPB1	40	36	40	90.00
asian_matched	two_field	DQA1	40	38	40	95.00
asian_matched	two_field	DQB1	40	39	40	97.50
asian_matched	two_field	DRB1	40	32	40	80.00
asian_matched	two_field	DRB3	40	40	40	100.00
asian_matched	two_field	DRB4	34	34	34	100.00
asian_matched	two_field	DRB5	39	39	39	100.00
asian_matched-w	cds_exact	A	14	13	14	92.86
asian_matched-w	cds_exact	ALL	145	129	145	88.97
asian_matched-w	cds_exact	B	13	12	13	92.31
asian_matched-w	cds_exact	C	13	12	13	92.31
asian_matched-w	cds_exact	DPA1	13	8	13	61.54
asian_matched-w	cds_exact	DPB1	13	13	13	100.00
asian_matched-w	cds_exact	DQA1	14	13	14	92.86
asian_matched-w	cds_exact	DQB1	14	14	14	100.00
asian_matched-w	cds_exact	DRB1	14	9	14	64.29
asian_matched-w	cds_exact	DRB3	13	11	13	84.62
asian_matched-w	cds_exact	DRB4	12	12	12	100.00
asian_matched-w	cds_exact	DRB5	12	12	12	100.00
asian_matched-w	g_group	A	14	13	13	92.86
asian_matched-w	g_group	ALL	144	136	143	94.44
asian_matched-w	g_group	B	13	12	13	92.31
asian_matched-w	g_group	C	12	12	12	100.00
asian_matched-w	g_group	DPA1	13	12	13	92.31
asian_matched-w	g_group	DPB1	13	13	13	100.00
asian_matched-w	g_group	DQA1	14	14	14	100.00
asian_matched-w	g_group	DQB1	14	14	14	100.00
asian_matched-w	g_group	DRB1	14	11	14	78.57
