donor	arm	locus	gene	level	picks	quality	truth_haplotypes	called	correct	allele_matches	sources
HG00558	full-ens	HLA-A	A	two_field	HG00321.1,HG02976.2	3.48	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-A	A	g_group	HG00321.1,HG02976.2	3.48	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-A	A	cds_exact	HG00321.1,HG02976.2	3.48	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-A	A	gene_exact	HG00321.1,HG02976.2	3.48	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-B	B	two_field	HG00597.2,HG03742.2	3.08	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-B	B	g_group	HG00597.2,HG03742.2	3.08	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-B	B	cds_exact	HG00597.2,HG03742.2	3.08	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-B	B	gene_exact	HG00597.2,HG03742.2	3.08	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-C	C	two_field	HG03742.2,HIFI032591D.1	3.32	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-C	C	g_group	HG03742.2,HIFI032591D.1	3.32	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-C	C	cds_exact	HG03742.2,HIFI032591D.1	3.32	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-C	C	gene_exact	HG03742.2,HIFI032591D.1	3.32	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPA1	two_field	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPA1	g_group	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPA1	cds_exact	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPA1	gene_exact	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPB1	two_field	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPB1	g_group	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPB1	cds_exact	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DP	DPB1	gene_exact	HIFI032586D.1,NA18982.2	2.34	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQA1	two_field	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQA1	g_group	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQA1	cds_exact	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQA1	gene_exact	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQB1	two_field	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQB1	g_group	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQB1	cds_exact	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DQ	DQB1	gene_exact	HG00423.1,NA21093.2	1.7	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB1	DRB1	two_field	HG02135.2,HG02984.2	1.95	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB1	DRB1	g_group	HG02135.2,HG02984.2	1.95	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB1	DRB1	cds_exact	HG02135.2,HG02984.2	1.95	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB1	DRB1	gene_exact	HG02135.2,HG02984.2	1.95	HG00558.1,HG00558.2	1	0	0	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB3	two_field	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB3	g_group	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB3	cds_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB3	gene_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	two_field	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	g_group	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	cds_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	gene_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	two_field	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	g_group	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	cds_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	gene_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	two_field	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	g_group	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	cds_exact	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	gene_exact	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-B	B	two_field	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	g_group	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	cds_exact	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	gene_exact	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	0	0	1	backbone,ipd_near
HG00609	full-ens	HLA-C	C	two_field	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	g_group	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	cds_exact	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	gene_exact	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
