arm	level	gene	genotypes	correct	called	accuracy_pct
full-ens	cds_exact	A	40	36	40	90.00
full-ens	cds_exact	ALL	433	402	433	92.84
full-ens	cds_exact	B	40	37	40	92.50
full-ens	cds_exact	C	40	39	40	97.50
full-ens	cds_exact	DPA1	40	38	40	95.00
full-ens	cds_exact	DPB1	40	34	40	85.00
full-ens	cds_exact	DQA1	40	39	40	97.50
full-ens	cds_exact	DQB1	40	38	40	95.00
full-ens	cds_exact	DRB1	40	33	40	82.50
full-ens	cds_exact	DRB3	40	37	40	92.50
full-ens	cds_exact	DRB4	34	32	34	94.12
full-ens	cds_exact	DRB5	39	39	39	100.00
full-ens	g_group	A	40	40	40	100.00
full-ens	g_group	ALL	432	414	432	95.83
full-ens	g_group	B	40	37	40	92.50
full-ens	g_group	C	39	39	39	100.00
full-ens	g_group	DPA1	40	38	40	95.00
full-ens	g_group	DPB1	40	36	40	90.00
full-ens	g_group	DQA1	40	40	40	100.00
full-ens	g_group	DQB1	40	39	40	97.50
full-ens	g_group	DRB1	40	34	40	85.00
full-ens	g_group	DRB3	40	38	40	95.00
full-ens	g_group	DRB4	34	34	34	100.00
full-ens	g_group	DRB5	39	39	39	100.00
full-ens	gene_exact	A	40	32	36	80.00
full-ens	gene_exact	ALL	440	300	402	68.18
full-ens	gene_exact	B	40	24	31	60.00
full-ens	gene_exact	C	40	36	40	90.00
full-ens	gene_exact	DPA1	40	25	38	62.50
full-ens	gene_exact	DPB1	40	19	38	47.50
full-ens	gene_exact	DQA1	40	30	37	75.00
full-ens	gene_exact	DQB1	40	33	37	82.50
full-ens	gene_exact	DRB1	40	5	30	12.50
full-ens	gene_exact	DRB3	40	29	37	72.50
full-ens	gene_exact	DRB4	40	34	38	85.00
full-ens	gene_exact	DRB5	40	33	40	82.50
full-ens	two_field	A	40	36	40	90.00
full-ens	two_field	ALL	432	406	432	93.98
full-ens	two_field	B	40	38	40	95.00
full-ens	two_field	C	39	39	39	100.00
full-ens	two_field	DPA1	40	39	40	97.50
full-ens	two_field	DPB1	40	34	40	85.00
full-ens	two_field	DQA1	40	39	40	97.50
full-ens	two_field	DQB1	40	38	40	95.00
full-ens	two_field	DRB1	40	34	40	85.00
full-ens	two_field	DRB3	40	37	40	92.50
full-ens	two_field	DRB4	34	33	34	97.06
full-ens	two_field	DRB5	39	39	39	100.00
full-ens-p	cds_exact	A	4	3	4	75.00
full-ens-p	cds_exact	ALL	44	39	44	88.64
full-ens-p	cds_exact	B	4	4	4	100.00
full-ens-p	cds_exact	C	4	3	4	75.00
full-ens-p	cds_exact	DPA1	4	4	4	100.00
full-ens-p	cds_exact	DPB1	4	3	4	75.00
full-ens-p	cds_exact	DQA1	4	4	4	100.00
full-ens-p	cds_exact	DQB1	4	3	4	75.00
full-ens-p	cds_exact	DRB1	4	3	4	75.00
full-ens-p	cds_exact	DRB3	4	4	4	100.00
full-ens-p	cds_exact	DRB4	4	4	4	100.00
full-ens-p	cds_exact	DRB5	4	4	4	100.00
full-ens-p	g_group	A	4	4	4	100.00
full-ens-p	g_group	ALL	43	41	43	95.35
full-ens-p	g_group	B	4	4	4	100.00
full-ens-p	g_group	C	3	3	3	100.00
full-ens-p	g_group	DPA1	4	4	4	100.00
full-ens-p	g_group	DPB1	4	3	4	75.00
full-ens-p	g_group	DQA1	4	4	4	100.00
full-ens-p	g_group	DQB1	4	4	4	100.00
full-ens-p	g_group	DRB1	4	3	4	75.00
full-ens-p	g_group	DRB3	4	4	4	100.00
