hap_id	haplotype	donor_id	cohort
GRCh38#0	GRCh38.0	GRCh38	REF
HG00097#1	HG00097.1	HG00097	HPRC-Rest
HG00097#2	HG00097.2	HG00097	HPRC-Rest
HG00099#1	HG00099.1	HG00099	HPRC-Rest
HG00099#2	HG00099.2	HG00099	HPRC-Rest
HG00126#1	HG00126.1	HG00126	HPRC-Rest
HG00126#2	HG00126.2	HG00126	HPRC-Rest
HG00128#1	HG00128.1	HG00128	HPRC-Rest
HG00128#2	HG00128.2	HG00128	HPRC-Rest
HG00133#1	HG00133.1	HG00133	HPRC-Rest
HG00133#2	HG00133.2	HG00133	HPRC-Rest
HG00140#1	HG00140.1	HG00140	HPRC-Rest
HG00140#2	HG00140.2	HG00140	HPRC-Rest
HG00146#1	HG00146.1	HG00146	HPRC-Rest
HG00146#2	HG00146.2	HG00146	HPRC-Rest
HG00232#1	HG00232.1	HG00232	HPRC-Rest
HG00232#2	HG00232.2	HG00232	HPRC-Rest
HG00235#1	HG00235.1	HG00235	HPRC-Rest
HG00235#2	HG00235.2	HG00235	HPRC-Rest
HG00253#1	HG00253.1	HG00253	HPRC-Rest
HG00253#2	HG00253.2	HG00253	HPRC-Rest
HG00272#1	HG00272.1	HG00272	HPRC-Rest
HG00272#2	HG00272.2	HG00272	HPRC-Rest
HG00280#1	HG00280.1	HG00280	HPRC-Rest
HG00280#2	HG00280.2	HG00280	HPRC-Rest
HG00290#1	HG00290.1	HG00290	HPRC-Rest
HG00290#2	HG00290.2	HG00290	HPRC-Rest
HG00320#1	HG00320.1	HG00320	HPRC-Rest
HG00320#2	HG00320.2	HG00320	HPRC-Rest
HG00321#1	HG00321.1	HG00321	HPRC-Rest
HG00321#2	HG00321.2	HG00321	HPRC-Rest
HG00323#1	HG00323.1	HG00323	HPRC-Rest
HG00323#2	HG00323.2	HG00323	HPRC-Rest
HG00329#1	HG00329.1	HG00329	HPRC-Rest
HG00329#2	HG00329.2	HG00329	HPRC-Rest
HG00344#1	HG00344.1	HG00344	HPRC-Rest
HG00344#2	HG00344.2	HG00344	HPRC-Rest
HG00350#1	HG00350.1	HG00350	HPRC-Rest
HG00350#2	HG00350.2	HG00350	HPRC-Rest
HG00408#1	HG00408.1	HG00408	HPRC-EastAsian
HG00408#2	HG00408.2	HG00408	HPRC-EastAsian
HG00423#1	HG00423.1	HG00423	HPRC-EastAsian
HG00423#2	HG00423.2	HG00423	HPRC-EastAsian
HG00438#1	HG00438.1	HG00438	HPRC-EastAsian
HG00438#2	HG00438.2	HG00438	HPRC-EastAsian
