method	gene	correct	eligible
T1K-four-field	A	64	64
T1K-four-field	B	58	64
T1K-four-field	C	62	64
T1K-four-field	DPA1	62	63
T1K-four-field	DPB1	64	64
T1K-four-field	DQA1	59	64
T1K-four-field	DQB1	64	64
T1K-four-field	DRB1	62	62
SpecHLA-IPD365-long-noFreq	A	5	64
SpecHLA-IPD365-long-noFreq	B	56	64
SpecHLA-IPD365-long-noFreq	C	62	64
SpecHLA-IPD365-long-noFreq	DPA1	59	63
SpecHLA-IPD365-long-noFreq	DPB1	48	64
SpecHLA-IPD365-long-noFreq	DQA1	53	64
SpecHLA-IPD365-long-noFreq	DQB1	59	64
SpecHLA-IPD365-long-noFreq	DRB1	37	62
hprc:DogoHLA	A	8	64
hprc:DogoHLA	B	58	64
hprc:DogoHLA	C	62	64
hprc:DogoHLA	DPA1	63	63
hprc:DogoHLA	DPB1	53	64
hprc:DogoHLA	DQA1	58	64
hprc:DogoHLA	DQB1	62	64
hprc:DogoHLA	DRB1	43	62
asian_matched:DogoHLA	A	7	64
asian_matched:DogoHLA	B	56	64
asian_matched:DogoHLA	C	62	64
asian_matched:DogoHLA	DPA1	63	63
asian_matched:DogoHLA	DPB1	52	64
asian_matched:DogoHLA	DQA1	57	64
asian_matched:DogoHLA	DQB1	62	64
asian_matched:DogoHLA	DRB1	41	62
