method	stratum	fields	planned_donors	completed_donors	eligible	called	correct	allele_matches
T1K	ALL	2	64	64	509	509	495	1004
T1K	ALL	4	64	64	323	317	163	440
T1K	AFR	2	16	16	125	125	122	247
T1K	AFR	4	16	16	65	64	31	80
T1K	EAS	2	16	16	128	128	124	252
T1K	EAS	4	16	16	84	82	34	104
T1K	EUR	2	16	16	128	128	124	252
T1K	EUR	4	16	16	93	91	51	135
T1K	SAS	2	16	16	128	128	125	253
T1K	SAS	4	16	16	81	80	47	121
ipd_genome	ALL	2	64	64	509	509	494	1003
ipd_genome	ALL	4	64	64	323	317	285	601
ipd_genome	AFR	2	16	16	125	125	120	245
ipd_genome	AFR	4	16	16	65	63	54	116
ipd_genome	EAS	2	16	16	128	128	125	253
ipd_genome	EAS	4	16	16	84	83	77	160
ipd_genome	EUR	2	16	16	128	128	123	251
ipd_genome	EUR	4	16	16	93	92	81	171
ipd_genome	SAS	2	16	16	128	128	126	254
ipd_genome	SAS	4	16	16	81	79	73	154
all	ALL	2	64	64	509	509	493	1002
all	ALL	4	64	64	323	317	285	599
all	AFR	2	16	16	125	125	120	245
all	AFR	4	16	16	65	63	53	114
all	EAS	2	16	16	128	128	124	252
all	EAS	4	16	16	84	82	77	159
all	EUR	2	16	16	128	128	123	251
all	EUR	4	16	16	93	93	81	171
all	SAS	2	16	16	128	128	126	254
all	SAS	4	16	16	81	79	74	155
