cohort	donor	family	stratum	method	gene	fields	state	eligible	called	correct	allele_matches
development	HG00658	HG00656	EAS	T1K	A	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	A	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	B	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	B	4	complete	1	1	0	1
development	HG00658	HG00656	EAS	T1K	C	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	C	4	complete	1	1	0	1
development	HG00658	HG00656	EAS	T1K	DPA1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DPA1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	T1K	DPB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DPB1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	T1K	DQA1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DQA1	4	complete	1	1	0	1
development	HG00658	HG00656	EAS	T1K	DQB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DQB1	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DRB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	T1K	DRB1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	anchored_ipd_genome	A	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	A	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	B	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	B	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	C	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	C	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DPA1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DPA1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	anchored_ipd_genome	DPB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DPB1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	anchored_ipd_genome	DQA1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DQA1	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DQB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DQB1	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DRB1	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_ipd_genome	DRB1	4	complete	0	0	0	0
development	HG00658	HG00656	EAS	anchored_hprc	A	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_hprc	A	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_hprc	B	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_hprc	B	4	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_hprc	C	2	complete	1	1	1	2
development	HG00658	HG00656	EAS	anchored_hprc	C	4	complete	1	1	1	2
