donor	condition	gene	eligible	native_correct	refined_correct	changed	reason	score_gain_over_native	score_gap	informative_fragments
HG00658	hprc/sampled	A	1	1	1	0	Best graph pair includes an unlabelled path	252.98294397508744		1803
HG00658	hprc/sampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/sampled	C	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/sampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/sampled	DPB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/sampled	DQA1	1	1	1	0	Best graph pair includes an unlabelled path	6871.8640752697775		1749
HG00658	hprc/sampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	7571.979977584933		3338
HG00658	hprc/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/unsampled	A	1	1	1	0	Graph agrees with native pair	0.0		1682
HG00658	hprc/unsampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/unsampled	C	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/unsampled	DPB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc/unsampled	DQA1	1	1	1	0	Graph agrees with native pair	0.0		2592
HG00658	hprc/unsampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	3618.6316825503527		3556
HG00658	hprc/unsampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/sampled	A	1	1	1	0	Graph genotype is tied	24.685085662854817		1964
HG00658	hprc_asian/sampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/sampled	C	1	1	1	0	Best graph pair includes an unlabelled path	3095.4736371287727		1174
HG00658	hprc_asian/sampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/sampled	DPB1	0	0	0	0	Graph agrees with native pair	0.0		2054
HG00658	hprc_asian/sampled	DQA1	1	1	1	0	Best graph pair includes an unlabelled path	1400.8710851760188		2205
HG00658	hprc_asian/sampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	8132.708196986131		2300
HG00658	hprc_asian/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/unsampled	A	1	1	1	0	Graph agrees with native pair	0.0		1844
HG00658	hprc_asian/unsampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/unsampled	C	1	1	1	0	Graph agrees with native pair	0.0		1209
HG00658	hprc_asian/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG00658	hprc_asian/unsampled	DPB1	0	0	0	0	Graph agrees with native pair	0.0		1904
HG00658	hprc_asian/unsampled	DQA1	1	1	1	0	Graph agrees with native pair	0.0		2676
HG00658	hprc_asian/unsampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	1490.2984500781567		3446
HG00658	hprc_asian/unsampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	A	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	B	1	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	C	1	1	1	0	Graph agrees with native pair	0.0		1317
HG02132	hprc/sampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	DPB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	DQA1	1	1	1	0	Best graph pair includes an unlabelled path	6253.72916932945		1590
HG02132	hprc/sampled	DQB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	A	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	B	1	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	C	1	1	1	0	Graph agrees with native pair	0.0		1251
HG02132	hprc/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	DPB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	DQA1	1	1	1	0	Best graph pair includes an unlabelled path	127.74484359182861		2356
HG02132	hprc/unsampled	DQB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc/unsampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/sampled	A	1	1	1	0	Best graph pair includes an unlabelled path	1853.162169195432		2638
HG02132	hprc_asian/sampled	B	1	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/sampled	C	1	1	1	0	Graph genotype is tied	3601.9096689143635		1227
HG02132	hprc_asian/sampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/sampled	DPB1	1	1	0	1	Graph-supported four-field refinement	22.665844516471225	19.002232439717773	2067
HG02132	hprc_asian/sampled	DQA1	1	1	1	0	Best graph pair includes an unlabelled path	605.5977571025014		2120
HG02132	hprc_asian/sampled	DQB1	1	1	1	0	Graph genotype is tied	2324.016206822238		2756
HG02132	hprc_asian/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	A	1	1	1	0	Graph agrees with native pair	0.0		2021
HG02132	hprc_asian/unsampled	B	1	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	C	1	1	1	0	Graph agrees with native pair	0.0		1229
HG02132	hprc_asian/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	DPB1	1	1	1	0	Graph agrees with native pair	0.0		1907
HG02132	hprc_asian/unsampled	DQA1	1	1	1	0	Graph genotype is tied	113.328015620099		2481
