donor	method	state	fields	eligible	called	correct	allele_matches
HG03874	T1K	complete	2	8	8	8	16
HG03874	T1K	complete	4	5	5	3	8
HG03874	ipd_genome	complete	2	8	8	8	16
HG03874	ipd_genome	complete	4	5	5	5	10
HG03874	all	complete	2	8	8	8	16
HG03874	all	complete	4	5	5	5	10
HG03874	hprc/sampled	complete	2	8	8	8	16
HG03874	hprc/sampled	complete	4	5	5	4	9
HG03874	hprc/unsampled	complete	2	8	8	8	16
HG03874	hprc/unsampled	complete	4	5	5	4	9
HG03874	hprc_asian/sampled	complete	2	8	8	8	16
HG03874	hprc_asian/sampled	complete	4	5	5	5	10
HG03874	hprc_asian/unsampled	complete	2	8	8	7	15
HG03874	hprc_asian/unsampled	complete	4	5	5	4	9
