method	stratum	fields	planned_donors	completed_donors	eligible	called	correct	allele_matches
T1K	ALL	2	8	8	63	63	63	126
T1K	ALL	4	8	8	47	47	21	60
T1K	AFR	2	2	2	15	15	15	30
T1K	AFR	4	2	2	10	10	4	10
T1K	EAS	2	2	2	16	16	16	32
T1K	EAS	4	2	2	11	11	3	12
T1K	EUR	2	2	2	16	16	16	32
T1K	EUR	4	2	2	15	15	9	22
T1K	SAS	2	2	2	16	16	16	32
T1K	SAS	4	2	2	11	11	5	16
ipd_genome	ALL	2	8	8	63	63	62	125
ipd_genome	ALL	4	8	8	47	47	41	86
ipd_genome	AFR	2	2	2	15	15	15	30
ipd_genome	AFR	4	2	2	10	10	8	17
ipd_genome	EAS	2	2	2	16	16	16	32
ipd_genome	EAS	4	2	2	11	11	10	21
ipd_genome	EUR	2	2	2	16	16	16	32
ipd_genome	EUR	4	2	2	15	15	12	26
ipd_genome	SAS	2	2	2	16	16	15	31
ipd_genome	SAS	4	2	2	11	11	11	22
all	ALL	2	8	8	63	63	61	124
all	ALL	4	8	8	47	46	41	86
all	AFR	2	2	2	15	15	15	30
all	AFR	4	2	2	10	10	8	17
all	EAS	2	2	2	16	16	15	31
all	EAS	4	2	2	11	10	10	21
all	EUR	2	2	2	16	16	16	32
all	EUR	4	2	2	15	15	12	26
all	SAS	2	2	2	16	16	15	31
all	SAS	4	2	2	11	11	11	22
hprc/sampled	ALL	2	8	8	63	63	61	124
hprc/sampled	ALL	4	8	8	47	46	40	85
hprc/sampled	AFR	2	2	2	15	15	15	30
hprc/sampled	AFR	4	2	2	10	10	8	17
hprc/sampled	EAS	2	2	2	16	16	15	31
hprc/sampled	EAS	4	2	2	11	10	10	21
hprc/sampled	EUR	2	2	2	16	16	16	32
hprc/sampled	EUR	4	2	2	15	15	12	26
hprc/sampled	SAS	2	2	2	16	16	15	31
hprc/sampled	SAS	4	2	2	11	11	10	21
hprc/unsampled	ALL	2	8	8	63	63	61	124
hprc/unsampled	ALL	4	8	8	47	46	40	85
hprc/unsampled	AFR	2	2	2	15	15	15	30
hprc/unsampled	AFR	4	2	2	10	10	8	17
hprc/unsampled	EAS	2	2	2	16	16	15	31
hprc/unsampled	EAS	4	2	2	11	10	10	21
hprc/unsampled	EUR	2	2	2	16	16	16	32
hprc/unsampled	EUR	4	2	2	15	15	12	26
hprc/unsampled	SAS	2	2	2	16	16	15	31
hprc/unsampled	SAS	4	2	2	11	11	10	21
hprc_asian/sampled	ALL	2	8	8	63	63	61	124
hprc_asian/sampled	ALL	4	8	8	47	46	41	86
hprc_asian/sampled	AFR	2	2	2	15	15	15	30
hprc_asian/sampled	AFR	4	2	2	10	10	8	17
hprc_asian/sampled	EAS	2	2	2	16	16	15	31
hprc_asian/sampled	EAS	4	2	2	11	10	10	21
hprc_asian/sampled	EUR	2	2	2	16	16	16	32
hprc_asian/sampled	EUR	4	2	2	15	15	12	26
hprc_asian/sampled	SAS	2	2	2	16	16	15	31
hprc_asian/sampled	SAS	4	2	2	11	11	11	22
hprc_asian/unsampled	ALL	2	8	8	63	63	60	123
hprc_asian/unsampled	ALL	4	8	8	47	46	40	85
hprc_asian/unsampled	AFR	2	2	2	15	15	15	30
hprc_asian/unsampled	AFR	4	2	2	10	10	8	17
hprc_asian/unsampled	EAS	2	2	2	16	16	15	31
hprc_asian/unsampled	EAS	4	2	2	11	10	10	21
hprc_asian/unsampled	EUR	2	2	2	16	16	16	32
hprc_asian/unsampled	EUR	4	2	2	15	15	12	26
hprc_asian/unsampled	SAS	2	2	2	16	16	14	30
hprc_asian/unsampled	SAS	4	2	2	11	11	10	21
