donor	method	state	gene	fields	eligible	called	correct	allele_matches
HG00658	T1K	complete	A	2	1	1	1	2
HG00658	T1K	complete	B	2	1	1	1	2
HG00658	T1K	complete	C	2	1	1	1	2
HG00658	T1K	complete	DPA1	2	1	1	1	2
HG00658	T1K	complete	DPB1	2	1	1	1	2
HG00658	T1K	complete	DQA1	2	1	1	1	2
HG00658	T1K	complete	DQB1	2	1	1	1	2
HG00658	T1K	complete	DRB1	2	1	1	1	2
HG00658	T1K	complete	A	4	1	1	1	2
HG00658	T1K	complete	B	4	1	1	0	1
HG00658	T1K	complete	C	4	1	1	0	1
HG00658	T1K	complete	DPA1	4	0	0	0	0
HG00658	T1K	complete	DPB1	4	0	0	0	0
HG00658	T1K	complete	DQA1	4	1	1	0	1
HG00658	T1K	complete	DQB1	4	1	1	1	2
HG00658	T1K	complete	DRB1	4	0	0	0	0
HG00658	ipd_genome	complete	A	2	1	1	1	2
HG00658	ipd_genome	complete	B	2	1	1	1	2
HG00658	ipd_genome	complete	C	2	1	1	1	2
HG00658	ipd_genome	complete	DPA1	2	1	1	1	2
HG00658	ipd_genome	complete	DPB1	2	1	1	1	2
HG00658	ipd_genome	complete	DQA1	2	1	1	1	2
HG00658	ipd_genome	complete	DQB1	2	1	1	1	2
HG00658	ipd_genome	complete	DRB1	2	1	1	1	2
HG00658	ipd_genome	complete	A	4	1	1	1	2
HG00658	ipd_genome	complete	B	4	1	1	1	2
HG00658	ipd_genome	complete	C	4	1	1	1	2
HG00658	ipd_genome	complete	DPA1	4	0	0	0	0
HG00658	ipd_genome	complete	DPB1	4	0	0	0	0
HG00658	ipd_genome	complete	DQA1	4	1	1	1	2
HG00658	ipd_genome	complete	DQB1	4	1	1	1	2
HG00658	ipd_genome	complete	DRB1	4	0	0	0	0
HG00658	native	complete	A	2	1	1	1	2
HG00658	native	complete	B	2	1	1	1	2
HG00658	native	complete	C	2	1	1	1	2
HG00658	native	complete	DPA1	2	1	1	1	2
HG00658	native	complete	DPB1	2	1	1	1	2
HG00658	native	complete	DQA1	2	1	1	1	2
HG00658	native	complete	DQB1	2	1	1	1	2
HG00658	native	complete	DRB1	2	1	1	1	2
HG00658	native	complete	A	4	1	1	1	2
HG00658	native	complete	B	4	1	1	1	2
HG00658	native	complete	C	4	1	1	1	2
HG00658	native	complete	DPA1	4	0	0	0	0
HG00658	native	complete	DPB1	4	0	0	0	0
HG00658	native	complete	DQA1	4	1	1	1	2
HG00658	native	complete	DQB1	4	1	1	1	2
HG00658	native	complete	DRB1	4	0	0	0	0
HG00658	all	complete	A	2	1	1	1	2
HG00658	all	complete	B	2	1	1	1	2
HG00658	all	complete	C	2	1	1	1	2
HG00658	all	complete	DPA1	2	1	1	1	2
HG00658	all	complete	DPB1	2	1	1	1	2
HG00658	all	complete	DQA1	2	1	1	1	2
HG00658	all	complete	DQB1	2	1	1	1	2
HG00658	all	complete	DRB1	2	1	1	1	2
HG00658	all	complete	A	4	1	1	1	2
HG00658	all	complete	B	4	1	1	1	2
HG00658	all	complete	C	4	1	1	1	2
HG00658	all	complete	DPA1	4	0	0	0	0
HG00658	all	complete	DPB1	4	0	0	0	0
HG00658	all	complete	DQA1	4	1	1	1	2
