donor	method	state
HG00658	T1K	complete
HG00658	hprc	complete
HG00658	hprc_asian	complete
HG00658	ipd_genome	complete
HG00658	genome_hprc	complete
HG00658	genome_hprc_asian	complete
HG02132	T1K	complete
HG02132	hprc	complete
HG02132	hprc_asian	complete
HG02132	ipd_genome	complete
HG02132	genome_hprc	complete
HG02132	genome_hprc_asian	complete
HG02178	T1K	complete
HG02178	hprc	complete
HG02178	hprc_asian	complete
HG02178	ipd_genome	complete
HG02178	genome_hprc	complete
HG02178	genome_hprc_asian	complete
HG03831	T1K	complete
HG03831	hprc	complete
HG03831	hprc_asian	complete
HG03831	ipd_genome	complete
HG03831	genome_hprc	complete
HG03831	genome_hprc_asian	complete
HG03874	T1K	complete
HG03874	hprc	complete
HG03874	hprc_asian	complete
HG03874	ipd_genome	complete
HG03874	genome_hprc	complete
HG03874	genome_hprc_asian	complete
HG04199	T1K	complete
HG04199	hprc	complete
HG04199	hprc_asian	complete
HG04199	ipd_genome	complete
HG04199	genome_hprc	complete
HG04199	genome_hprc_asian	complete
NA18608	T1K	complete
NA18608	hprc	complete
NA18608	hprc_asian	complete
NA18608	ipd_genome	complete
NA18608	genome_hprc	complete
NA18608	genome_hprc_asian	complete
NA20905	T1K	complete
NA20905	hprc	complete
NA20905	hprc_asian	complete
NA20905	ipd_genome	complete
NA20905	genome_hprc	complete
NA20905	genome_hprc_asian	complete
HG02027	T1K	complete
HG02027	hprc	complete
HG02027	hprc_asian	complete
HG02027	ipd_genome	complete
HG02027	genome_hprc	complete
HG02027	genome_hprc_asian	complete
HG02391	T1K	complete
HG02391	hprc	complete
HG02391	hprc_asian	complete
HG02391	ipd_genome	complete
HG02391	genome_hprc	complete
HG02391	genome_hprc_asian	complete
HG02602	T1K	complete
HG02602	hprc	complete
HG02602	hprc_asian	complete
HG02602	ipd_genome	complete
HG02602	genome_hprc	complete
HG02602	genome_hprc_asian	complete
HG04115	T1K	complete
HG04115	hprc	complete
HG04115	hprc_asian	complete
HG04115	ipd_genome	complete
HG04115	genome_hprc	complete
HG04115	genome_hprc_asian	complete
HG04187	T1K	complete
HG04187	hprc	complete
HG04187	hprc_asian	complete
HG04187	ipd_genome	complete
HG04187	genome_hprc	complete
HG04187	genome_hprc_asian	complete
NA18570	T1K	complete
NA18570	hprc	complete
NA18570	hprc_asian	complete
NA18570	ipd_genome	complete
NA18570	genome_hprc	complete
NA18570	genome_hprc_asian	complete
NA18940	T1K	complete
NA18940	hprc	complete
NA18940	hprc_asian	complete
NA18940	ipd_genome	complete
NA18940	genome_hprc	complete
NA18940	genome_hprc_asian	complete
NA21144	T1K	complete
NA21144	hprc	complete
NA21144	hprc_asian	complete
NA21144	ipd_genome	complete
NA21144	genome_hprc	complete
NA21144	genome_hprc_asian	complete
HG00558	T1K	complete
HG00558	hprc	complete
HG00558	hprc_asian	complete
HG00558	ipd_genome	complete
HG00558	genome_hprc	complete
HG00558	genome_hprc_asian	complete
HG02165	T1K	complete
HG02165	hprc	complete
HG02165	hprc_asian	complete
HG02165	ipd_genome	complete
HG02165	genome_hprc	complete
HG02165	genome_hprc_asian	complete
HG02523	T1K	complete
HG02523	hprc	complete
HG02523	hprc_asian	complete
HG02523	ipd_genome	complete
HG02523	genome_hprc	complete
HG02523	genome_hprc_asian	complete
HG02738	T1K	complete
HG02738	hprc	complete
HG02738	hprc_asian	complete
HG02738	ipd_genome	complete
HG02738	genome_hprc	complete
HG02738	genome_hprc_asian	complete
HG03688	T1K	complete
HG03688	hprc	complete
HG03688	hprc_asian	complete
HG03688	ipd_genome	complete
HG03688	genome_hprc	complete
HG03688	genome_hprc_asian	complete
HG03927	T1K	complete
HG03927	hprc	complete
HG03927	hprc_asian	complete
HG03927	ipd_genome	complete
HG03927	genome_hprc	complete
HG03927	genome_hprc_asian	complete
