method	stratum	fields	planned_donors	completed_donors	eligible	called	correct	allele_matches	gains_vs_T1K	losses_vs_T1K
T1K	ALL	2	64	64	509	509	495	1004	0	0
T1K	ALL	4	64	64	323	317	163	440	0	0
T1K	AFR	2	16	16	125	125	122	247	0	0
T1K	AFR	4	16	16	65	64	31	80	0	0
T1K	EAS	2	16	16	128	128	124	252	0	0
T1K	EAS	4	16	16	84	82	34	104	0	0
T1K	EUR	2	16	16	128	128	124	252	0	0
T1K	EUR	4	16	16	93	91	51	135	0	0
T1K	SAS	2	16	16	128	128	125	253	0	0
T1K	SAS	4	16	16	81	80	47	121	0	0
hprc	ALL	2	64	64	509	509	389	887	13	119
hprc	ALL	4	64	64	323	305	165	435	57	55
hprc	AFR	2	16	16	125	125	93	217	3	32
hprc	AFR	4	16	16	65	64	30	84	9	10
hprc	EAS	2	16	16	128	128	105	230	4	23
hprc	EAS	4	16	16	84	79	42	114	20	12
hprc	EUR	2	16	16	128	128	108	235	4	20
hprc	EUR	4	16	16	93	88	62	142	21	10
hprc	SAS	2	16	16	128	128	83	205	2	44
hprc	SAS	4	16	16	81	74	31	95	7	23
hprc_asian	ALL	2	64	64	509	509	465	974	14	44
hprc_asian	ALL	4	64	64	323	306	232	538	95	26
hprc_asian	AFR	2	16	16	125	125	105	230	3	20
hprc_asian	AFR	4	16	16	65	61	37	96	11	5
hprc_asian	EAS	2	16	16	128	128	121	249	4	7
hprc_asian	EAS	4	16	16	84	81	66	146	36	4
hprc_asian	EUR	2	16	16	128	128	122	250	4	6
hprc_asian	EUR	4	16	16	93	86	71	159	27	7
hprc_asian	SAS	2	16	16	128	128	117	245	3	11
hprc_asian	SAS	4	16	16	81	78	58	137	21	10
ipd_genome	ALL	2	64	64	509	509	494	1003	13	14
ipd_genome	ALL	4	64	64	323	317	285	601	131	9
ipd_genome	AFR	2	16	16	125	125	120	245	3	5
ipd_genome	AFR	4	16	16	65	63	54	116	25	2
ipd_genome	EAS	2	16	16	128	128	125	253	3	2
ipd_genome	EAS	4	16	16	84	83	77	160	43	0
ipd_genome	EUR	2	16	16	128	128	123	251	4	5
ipd_genome	EUR	4	16	16	93	92	81	171	33	3
ipd_genome	SAS	2	16	16	128	128	126	254	3	2
ipd_genome	SAS	4	16	16	81	79	73	154	30	4
genome_hprc	ALL	2	64	64	509	508	431	934	13	77
genome_hprc	ALL	4	64	64	323	310	203	503	81	41
genome_hprc	AFR	2	16	16	125	124	105	229	3	20
genome_hprc	AFR	4	16	16	65	63	37	97	12	6
genome_hprc	EAS	2	16	16	128	128	115	241	4	13
genome_hprc	EAS	4	16	16	84	79	53	127	28	9
genome_hprc	EUR	2	16	16	128	128	115	242	4	13
genome_hprc	EUR	4	16	16	93	91	78	167	31	4
genome_hprc	SAS	2	16	16	128	128	96	222	2	31
genome_hprc	SAS	4	16	16	81	77	35	112	10	22
genome_hprc_asian	ALL	2	64	64	509	509	470	978	14	39
genome_hprc_asian	ALL	4	64	64	323	309	259	574	116	20
genome_hprc_asian	AFR	2	16	16	125	125	110	234	3	15
genome_hprc_asian	AFR	4	16	16	65	62	44	106	16	3
genome_hprc_asian	EAS	2	16	16	128	128	120	248	4	8
genome_hprc_asian	EAS	4	16	16	84	81	69	150	40	5
genome_hprc_asian	EUR	2	16	16	128	128	121	249	4	7
genome_hprc_asian	EUR	4	16	16	93	88	83	176	36	4
genome_hprc_asian	SAS	2	16	16	128	128	119	247	3	9
genome_hprc_asian	SAS	4	16	16	81	78	63	142	24	8
