donor	stratum	population	family	fold	cohort	cram	selection_sha256
HG00658	EAS	CHS	HG00656	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram	068238f6522220ca5248d5e2746fdfb663e95df83b0e5de22146a05e5693598b
HG02132	EAS	KHV	HG02132	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram	3fe023a59fce96fe1b908bfa04b6c06553e59f0184a7ad652b87596c8783d567
HG02178	EAS	CDX	HG02178	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242174/HG02178.final.cram	708243fed706bd63ded8f3a2ac754742fb82f516c4540c04fc9da64e850170cc
HG03831	SAS	BEB	HG03829	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989224/HG03831.final.cram	ef4a5e431e74e3e5a39c22529e26a03ef0d0e03bddd89c71a9a210d2f6a79b68
HG03874	SAS	ITU	HG03874	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242722/HG03874.final.cram	549c0ea6a229467c7b930847b7f77daca11d4ccf2066d10e97fbd62c85166d95
HG04199	SAS	STU	HG04099	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989258/HG04199.final.cram	bb650bb481ca40ca66d43b77b9e25ece1beaaee0cadc344252caa32da27222ae
NA18608	EAS	CHB	NA18608	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239379/NA18608.final.cram	78d145a5d85328f0b06f850575dba2368f8675808860a44ff0e4405db304ea93
NA20905	SAS	GIH	NA20905	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240106/NA20905.final.cram	b9e7d129f1f515b3b4e46bd4d27d5b631d2d5d7c2744ff1875b4a30b2b4f582e
HG02027	EAS	KHV	HG02027	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram	c78676e1811fa21c5708b972260217c58673289d3a8492e6606f3837f8b8d08a
HG02391	EAS	CDX	HG02391	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242280/HG02391.final.cram	5129d92d6d3a347325128080b4e187c5eed4243834d922ce0329d885d8bc667f
HG02602	SAS	PJL	HG02600	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989034/HG02602.final.cram	9a5b6fd2fdcd64da76bab63162665bd448f008449b9bb28d9b66c131ed8b2d7b
HG04115	SAS	STU	HG03894	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989236/HG04115.final.cram	508c8deab8dee2c5127ff6302573e8229e5c16b3be1a98079bab0098b1553dcd
HG04187	SAS	BEB	HG04185	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989254/HG04187.final.cram	3f0e54ec7cd96467f9f3d2706759ea3c13a26bdc9df2c85b511d8d23799cb60d
NA18570	EAS	CHB	NA18570	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram	d411cf98a35cae5c4baed3d20790d444ec0e9a77dc1f7b60b34de7429de1041c
NA18940	EAS	JPT	NA18940	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239392/NA18940.final.cram	2951da3ba94bab21ee0968e8b3538d0096560e53bf05e95f8ba895f1be9e0b35
NA21144	SAS	GIH	NA21144	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240087/NA21144.final.cram	5878c13d4ad8d3ae878c5ce62f92a6e79c3c71d8df08aaf21122ccbf9047f7b1
HG00558	EAS	CHS	HG00556	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988789/HG00558.final.cram	19824dccdcda6eef922d7a214213c6448cdcc125a1536c0268b25a65b26b20fa
HG02165	EAS	CDX	HG02165	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242172/HG02165.final.cram	1270714256af7cfda6d0a2b82780c2589a076179a4ef462fa9cf6dc7e83b9c4a
HG02523	EAS	KHV	HG02521	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram	54ef65fa6a001efacb6c870dcb38bc1f76af8dd55235f6fdeaf058f0739bd3c3
HG02738	SAS	PJL	HG02736	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989064/HG02738.final.cram	8295f689cdb6ffb892baa8beee38165a345cb26ee711ce0043302b6643bf3325
HG03688	SAS	STU	HG03688	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989200/HG03688.final.cram	fd0e8996f1a002a2263a05244205722544f9764839446e18912999c5f0524a31
HG03927	SAS	BEB	HG03925	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989230/HG03927.final.cram	b3a354aaa45b35a489e5de0dc211a33d9ccdf2fad2649dff8cf8f909c42882b3
NA18952	EAS	JPT	NA18952	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239401/NA18952.final.cram	b11db33fdf1ecce3569886ff3779fc3fbffd4c21313007c51c8006a8d12704ca
NA21106	SAS	GIH	NA21106	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240061/NA21106.final.cram	27c78a6860dd69a9e977967fbbffddb8c90da63cd07b53124d366155aa707066
HG00609	EAS	CHS	HG00607	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram	b34b1672a49653a6b8d62f86ded1e26dcbf70fd8569e90c9ab89af3482e7a3ce
HG02074	EAS	KHV	HG02074	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram	cc7f9df7779214c002867a4d7e01d5343d51009d7a2680ba7bfb9cd3e05810b6
HG03017	SAS	PJL	HG03015	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989108/HG03017.final.cram	70a1f4f2331d4e6c7fa51efdb39c91ee401be5f627fd1f0fc0a92a1af664b119
HG03784	SAS	ITU	HG03784	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242715/HG03784.final.cram	7c46313305546f6142b94d37a5f2a335cc9b5ebd464cae3e2fb779dbf6fde69c
HG04157	SAS	BEB	HG04155	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989249/HG04157.final.cram	ae0008ec25716fad9176a833b8a289b3289293df841d847e7157cdb8eac971d5
HG04204	SAS	STU	HG03642	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989259/HG04204.final.cram	a523ea223736c3bd3f8cbd1c64a1ec0146ba0cfbc0af14c15cd5df7ad741800e
NA18747	EAS	CHB	NA18747	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram	b655374dd62f892e680f4fe26d98e645f6906123e5158827fc8c5dd410976ae9
NA19088	EAS	JPT	NA19088	0	Asian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239616/NA19088.final.cram	396264bacef59e92defdece4f0734388f4df916ce1dee99969bfeabda00a48de
HG01530	EUR	IBS	IBS011	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241936/HG01530.final.cram	b2fe97671864ae9934c355cd61fe861e47ebb298779849f6cd602064c2db58d2
NA20806	EUR	TSI	NA20806	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239874/NA20806.final.cram	18d24bda2b7fb984867e67d6b58b041def88811d0c3579da0c4ba23ae2b9a33e
HG00321	EUR	FIN	HG00321	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240239/HG00321.final.cram	11f6dd5114bba47d9c7a5859efb9f0db5d688b021a21bdf5eb1fefde57eb1c74
HG00232	EUR	GBR	HG00232	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240202/HG00232.final.cram	164e5c0fa55f77237b6924de3cf82dd680b44156f8fb6f59b6b1457688b0c060
HG01786	EUR	IBS	IBS054	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3243159/HG01786.final.cram	dc4e23779d4800f0a1fb5bee7fba5351c6b5836b1c1824af9488e4661c589c3f
NA20503	EUR	TSI	NA20503	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239786/NA20503.final.cram	4dc8b4bbad684b9af27a8bf9366aa0986e36b435e2cf17d61fda408b1b2bc37c
HG00344	EUR	FIN	HG00344	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240250/HG00344.final.cram	28c0355085c8e4b45348e669b8233dfa4e6bf29d64a3c9a67f2d24dd96a9f0ed
HG00128	EUR	GBR	HG00128	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240136/HG00128.final.cram	4079f32249a92346b083899b6be3c00cce03973f19a0a24005996ebd1f90240f
HG01784	EUR	IBS	IBS053	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242203/HG01784.final.cram	ddc4bb08744011b0cab9e6c7c93a53c9592ec2884c961a02d8924da7a3b42c5b
NA20809	EUR	TSI	NA20809	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239877/NA20809.final.cram	58d050a3daca53b7e7fcad400e5d90558c8759b614ccaee34c1b4e7070c65b7d
HG00272	EUR	FIN	HG00272	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240228/HG00272.final.cram	3222ae16c41d6600c708c1c25eb51665a458ab9c231eaac8cef5cef6f8915e0f
HG00133	EUR	GBR	HG00133	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240141/HG00133.final.cram	9a10dbbbf7c32e168f9c4c9af9c1f4d590829aefcd0c0fa06141f78a965b816d
NA20805	EUR	TSI	NA20805	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239873/NA20805.final.cram	5e78eb41504cb42c53424aa9aca3f8fe8bd1f1086d2bc83855f00a510713de84
HG00320	EUR	FIN	HG00320	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240238/HG00320.final.cram	71d6d72cac61671cc547ab0ef20fe2934c33c8886a36ba4a22a100c245cfab12
HG00140	EUR	GBR	HG00140	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240146/HG00140.final.cram	a46e90bfd8e3e407265a4a3a8f11861848a157c141ec7e0f18146f0a92941b9c
