donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG00706	A-replay	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	A-replay	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	A-replay	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	A-replay	DPA1	228	0	19445	19628	72	103	1	1	1	1	1	1
HG00706	A-replay	DPB1	230	0	22996	22996	178	230	1	0	1	1	1	0
HG00706	A-replay	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	A-replay	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	A-replay	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG00706	A-fixed	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	A-fixed	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	A-fixed	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	A-fixed	DPA1	218	0	19445	19628	72	93	1	1	1	1	1	0
HG00706	A-fixed	DPB1	188	0	22996	22996	178	188	1	1	1	1	1	1
HG00706	A-fixed	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	A-fixed	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	A-fixed	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG00706	AE-ipd365	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	AE-ipd365	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	AE-ipd365	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	AE-ipd365	DPA1	206	0	19445	19628	72	81	1	1	1	1	1	0
HG00706	AE-ipd365	DPB1	246	0	22996	22996	178	246	1	0	1	1	1	0
HG00706	AE-ipd365	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	AE-ipd365	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	AE-ipd365	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG00706	AE-panel	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	AE-panel	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	AE-panel	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	AE-panel	DPA1	206	0	19445	19628	72	81	1	1	1	1	1	0
HG00706	AE-panel	DPB1	246	0	22996	22996	178	246	1	0	1	1	1	0
HG00706	AE-panel	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	AE-panel	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	AE-panel	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
