id	hap_id	family	prototype	start0	interpretation
BOUNDARY_0	HG00097#1	HG00097	WHR1	3563987	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_1	HG00097#1	HG00097	WHR1B	3606082	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_2	HG00097#2	HG00097	WHR1	3508803	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_3	HG00097#2	HG00097	WHR1B	3550898	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_4	HG00099#1	HG00099	WHR1	3544822	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_5	HG00099#1	HG00099	WHR1B	3586917	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_6	HG00099#2	HG00099	WHR1	3553094	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_7	HG00126#1	HG00126	WHR1	3498958	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_8	HG00126#1	HG00126	WHR1B	3541054	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_9	HG00126#2	HG00126	WHR1	3553597	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_10	HG00126#2	HG00126	WHR1B	3595683	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_11	HG00128#1	HG00128	WHR1	3552336	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_12	HG00128#1	HG00128	WHR1B	3620801	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_13	HG00128#1	HG00128	WHR1B	3594432	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_14	HG00128#2	HG00128	WHR1	3536596	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_15	HG00128#2	HG00128	WHR1B	3578682	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_16	HG00133#1	HG00133	WHR1	3556786	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_17	HG00133#1	HG00133	WHR1B	3598873	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_18	HG00133#2	HG00133	WHR1	3552810	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_19	HG00133#2	HG00133	WHR1B	3594906	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_20	HG00140#1	HG00140	WHR1	3623101	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_21	HG00140#1	HG00140	WHR1B	3665193	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_22	HG00140#2	HG00140	WHR1	3552009	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_23	HG00140#2	HG00140	WHR1B	3594104	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_24	HG00146#1	HG00146	WHR1	3553118	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_25	HG00146#2	HG00146	WHR1	3553178	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_26	HG00232#1	HG00232	WHR1	3562598	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_27	HG00232#1	HG00232	WHR1B	3604693	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_28	HG00232#2	HG00232	WHR1	3559433	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_29	HG00232#2	HG00232	WHR1B	3634269	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_30	HG00232#2	HG00232	WHR1B	3601530	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_31	HG00235#1	HG00235	WHR1	3549429	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_32	HG00235#1	HG00235	WHR1B	3591524	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_33	HG00235#2	HG00235	WHR1	3552966	annotated_module_start_context_not_proven_breakpoint
BOUNDARY_34	HG00235#2	HG00235	WHR1B	3595060	annotated_module_start_context_not_proven_breakpoint
