locus	haplotype	hap_id	gene	strand	clipped	gene_start0	gene_end0	cds
HLA-A	apr-f.1	apr-f#1	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr-f.2	apr-f#2	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr-m.1	apr-m#1	A	+	0	5566	9021	5804-5877,6007-6277,6518-6794,7394-7670,7769-7886,8324-8357,8499-8547,8716-8721
HLA-A	apr-m.2	apr-m#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr-s.1	apr-s#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr-s.2	apr-s#2	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr001.1	apr001#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr001.2	apr001#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr002.1	apr002#1	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	apr002.2	apr002#2	A	+	0	5502	9020	5802-5875,6004-6274,6515-6791,7391-7667,7766-7883,8323-8356,8498-8546,8715-8720
HLA-A	apr003.1	apr003#1	A	+	0	5492	6789	5788-5861,5991-6261,6502-6778
HLA-A	apr003.2	apr003#2	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr004.1	apr004#1	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	apr004.2	apr004#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr005.1	apr005#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr005.2	apr005#2	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr006.1	apr006#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
