donor	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct
HG00706	A	0	2	7020	7020	0	0	1	1
HG00706	B	99	0	8165	8165	98	99	1	1
HG00706	C	21	1	8586	8607	0	0	1	1
HG00706	DPA1	228	0	19445	19628	72	103	1	1
HG00706	DPB1	230	0	22996	22996	178	230	1	0
HG00706	DQA1	0	2	12970	12970	0	0	1	1
HG00706	DQB1	983	0	14213	14999	964	983	1	1
HG00706	DRB1	3056	0	22475	22504	2264	2578	1	1
HG02155	A	66	0	7020	7020	66	66	1	1
HG02155	B	50	0	8165	8165	50	50	1	1
HG02155	C	42	0	8607	8607	42	42	1	1
HG02155	DPA1	269	0	19384	19638	72	73	1	1
HG02155	DPB1	81	0	22928	22927	64	81	1	1
HG02155	DQA1	0	2	12970	12970	0	0	1	1
HG02155	DQB1	976	0	14222	15012	966	976	1	1
HG02155	DRB1	2672	0	22840	22498	2218	2574	1	1
HG03239	A	0	2	7019	7019	0	0	1	1
HG03239	B	471	0	7706	8175	94	11	1	1
HG03239	C	41	1	8581	8621	0	1	1	1
HG03239	DPA1	291	0	19310	19537	0	64	1	1
HG03239	DPB1	86	0	22978	22978	54	86	1	1
HG03239	DQA1	733	0	12840	12914	696	733	1	1
HG03239	DQB1	858	0	14603	14981	836	858	1	1
HG03239	DRB1	15233	0	29902	21372	5154	13749	1	1
HG03742	A	0	2	7020	7020	0	0	1	1
HG03742	B	270	0	7937	8167	0	41	1	1
HG03742	C	8	0	8606	8606	0	8	1	1
HG03742	DPA1	4141	0	15416	19551	0	6	1	0
HG03742	DPB1	34	0	23006	23006	0	34	1	1
HG03742	DQA1	15	1	12922	12921	0	15	1	1
HG03742	DQB1	898	0	14216	14967	892	898	1	1
HG03742	DRB1	12725	0	28322	21430	4634	11667	1	1
HG03804	A	0	2	7005	7005	0	0	1	1
HG03804	B	200	0	8190	8179	188	200	1	1
HG03804	C	0	2	8606	8606	0	0	1	1
HG03804	DPA1	4043	1	15509	19552	0	0	1	1
HG03804	DPB1	147	0	22992	22992	98	147	1	1
HG03804	DQA1	2	0	12970	12970	0	2	1	1
HG03804	DQB1	960	0	14197	14983	952	960	1	1
HG03804	DRB1	3048	0	22532	22494	2220	2628	1	1
NA18620	A	0	2	7035	7035	0	0	1	1
NA18620	B	771	0	7394	8162	0	3	1	1
NA18620	C	156	1	8484	8622	0	9	0	0
NA18620	DPA1	98	1	19449	19547	0	0	1	1
NA18620	DPB1	4	0	22978	22978	0	4	1	1
NA18620	DQA1	2692	0	12333	13007	2010	1847	1	1
NA18620	DQB1	1196	0	14464	15012	988	1196	1	1
NA18620	DRB1	11019	0	27046	21477	4486	10107	1	1
NA19087	A	8	1	7035	7027	0	8	1	1
NA19087	B	0	2	8166	8166	0	0	1	1
NA19087	C	0	2	8608	8608	0	0	1	1
NA19087	DPA1	466	0	19245	19630	74	141	1	1
NA19087	DPB1	96	0	22933	22933	70	96	1	1
NA19087	DQA1	746	1	12186	12930	0	3	1	1
NA19087	DQB1	959	0	14138	14987	858	859	1	1
NA19087	DRB1	12602	0	29009	21426	4434	12175	1	1
NA21093	A	0	2	7006	7006	0	0	1	1
NA21093	B	125	0	8177	8186	122	125	1	1
NA21093	C	0	2	8606	8606	0	0	1	1
NA21093	DPA1	0	2	19550	19550	0	0	1	1
NA21093	DPB1	7	1	23055	23048	0	7	1	1
NA21093	DQA1	26	1	12888	12911	0	26	1	1
NA21093	DQB1	913	0	14216	14967	906	913	1	1
NA21093	DRB1	13104	0	29920	21389	4350	12888	1	1
