arm	gene	gene_pairs	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
A-pairing	A	8	8	15	56160	56152	0	8	8	8	8	8	8	8
A-pairing	ALL	64	76908	53	948312	929110	15358	59896	63	62	63	62	62	56
A-pairing	B	8	1541	7	63900	65365	56	83	8	8	8	8	8	6
A-pairing	C	8	220	12	68684	68883	0	12	7	7	7	7	7	7
A-pairing	DPA1	8	9403	2	147308	156633	216	255	8	7	8	8	8	5
A-pairing	DPB1	8	339	8	183866	183858	330	339	8	8	8	8	8	8
A-pairing	DQA1	8	3823	9	102079	103614	2186	2257	8	8	8	8	8	8
A-pairing	DQB1	8	6650	0	114269	119893	6260	6550	8	8	8	8	8	8
A-pairing	DRB1	8	54924	0	212046	174712	6310	50392	8	8	8	7	7	6
AE-ipd365-pairing	A	8	8	15	56160	56152	0	8	8	8	8	8	8	8
AE-ipd365-pairing	ALL	64	76924	57	948312	929110	15358	59919	63	62	63	62	62	57
AE-ipd365-pairing	B	8	1540	8	63900	65365	56	82	8	8	8	8	8	6
AE-ipd365-pairing	C	8	220	12	68684	68883	0	12	7	7	7	7	7	7
AE-ipd365-pairing	DPA1	8	9434	5	147308	156633	216	285	8	7	8	8	8	6
AE-ipd365-pairing	DPB1	8	341	8	183866	183858	330	341	8	8	8	8	8	8
AE-ipd365-pairing	DQA1	8	3823	9	102079	103614	2186	2257	8	8	8	8	8	8
AE-ipd365-pairing	DQB1	8	6650	0	114269	119893	6260	6550	8	8	8	8	8	8
AE-ipd365-pairing	DRB1	8	54908	0	212046	174712	6310	50384	8	8	8	7	7	6
AE-panel-pairing	A	8	8	15	56160	56152	0	8	8	8	8	8	8	8
AE-panel-pairing	ALL	64	77006	57	948312	929110	15358	60001	63	62	63	62	62	57
AE-panel-pairing	B	8	1540	8	63900	65365	56	82	8	8	8	8	8	6
AE-panel-pairing	C	8	220	12	68684	68883	0	12	7	7	7	7	7	7
AE-panel-pairing	DPA1	8	9434	5	147308	156633	216	285	8	7	8	8	8	6
AE-panel-pairing	DPB1	8	341	8	183866	183858	330	341	8	8	8	8	8	8
AE-panel-pairing	DQA1	8	3823	9	102079	103614	2186	2257	8	8	8	8	8	8
AE-panel-pairing	DQB1	8	6650	0	114269	119893	6260	6550	8	8	8	8	8	8
AE-panel-pairing	DRB1	8	54990	0	212046	174712	6310	50466	8	8	8	7	7	6
