donor	mode	gene	edits_hap1	edits_hap2	exact_haplotypes	n_masked
HG00706	native	A	0	0	2	0
HG00706	native	B	50	49	0	98
HG00706	native	C	0	0	2	0
HG00706	native	DPA1	52	51	0	72
HG00706	native	DPB1	115	115	0	178
HG00706	native	DQA1	0	0	2	0
HG00706	native	DQB1	495	488	0	964
HG00706	native	DRB1	1314	1264	0	2264
HG00706	A	A	0	0	2	0
HG00706	A	B	1	0	1	0
HG00706	A	C	0	0	2	0
HG00706	A	DPA1	51	52	0	72
HG00706	A	DPB1	115	115	0	178
HG00706	A	DQA1	0	0	2	0
HG00706	A	DQB1	412	407	0	802
HG00706	A	DRB1	335	333	0	0
HG00706	AD	A	3517	3503	0	0
HG00706	AD	B	4082	4083	0	0
HG00706	AD	C	4304	4282	0	0
HG00706	AD	DPA1	9692	9753	0	0
HG00706	AD	DPB1	11530	11466	0	0
HG00706	AD	DQA1	6485	6485	0	0
HG00706	AD	DQB1	7111	7102	0	0
HG00706	AD	DRB1	11419	11056	0	0
HG02155	native	A	33	33	0	66
HG02155	native	B	25	25	0	50
HG02155	native	C	21	21	0	42
HG02155	native	DPA1	37	36	0	72
HG02155	native	DPB1	41	40	0	64
HG02155	native	DQA1	0	0	2	0
HG02155	native	DQB1	484	492	0	966
HG02155	native	DRB1	1287	1287	0	2218
HG02155	A	A	0	0	2	0
HG02155	A	B	0	0	2	0
HG02155	A	C	0	0	2	0
HG02155	A	DPA1	37	36	0	72
HG02155	A	DPB1	9	8	0	0
HG02155	A	DQA1	0	0	2	0
HG02155	A	DQB1	415	407	0	814
HG02155	A	DRB1	332	331	0	0
HG03239	native	A	0	0	2	0
HG03239	native	B	11	0	1	94
HG03239	native	C	0	1	1	0
HG03239	native	DPA1	32	32	0	0
HG03239	native	DPB1	43	43	0	54
HG03239	native	DQA1	382	351	0	696
HG03239	native	DQB1	439	419	0	836
HG03239	native	DRB1	6488	7261	0	5154
HG03239	A	A	0	0	2	0
HG03239	A	B	11	0	1	0
HG03239	A	C	2	1	0	0
HG03239	A	DPA1	32	32	0	0
HG03239	A	DPB1	43	43	0	54
HG03239	A	DQA1	319	290	0	566
HG03239	A	DQB1	384	372	0	732
HG03239	A	DRB1	5750	6428	0	1704
HG03742	native	A	0	0	2	0
HG03742	native	B	19	22	0	0
HG03742	native	C	4	4	0	0
HG03742	native	DPA1	0	6	1	0
HG03742	native	DPB1	17	17	0	0
HG03742	native	DQA1	15	0	1	0
HG03742	native	DQB1	449	449	0	892
HG03742	native	DRB1	6198	5469	0	4634
HG03742	A	A	0	0	2	0
HG03742	A	B	19	22	0	0
HG03742	A	C	0	0	2	0
HG03742	A	DPA1	0	6	1	0
HG03742	A	DPB1	17	17	0	0
HG03742	A	DQA1	5	0	1	0
HG03742	A	DQB1	380	380	0	754
HG03742	A	DRB1	5421	3943	0	1176
HG03804	native	A	0	0	2	0
HG03804	native	B	106	94	0	188
HG03804	native	C	0	0	2	0
HG03804	native	DPA1	0	0	2	0
HG03804	native	DPB1	74	73	0	98
HG03804	native	DQA1	1	1	0	0
HG03804	native	DQB1	484	476	0	952
HG03804	native	DRB1	1281	1347	0	2220
HG03804	A	A	0	0	2	0
HG03804	A	B	12	0	1	0
HG03804	A	C	0	0	2	0
HG03804	A	DPA1	0	0	2	0
HG03804	A	DPB1	74	73	0	98
HG03804	A	DQA1	1	1	0	0
HG03804	A	DQB1	446	430	0	858
HG03804	A	DRB1	331	332	0	0
NA18620	native	A	0	0	2	0
NA18620	native	B	2	1	0	0
NA18620	native	C	0	9	1	0
NA18620	native	DPA1	0	0	2	0
NA18620	native	DPB1	2	2	0	0
NA18620	native	DQA1	1128	719	0	2010
NA18620	native	DQB1	608	588	0	988
NA18620	native	DRB1	5395	4712	0	4486
NA18620	A	A	0	0	2	0
NA18620	A	B	1	0	1	0
NA18620	A	C	0	9	1	0
NA18620	A	DPA1	0	0	2	0
NA18620	A	DPB1	2	2	0	0
NA18620	A	DQA1	930	684	0	1620
NA18620	A	DQB1	501	481	0	776
NA18620	A	DRB1	3876	3898	0	1284
NA19087	native	A	8	0	1	0
NA19087	native	B	0	0	2	0
NA19087	native	C	0	0	2	0
NA19087	native	DPA1	71	70	0	74
NA19087	native	DPB1	48	48	0	70
NA19087	native	DQA1	3	0	1	0
NA19087	native	DQB1	429	430	0	858
NA19087	native	DRB1	6734	5441	0	4434
NA19087	A	A	8	0	1	0
NA19087	A	B	0	0	2	0
NA19087	A	C	0	0	2	0
NA19087	A	DPA1	67	66	0	72
NA19087	A	DPB1	16	16	0	0
NA19087	A	DQA1	8	0	1	0
NA19087	A	DQB1	386	387	0	772
NA19087	A	DRB1	5431	3952	0	1118
NA21093	native	A	0	0	2	0
NA21093	native	B	63	62	0	122
NA21093	native	C	0	0	2	0
NA21093	native	DPA1	0	0	2	0
NA21093	native	DPB1	0	7	1	0
NA21093	native	DQA1	26	0	1	0
NA21093	native	DQB1	458	455	0	906
NA21093	native	DRB1	7620	5268	0	4350
NA21093	A	A	0	0	2	0
NA21093	A	B	30	28	0	56
NA21093	A	C	0	0	2	0
NA21093	A	DPA1	0	0	2	0
NA21093	A	DPB1	0	7	1	0
NA21093	A	DQA1	27	0	1	0
NA21093	A	DQB1	380	380	0	752
NA21093	A	DRB1	6060	3729	0	1028
