gene_id	hap_id	donor	family	annotated_form	start0	end0	strand
HG00097_1__C4_1	HG00097#1	HG00097	HG00097	C4AL	3574869	3595493	+
HG00097_1__C4_2	HG00097#1	HG00097	HG00097	C4BL	3607607	3628230	+
HG00097_2__C4_1	HG00097#2	HG00097	HG00097	C4AL	3519685	3540309	+
HG00097_2__C4_2	HG00097#2	HG00097	HG00097	C4BL	3552423	3573046	+
HG00099_1__C4_1	HG00099#1	HG00099	HG00099	C4AL	3555704	3576328	+
HG00099_1__C4_2	HG00099#1	HG00099	HG00099	C4BL	3588442	3609066	+
HG00099_2__C4_1	HG00099#2	HG00099	HG00099	C4BS	3563976	3578232	+
HG00126_1__C4_1	HG00126#1	HG00126	HG00126	C4AL	3509842	3530465	+
HG00126_1__C4_2	HG00126#1	HG00126	HG00126	C4BL	3542579	3563203	+
HG00126_2__C4_1	HG00126#2	HG00126	HG00126	C4AL	3564469	3585094	+
HG00126_2__C4_2	HG00126#2	HG00126	HG00126	C4BS	3597208	3611465	+
HG00128_1__C4_1	HG00128#1	HG00128	HG00128	C4AL	3563217	3583842	+
HG00128_1__C4_2	HG00128#1	HG00128	HG00128	C4BS	3595957	3610213	+
HG00128_1__C4_3	HG00128#1	HG00128	HG00128	C4BS	3622326	3636582	+
HG00128_2__C4_1	HG00128#2	HG00128	HG00128	C4AL	3547469	3568093	+
HG00128_2__C4_2	HG00128#2	HG00128	HG00128	C4BL	3580207	3600831	+
HG00133_1__C4_1	HG00133#1	HG00133	HG00133	C4AL	3567660	3588285	+
HG00133_1__C4_2	HG00133#1	HG00133	HG00133	C4BS	3600398	3614654	+
HG00133_2__C4_1	HG00133#2	HG00133	HG00133	C4AL	3563693	3584317	+
HG00133_2__C4_2	HG00133#2	HG00133	HG00133	C4AL	3596431	3617055	+
HG00140_1__C4_1	HG00140#1	HG00140	HG00140	C4AL	3633983	3654608	+
HG00140_1__C4_2	HG00140#1	HG00140	HG00140	C4BL	3666718	3687342	+
HG00140_2__C4_1	HG00140#2	HG00140	HG00140	C4AL	3562889	3583514	+
HG00140_2__C4_2	HG00140#2	HG00140	HG00140	C4BS	3595629	3609885	+
HG00146_1__C4_1	HG00146#1	HG00146	HG00146	C4BS	3564000	3578256	+
HG00146_2__C4_1	HG00146#2	HG00146	HG00146	C4AL	3564060	3584685	+
HG00232_1__C4_1	HG00232#1	HG00232	HG00232	C4AL	3573480	3594104	+
HG00232_1__C4_2	HG00232#1	HG00232	HG00232	C4BL	3606218	3626841	+
HG00232_2__C4_1	HG00232#2	HG00232	HG00232	C4AL	3570316	3590941	+
HG00232_2__C4_2	HG00232#2	HG00232	HG00232	C4AL	3603055	3623680	+
