locus	genes	left_node	left_ref_start0	left_length	left_haplotype_fraction	right_node	right_ref_end0	right_length	right_haplotype_fraction	ref_start0	ref_end0	ref_length	chr6_start1	chr6_end1
HLA-A	A	93261	1526061	52	0.9987	97590	1544992	36	0.996	1526061	1544992	18931	29936762	29955692
HLA-C	C	180781	2851319	48	1.0	184331	2871964	106	1.0	2851319	2871964	20645	31262020	31282664
HLA-B	B	194937	2933228	49	1.0	199669	2956827	52	1.0	2933228	2956827	23599	31343929	31367527
HLA-DRB345	DRB3,DRB4,DRB5	281212	4074933	56	1.0	318253	4168113	33	1.0	4074933	4168113	93180	32485634	32578813
HLA-DRB1	DRB1	318253	4168080	33	1.0	327974	4189235	56	1.0	4168080	4189235	21155	32578781	32599935
HLA-DQ	DQA1,DQB1	334811	4216670	32	1.0	350625	4264583	37	1.0	4216670	4264583	47913	32627371	32675283
HLA-DP	DPA1,DPB1	382969	4643585	57	1.0	389546	4686591	78	1.0	4643585	4686591	43006	33054286	33097291
